X,Y,I,In
0.5,8.1,8,0.0434782608695652
0.5,8.11515,5,0.0271739130434783
0.5,8.1303,4,0.0217391304347826
0.5,8.14545,4,0.0217391304347826
0.5,8.1606,6,0.0326086956521739
0.5,8.17575,2,0.0108695652173913
0.5,8.1909,4,0.0217391304347826
0.5,8.20605,5,0.0271739130434783
0.5,8.2212,3,0.016304347826087
0.5,8.23635,3,0.016304347826087
0.5,8.2515,6,0.0326086956521739
0.5,8.26665,5,0.0271739130434783
0.5,8.2818,7,0.0380434782608696
0.5,8.29695,8,0.0434782608695652
0.5,8.3121,5,0.0271739130434783
0.5,8.32725,5,0.0271739130434783
0.5,8.3424,6,0.0326086956521739
0.5,8.3576,5,0.0271739130434783
0.5,8.37275,6,0.0326086956521739
0.5,8.3879,4,0.0217391304347826
0.5,8.40305,9,0.0489130434782609
0.5,8.4182,1,0.00543478260869565
0.5,8.43335,8,0.0434782608695652
0.5,8.4485,9,0.0489130434782609
0.5,8.46365,9,0.0489130434782609
0.5,8.4788,3,0.016304347826087
0.5,8.49395,5,0.0271739130434783
0.5,8.5091,8,0.0434782608695652
0.5,8.52425,5,0.0271739130434783
0.5,8.5394,5,0.0271739130434783
0.5,8.55455,9,0.0489130434782609
0.5,8.5697,6,0.0326086956521739
0.5,8.58485,8,0.0434782608695652
0.5,8.6,4,0.0217391304347826
0.5,8.61515,10,0.0543478260869565
0.5,8.6303,10,0.0543478260869565
0.5,8.64545,8,0.0434782608695652
0.5,8.6606,5,0.0271739130434783
0.5,8.67575,6,0.0326086956521739
0.5,8.6909,9,0.0489130434782609
0.5,8.70605,8,0.0434782608695652
0.5,8.7212,6,0.0326086956521739
0.5,8.73635,9,0.0489130434782609
0.5,8.7515,3,0.016304347826087
0.5,8.76665,7,0.0380434782608696
0.5,8.7818,7,0.0380434782608696
0.5,8.79695,7,0.0380434782608696
0.5,8.8121,5,0.0271739130434783
0.5,8.82725,7,0.0380434782608696
0.5,8.8424,5,0.0271739130434783
0.5,8.8576,7,0.0380434782608696
0.5,8.87275,2,0.0108695652173913
0.5,8.8879,5,0.0271739130434783
0.5,8.90305,10,0.0543478260869565
0.5,8.9182,9,0.0489130434782609
0.5,8.93335,13,0.0706521739130435
0.5,8.9485,4,0.0217391304347826
0.5,8.96365,10,0.0543478260869565
0.5,8.9788,7,0.0380434782608696
0.5,8.99395,8,0.0434782608695652
0.5,9.0091,3,0.016304347826087
0.5,9.02425,8,0.0434782608695652
0.5,9.0394,7,0.0380434782608696
0.5,9.05455,11,0.0597826086956522
0.5,9.0697,6,0.0326086956521739
0.5,9.08485,8,0.0434782608695652
0.5,9.1,13,0.0706521739130435
0.515,8.1,6,0.0326086956521739
0.515,8.11515,6,0.0326086956521739
0.515,8.1303,3,0.016304347826087
