X,Y,I,In
0.5,8.1,1,2.63157894736842
0.5,8.11515,2,5.26315789473684
0.5,8.1303,0,0
0.5,8.14545,0,0
0.5,8.1606,2,5.26315789473684
0.5,8.17575,0,0
0.5,8.1909,0,0
0.5,8.20605,1,2.63157894736842
0.5,8.2212,0,0
0.5,8.23635,1,2.63157894736842
0.5,8.2515,2,5.26315789473684
0.5,8.26665,0,0
0.5,8.2818,0,0
0.5,8.29695,1,2.63157894736842
0.5,8.3121,0,0
0.5,8.32725,1,2.63157894736842
0.5,8.3424,0,0
0.5,8.3576,0,0
0.5,8.37275,0,0
0.5,8.3879,2,5.26315789473684
0.5,8.40305,1,2.63157894736842
0.5,8.4182,0,0
0.5,8.43335,1,2.63157894736842
0.5,8.4485,1,2.63157894736842
0.5,8.46365,1,2.63157894736842
0.5,8.4788,0,0
0.5,8.49395,2,5.26315789473684
0.5,8.5091,1,2.63157894736842
0.5,8.52425,2,5.26315789473684
0.5,8.5394,0,0
0.5,8.55455,0,0
0.5,8.5697,0,0
0.5,8.58485,0,0
0.5,8.6,0,0
0.5,8.61515,1,2.63157894736842
0.5,8.6303,1,2.63157894736842
0.5,8.64545,2,5.26315789473684
0.5,8.6606,0,0
0.5,8.67575,0,0
0.5,8.6909,3,7.89473684210526
0.5,8.70605,2,5.26315789473684
0.5,8.7212,0,0
0.5,8.73635,0,0
0.5,8.7515,0,0
0.5,8.76665,1,2.63157894736842
0.5,8.7818,0,0
0.5,8.79695,1,2.63157894736842
0.5,8.8121,0,0
0.5,8.82725,2,5.26315789473684
0.5,8.8424,2,5.26315789473684
0.5,8.8576,0,0
0.5,8.87275,0,0
0.5,8.8879,1,2.63157894736842
0.5,8.90305,2,5.26315789473684
0.5,8.9182,2,5.26315789473684
0.5,8.93335,0,0
0.5,8.9485,0,0
0.5,8.96365,1,2.63157894736842
0.5,8.9788,0,0
0.5,8.99395,0,0
0.5,9.0091,1,2.63157894736842
0.5,9.02425,0,0
0.5,9.0394,2,5.26315789473684
0.5,9.05455,2,5.26315789473684
0.5,9.0697,0,0
0.5,9.08485,0,0
0.5,9.1,2,5.26315789473684
0.515,8.1,1,2.63157894736842
0.515,8.11515,1,2.63157894736842
0.515,8.1303,0,0
0.515,8.14545,0,0
0.515,8.1606,0,0
0.515,8.17575,0,0
0.515,8.1909,0,0
0.515,8.20605,0,0
0.515,8.2212,2,5.26315789473684
0.515,8.23635,0,0
0.515,8.2515,1,2.63157894736842
0.515,8.26665,1,2.63157894736842
0.515,8.2818,2,5.26315789473684
0.515,8.29695,0,0
0.515,8.3121,0,0
0.515,8.32725,1,2.63157894736842
0.515,8.3424,0,0
0.515,8.3576,2,5.26315789473684
0.515,8.37275,0,0
0.515,8.3879,0,0
0.515,8.40305,0,0
0.515,8.4182,0,0
0.515,8.43335,1,2.63157894736842
0.515,8.4485,0,0
0.515,8.46365,0,0
0.515,8.4788,0,0
0.515,8.49395,2,5.26315789473684
0.515,8.5091,1,2.63157894736842
0.515,8.52425,0,0
0.515,8.5394,1,2.63157894736842
0.515,8.55455,2,5.26315789473684
0.515,8.5697,0,0
0.515,8.58485,0,0
0.515,8.6,0,0
0.515,8.61515,1,2.63157894736842
0.515,8.6303,1,2.63157894736842
0.515,8.64545,1,2.63157894736842
0.515,8.6606,2,5.26315789473684
0.515,8.67575,0,0
0.515,8.6909,1,2.63157894736842
0.515,8.70605,3,7.89473684210526
0.515,8.7212,1,2.63157894736842
0.515,8.73635,1,2.63157894736842
0.515,8.7515,0,0
0.515,8.76665,0,0
0.515,8.7818,0,0
0.515,8.79695,0,0
0.515,8.8121,0,0
0.515,8.82725,1,2.63157894736842
0.515,8.8424,0,0
0.515,8.8576,0,0
0.515,8.87275,2,5.26315789473684
0.515,8.8879,1,2.63157894736842
0.515,8.90305,1,2.63157894736842
0.515,8.9182,1,2.63157894736842
0.515,8.93335,1,2.63157894736842
0.515,8.9485,2,5.26315789473684
0.515,8.96365,0,0
0.515,8.9788,0,0
0.515,8.99395,0,0
0.515,9.0091,0,0
0.515,9.02425,0,0
0.515,9.0394,1,2.63157894736842
0.515,9.05455,0,0
0.515,9.0697,0,0
0.515,9.08485,1,2.63157894736842
0.515,9.1,0,0
0.53,8.1,1,2.63157894736842
0.53,8.11515,0,0
0.53,8.1303,0,0
0.53,8.14545,0,0
0.53,8.1606,0,0
0.53,8.17575,0,0
0.53,8.1909,1,2.63157894736842
0.53,8.20605,0,0
0.53,8.2212,0,0
0.53,8.23635,2,5.26315789473684
0.53,8.2515,0,0
0.53,8.26665,0,0
0.53,8.2818,3,7.89473684210526
0.53,8.29695,1,2.63157894736842
0.53,8.3121,1,2.63157894736842
0.53,8.32725,1,2.63157894736842
0.53,8.3424,0,0
0.53,8.3576,3,7.89473684210526
0.53,8.37275,0,0
0.53,8.3879,0,0
0.53,8.40305,0,0
0.53,8.4182,0,0
0.53,8.43335,1,2.63157894736842
0.53,8.4485,1,2.63157894736842
0.53,8.46365,0,0
0.53,8.4788,1,2.63157894736842
0.53,8.49395,1,2.63157894736842
0.53,8.5091,2,5.26315789473684
0.53,8.52425,0,0
0.53,8.5394,2,5.26315789473684
0.53,8.55455,1,2.63157894736842
0.53,8.5697,1,2.63157894736842
0.53,8.58485,0,0
0.53,8.6,0,0
0.53,8.61515,0,0
0.53,8.6303,0,0
0.53,8.64545,0,0
0.53,8.6606,0,0
0.53,8.67575,0,0
0.53,8.6909,0,0
0.53,8.70605,1,2.63157894736842
0.53,8.7212,0,0
0.53,8.73635,2,5.26315789473684
0.53,8.7515,1,2.63157894736842
0.53,8.76665,1,2.63157894736842
0.53,8.7818,0,0
0.53,8.79695,0,0
0.53,8.8121,2,5.26315789473684
0.53,8.82725,0,0
0.53,8.8424,1,2.63157894736842
0.53,8.8576,0,0
0.53,8.87275,0,0
0.53,8.8879,0,0
0.53,8.90305,2,5.26315789473684
0.53,8.9182,0,0
0.53,8.93335,1,2.63157894736842
0.53,8.9485,0,0
0.53,8.96365,1,2.63157894736842
0.53,8.9788,0,0
0.53,8.99395,0,0
0.53,9.0091,0,0
0.53,9.02425,1,2.63157894736842
0.53,9.0394,2,5.26315789473684
0.53,9.05455,0,0
0.53,9.0697,1,2.63157894736842
0.53,9.08485,0,0
0.53,9.1,1,2.63157894736842
0.545,8.1,1,2.63157894736842
0.545,8.11515,1,2.63157894736842
0.545,8.1303,1,2.63157894736842
0.545,8.14545,0,0
0.545,8.1606,2,5.26315789473684
0.545,8.17575,1,2.63157894736842
0.545,8.1909,0,0
0.545,8.20605,1,2.63157894736842
0.545,8.2212,1,2.63157894736842
0.545,8.23635,2,5.26315789473684
0.545,8.2515,0,0
0.545,8.26665,0,0
0.545,8.2818,1,2.63157894736842
0.545,8.29695,1,2.63157894736842
0.545,8.3121,0,0
0.545,8.32725,0,0
0.545,8.3424,1,2.63157894736842
0.545,8.3576,0,0
0.545,8.37275,0,0
0.545,8.3879,0,0
0.545,8.40305,1,2.63157894736842
0.545,8.4182,0,0
0.545,8.43335,2,5.26315789473684
0.545,8.4485,1,2.63157894736842
0.545,8.46365,0,0
0.545,8.4788,2,5.26315789473684
0.545,8.49395,1,2.63157894736842
0.545,8.5091,0,0
0.545,8.52425,2,5.26315789473684
0.545,8.5394,1,2.63157894736842
0.545,8.55455,0,0
0.545,8.5697,0,0
0.545,8.58485,2,5.26315789473684
0.545,8.6,0,0
0.545,8.61515,0,0
0.545,8.6303,0,0
0.545,8.64545,0,0
0.545,8.6606,0,0
0.545,8.67575,0,0
0.545,8.6909,2,5.26315789473684
0.545,8.70605,1,2.63157894736842
0.545,8.7212,1,2.63157894736842
0.545,8.73635,0,0
0.545,8.7515,1,2.63157894736842
0.545,8.76665,0,0
0.545,8.7818,0,0
0.545,8.79695,1,2.63157894736842
0.545,8.8121,0,0
0.545,8.82725,1,2.63157894736842
0.545,8.8424,0,0
0.545,8.8576,2,5.26315789473684
0.545,8.87275,2,5.26315789473684
0.545,8.8879,1,2.63157894736842
0.545,8.90305,0,0
0.545,8.9182,2,5.26315789473684
0.545,8.93335,0,0
0.545,8.9485,2,5.26315789473684
0.545,8.96365,0,0
0.545,8.9788,1,2.63157894736842
0.545,8.99395,5,13.1578947368421
0.545,9.0091,0,0
0.545,9.02425,0,0
0.545,9.0394,0,0
0.545,9.05455,1,2.63157894736842
0.545,9.0697,1,2.63157894736842
0.545,9.08485,0,0
0.545,9.1,1,2.63157894736842
0.56,8.1,0,0
0.56,8.11515,2,5.26315789473684
0.56,8.1303,2,5.26315789473684
0.56,8.14545,0,0
0.56,8.1606,1,2.63157894736842
0.56,8.17575,0,0
0.56,8.1909,1,2.63157894736842
0.56,8.20605,2,5.26315789473684
0.56,8.2212,3,7.89473684210526
0.56,8.23635,1,2.63157894736842
0.56,8.2515,0,0
0.56,8.26665,1,2.63157894736842
0.56,8.2818,2,5.26315789473684
0.56,8.29695,2,5.26315789473684
0.56,8.3121,0,0
