xposition,yposition,Fe_rel_conc
0.5,8.1,4.34782608695652
0.5,8.11515,2.71739130434783
0.5,8.1303,2.17391304347826
0.5,8.14545,2.17391304347826
0.5,8.1606,3.26086956521739
0.5,8.17575,1.08695652173913
0.5,8.1909,2.17391304347826
0.5,8.20605,2.71739130434783
0.5,8.2212,1.6304347826087
0.5,8.23635,1.6304347826087
0.5,8.2515,3.26086956521739
0.5,8.26665,2.71739130434783
0.5,8.2818,3.80434782608696
0.5,8.29695,4.34782608695652
0.5,8.3121,2.71739130434783
0.5,8.32725,2.71739130434783
0.5,8.3424,3.26086956521739
0.5,8.3576,2.71739130434783
0.5,8.37275,3.26086956521739
0.5,8.3879,2.17391304347826
0.5,8.40305,4.89130434782609
0.5,8.4182,0.543478260869565
0.5,8.43335,4.34782608695652
0.5,8.4485,4.89130434782609
0.5,8.46365,4.89130434782609
0.5,8.4788,1.6304347826087
0.5,8.49395,2.71739130434783
0.5,8.5091,4.34782608695652
0.5,8.52425,2.71739130434783
0.5,8.5394,2.71739130434783
0.5,8.55455,4.89130434782609
0.5,8.5697,3.26086956521739
0.5,8.58485,4.34782608695652
0.5,8.6,2.17391304347826
0.5,8.61515,5.43478260869565
0.5,8.6303,5.43478260869565
0.5,8.64545,4.34782608695652
0.5,8.6606,2.71739130434783
0.5,8.67575,3.26086956521739
0.5,8.6909,4.89130434782609
0.5,8.70605,4.34782608695652
0.5,8.7212,3.26086956521739
0.5,8.73635,4.89130434782609
0.5,8.7515,1.6304347826087
0.5,8.76665,3.80434782608696
0.5,8.7818,3.80434782608696
0.5,8.79695,3.80434782608696
0.5,8.8121,2.71739130434783
0.5,8.82725,3.80434782608696
0.5,8.8424,2.71739130434783
0.5,8.8576,3.80434782608696
0.5,8.87275,1.08695652173913
0.5,8.8879,2.71739130434783
0.5,8.90305,5.43478260869565
0.5,8.9182,4.89130434782609
0.5,8.93335,7.06521739130435
0.5,8.9485,2.17391304347826
0.5,8.96365,5.43478260869565
0.5,8.9788,3.80434782608696
0.5,8.99395,4.34782608695652
0.5,9.0091,1.6304347826087
0.5,9.02425,4.34782608695652
0.5,9.0394,3.80434782608696
0.5,9.05455,5.97826086956522
0.5,9.0697,3.26086956521739
0.5,9.08485,4.34782608695652
0.5,9.1,7.06521739130435
0.515,8.1,3.26086956521739
0.515,8.11515,3.26086956521739
0.515,8.1303,1.6304347826087
0.515,8.14545,3.80434782608696
0.515,8.1606,3.26086956521739
0.515,8.17575,2.17391304347826
0.515,8.1909,2.17391304347826
0.515,8.20605,1.08695652173913
0.515,8.2212,3.80434782608696
0.515,8.23635,3.80434782608696
0.515,8.2515,2.71739130434783
0.515,8.26665,5.97826086956522
0.515,8.2818,3.80434782608696
0.515,8.29695,1.6304347826087
0.515,8.3121,1.08695652173913
0.515,8.32725,4.34782608695652
0.515,8.3424,3.26086956521739
0.515,8.3576,4.34782608695652
0.515,8.37275,1.6304347826087
0.515,8.3879,1.6304347826087
0.515,8.40305,3.26086956521739
0.515,8.4182,3.80434782608696
0.515,8.43335,5.43478260869565
0.515,8.4485,3.26086956521739
0.515,8.46365,2.71739130434783
0.515,8.4788,2.17391304347826
0.515,8.49395,4.34782608695652
0.515,8.5091,4.34782608695652
0.515,8.52425,0.543478260869565
0.515,8.5394,6.52173913043478
0.515,8.55455,3.80434782608696
0.515,8.5697,1.08695652173913
0.515,8.58485,4.89130434782609
0.515,8.6,6.52173913043478
0.515,8.61515,6.52173913043478
0.515,8.6303,2.17391304347826
0.515,8.64545,1.6304347826087
0.515,8.6606,3.26086956521739
0.515,8.67575,4.34782608695652
0.515,8.6909,4.89130434782609
0.515,8.70605,3.80434782608696
0.515,8.7212,6.52173913043478
0.515,8.73635,3.80434782608696
0.515,8.7515,3.80434782608696
0.515,8.76665,4.34782608695652
0.515,8.7818,2.71739130434783
0.515,8.79695,2.71739130434783
0.515,8.8121,2.17391304347826
0.515,8.82725,3.26086956521739
0.515,8.8424,3.80434782608696
0.515,8.8576,4.34782608695652
0.515,8.87275,5.43478260869565
0.515,8.8879,8.15217391304348
0.515,8.90305,5.43478260869565
0.515,8.9182,4.89130434782609
0.515,8.93335,3.80434782608696
0.515,8.9485,2.71739130434783
0.515,8.96365,5.43478260869565
0.515,8.9788,3.80434782608696
0.515,8.99395,5.43478260869565
0.515,9.0091,5.43478260869565
0.515,9.02425,4.34782608695652
0.515,9.0394,4.89130434782609
0.515,9.05455,1.6304347826087
0.515,9.0697,4.34782608695652
0.515,9.08485,6.52173913043478
0.515,9.1,4.34782608695652
0.53,8.1,1.6304347826087
0.53,8.11515,3.80434782608696
0.53,8.1303,1.6304347826087
0.53,8.14545,0.543478260869565
0.53,8.1606,2.17391304347826
0.53,8.17575,1.6304347826087
0.53,8.1909,1.6304347826087
0.53,8.20605,2.71739130434783
0.53,8.2212,0.543478260869565
0.53,8.23635,3.80434782608696
0.53,8.2515,1.6304347826087
0.53,8.26665,4.89130434782609
0.53,8.2818,4.89130434782609
0.53,8.29695,2.17391304347826
0.53,8.3121,3.26086956521739
0.53,8.32725,5.43478260869565
0.53,8.3424,2.17391304347826
0.53,8.3576,4.89130434782609
0.53,8.37275,3.80434782608696
0.53,8.3879,2.71739130434783
0.53,8.40305,2.71739130434783
0.53,8.4182,1.6304347826087
0.53,8.43335,3.80434782608696
0.53,8.4485,4.34782608695652
0.53,8.46365,1.6304347826087
0.53,8.4788,3.80434782608696
0.53,8.49395,3.26086956521739
0.53,8.5091,2.17391304347826
0.53,8.52425,2.17391304347826
0.53,8.5394,2.71739130434783
0.53,8.55455,3.26086956521739
0.53,8.5697,1.6304347826087
0.53,8.58485,5.43478260869565
0.53,8.6,2.71739130434783
0.53,8.61515,5.43478260869565
0.53,8.6303,2.17391304347826
0.53,8.64545,3.80434782608696
0.53,8.6606,4.89130434782609
0.53,8.67575,3.80434782608696
0.53,8.6909,2.17391304347826
0.53,8.70605,5.43478260869565
0.53,8.7212,2.71739130434783
0.53,8.73635,2.71739130434783
0.53,8.7515,2.71739130434783
0.53,8.76665,3.80434782608696
0.53,8.7818,3.26086956521739
0.53,8.79695,2.17391304347826
0.53,8.8121,3.80434782608696
0.53,8.82725,1.08695652173913
0.53,8.8424,2.71739130434783
0.53,8.8576,7.06521739130435
0.53,8.87275,4.34782608695652
0.53,8.8879,7.60869565217391
0.53,8.90305,6.52173913043478
0.53,8.9182,9.78260869565217
0.53,8.93335,11.4130434782609
0.53,8.9485,7.06521739130435
0.53,8.96365,5.43478260869565
0.53,8.9788,6.52173913043478
0.53,8.99395,3.26086956521739
0.53,9.0091,3.80434782608696
0.53,9.02425,1.08695652173913
0.53,9.0394,8.69565217391304
0.53,9.05455,4.34782608695652
0.53,9.0697,5.43478260869565
0.53,9.08485,8.69565217391304
0.53,9.1,8.69565217391304
0.545,8.1,3.80434782608696
0.545,8.11515,3.26086956521739
0.545,8.1303,2.71739130434783
0.545,8.14545,3.80434782608696
0.545,8.1606,2.71739130434783
0.545,8.17575,1.6304347826087
0.545,8.1909,2.71739130434783
0.545,8.20605,2.17391304347826
0.545,8.2212,1.6304347826087
0.545,8.23635,4.34782608695652
0.545,8.2515,4.34782608695652
0.545,8.26665,5.97826086956522
0.545,8.2818,2.71739130434783
0.545,8.29695,4.34782608695652
0.545,8.3121,0.543478260869565
0.545,8.32725,4.34782608695652
0.545,8.3424,2.71739130434783
0.545,8.3576,3.80434782608696
0.545,8.37275,1.6304347826087
0.545,8.3879,4.34782608695652
0.545,8.40305,3.80434782608696
0.545,8.4182,5.43478260869565
0.545,8.43335,5.43478260869565
0.545,8.4485,5.97826086956522
0.545,8.46365,3.80434782608696
0.545,8.4788,3.80434782608696
0.545,8.49395,4.34782608695652
0.545,8.5091,5.43478260869565
0.545,8.52425,4.34782608695652
0.545,8.5394,2.71739130434783
0.545,8.55455,1.08695652173913
0.545,8.5697,4.34782608695652
0.545,8.58485,4.89130434782609
0.545,8.6,4.89130434782609
0.545,8.61515,3.26086956521739
0.545,8.6303,4.34782608695652
0.545,8.64545,4.89130434782609
0.545,8.6606,4.89130434782609
0.545,8.67575,3.26086956521739
0.545,8.6909,4.34782608695652
0.545,8.70605,4.34782608695652
0.545,8.7212,4.34782608695652
0.545,8.73635,5.43478260869565
0.545,8.7515,3.80434782608696
0.545,8.76665,4.34782608695652
0.545,8.7818,2.17391304347826
0.545,8.79695,4.89130434782609
0.545,8.8121,3.26086956521739
0.545,8.82725,3.80434782608696
0.545,8.8424,4.89130434782609
0.545,8.8576,11.4130434782609
0.545,8.87275,9.78260869565217
0.545,8.8879,10.3260869565217
0.545,8.90305,10.3260869565217
