Time,NormLogIntensity
ns,a.u.
20.0245,0.9884
20.5136,0.99326
21.0025,0.99124
21.4916,1
21.9806,0.97843
22.4695,0.96973
22.9585,0.97904
23.4475,0.95329
23.9366,0.94859
24.4256,0.9314
24.9146,0.92281
25.4035,0.9221
25.8925,0.89066
26.3815,0.89432
26.8706,0.89853
27.3596,0.89
27.8485,0.8812
28.3376,0.88003
28.8265,0.88532
29.3156,0.87744
29.8045,0.87479
30.2936,0.85406
30.7825,0.85708
31.2715,0.85489
31.7606,0.85378
32.2495,0.84783
32.7386,0.84754
33.2276,0.83358
33.7165,0.85736
34.2056,0.85267
34.6945,0.83422
35.1836,0.84072
35.6726,0.82442
36.1616,0.82135
36.6506,0.80035
37.1395,0.79955
37.6286,0.78277
38.1175,0.78843
38.6066,0.75671
39.0955,0.77268
39.5846,0.7659
40.0735,0.74692
40.5625,0.74003
41.0516,0.73095
41.5405,0.73526
42.0296,0.71726
42.5185,0.69606
43.0076,0.69289
43.4965,0.70593
43.9855,0.67326
44.4746,0.68635
44.9635,0.65385
45.4526,0.64965
45.9415,0.63398
46.4305,0.62549
46.9196,0.61111
47.4085,0.5687
47.8976,0.57404
48.3865,0.5705
48.8756,0.58088
49.3646,0.57228
49.8535,0.52969
50.3426,0.52969
50.8315,0.47031
51.3206,0.47031
51.8096,0.45957
52.2985,0.47373
52.7875,0.48355
53.2766,0.49278
53.7656,0.45957
54.2545,0.48035
54.7436,0.49278
55.2326,0.54096
55.7216,0.52733
56.2105,0.45196
56.6995,0.43978
57.1885,0.42654
57.6775,0.41703
58.1666,0.29608
58.6556,0.32562
59.1445,0.24488
59.6335,0.2848
60.1226,0.29608
60.6116,0.16716
61.1005,0.19061
61.5896,0.22885
62.0786,0.19061
62.5675,0
63.0566,0.13942
63.5456,0.16716
64.0345,0.10547
64.5236,0.061693
65.0126,0.13942
65.5016,0.22885
65.9905,0.2848
66.4796,0.21093
66.9686,0.22885
67.4575,0.16716
67.9466,0.33432
68.4356,0.27262
68.9246,0.27262
69.4135,0.24488
69.9026,0.39601
70.3916,0.39027
70.8805,0.39027
71.3696,0.40688
71.8586,0.3843
72.3476,0.40154
72.8365,0.39601
73.3256,0.37161
73.8146,0.46324
74.3035,0.3843
74.7926,0.49863
75.2816,0.5225
75.7706,0.50701
76.2595,0.51495
76.7486,0.52733
77.2376,0.51751
77.7265,0.51751
78.2156,0.51235
78.7046,0.53655
79.1936,0.47031
79.6825,0.47373
80.1716,0.46324
80.6606,0.55936
81.1495,0.56504
81.6386,0.56128
82.1276,0.56504
82.6166,0.59523
83.1055,0.6012
83.5946,0.59824
84.0836,0.57578
84.5725,0.53877
85.0616,0.56128
85.5506,0.52969
86.0395,0.5705
86.5285,0.54942
87.0176,0.58582
87.5065,0.55743
87.9955,0.52493
88.4845,0.59216
88.9736,0.56128
89.4625,0.55743
89.9515,0.59674
90.4406,0.53877
90.9295,0.55743
91.4185,0.58902
91.9076,0.58419
92.3966,0.58582
92.8855,0.6041
93.3745,0.60553
93.8636,0.55146
94.3525,0.60553
94.8415,0.58088
95.3306,0.56688
95.8196,0.58582
96.3085,0.57578
96.7976,0.5705
97.2866,0.57404
97.7755,0.55743
98.2645,0.58088
98.7536,0.6041
99.2426,0.60265
99.7315,0.59674
100.221,0.57578
100.71,0.58743
101.198,0.58743
101.688,0.61912
102.177,0.63398
102.665,0.59674
103.155,0.60553
103.644,0.60694
104.133,0.60553
104.622,0.62297
105.111,0.62796
105.599,0.61247
106.088,0.61247
106.578,0.59674
107.066,0.60694
107.556,0.58582
108.045,0.55743
108.534,0.56128
109.022,0.56688
109.511,0.61247
110.001,0.5906
110.489,0.56128
110.978,0.58902
111.468,0.57228
111.957,0.57578
112.445,0.56504
112.935,0.57578
113.424,0.55347
113.912,0.58088
114.401,0.54312
114.891,0.56688
115.38,0.5687
115.868,0.55936
116.358,0.55347
116.847,0.58582
117.335,0.56317
117.825,0.56317
118.314,0.55146
118.803,0.54525
119.292,0.54735
119.781,0.54096
