Time,NormLogIntensity
ns,a.u.
23.83564,0.92376
24.32464,0.91987
24.81364,0.9159
25.30264,0.91185
25.79165,0.90771
26.28065,0.90349
26.76965,0.89917
27.25865,0.89477
27.74765,0.89028
28.23665,0.88569
28.72566,0.881
29.21466,0.87622
29.70366,0.87135
30.19266,0.86637
30.68166,0.86129
31.17066,0.8561
31.65966,0.85081
32.14867,0.84541
32.63767,0.8399
33.12667,0.83427
33.61567,0.82853
34.10467,0.82267
34.59367,0.81669
35.08268,0.81058
35.57168,0.80435
36.06068,0.79798
36.54968,0.79148
37.03868,0.78484
37.52768,0.77806
38.01668,0.77113
38.50569,0.76404
38.99469,0.7568
39.48369,0.74941
39.97269,0.74184
40.46169,0.7341
40.95069,0.72619
41.4397,0.71809
41.9287,0.70979
42.4177,0.70131
42.9067,0.69261
43.3957,0.6837
43.8847,0.67457
44.3737,0.66521
44.86271,0.6556
45.35171,0.64575
45.84071,0.63563
46.32971,0.62523
46.81871,0.61455
47.30771,0.60356
47.79672,0.59226
48.28572,0.58062
48.77472,0.56863
49.26372,0.55628
49.75272,0.54353
50.24172,0.53038
50.73072,0.51679
51.21973,0.50275
51.70873,0.48822
52.19773,0.47319
52.68673,0.45763
53.17573,0.44151
53.66473,0.4248
54.15374,0.40748
54.64274,0.38954
55.13174,0.37095
55.62074,0.35172
56.10974,0.33187
56.59874,0.31145
57.08774,0.29053
57.57675,0.26928
58.06575,0.2479
58.55475,0.22676
59.04375,0.20631
59.53275,0.1872
60.02175,0.17021
60.51076,0.15623
60.99976,0.14612
61.48876,0.14054
61.97776,0.13982
62.46676,0.14381
62.95576,0.15194
63.44476,0.16342
63.93377,0.17734
64.42277,0.19288
64.91177,0.20933
65.40077,0.22617
65.88977,0.24301
66.37877,0.25959
66.86778,0.27572
67.35678,0.2913
67.84578,0.30628
68.33478,0.32062
68.82378,0.33432
69.31278,0.3474
69.80178,0.35985
70.29079,0.37172
70.77979,0.38302
71.26879,0.39378
71.75779,0.40402
72.24679,0.41378
72.73579,0.42308
73.22479,0.43194
73.7138,0.44039
74.2028,0.44845
74.6918,0.45614
75.1808,0.46347
75.6698,0.47047
76.1588,0.47715
76.64781,0.48353
77.13681,0.48962
77.62581,0.49544
78.11481,0.50099
78.60381,0.5063
79.09281,0.51137
79.58181,0.51621
80.07082,0.52083
80.55982,0.52524
81.04882,0.52945
81.53782,0.53347
82.02682,0.5373
82.51582,0.54096
83.00483,0.54444
83.49383,0.54776
83.98283,0.55092
84.47183,0.55393
84.96083,0.55678
85.44983,0.5595
85.93883,0.56208
86.42784,0.56452
86.91684,0.56684
87.40584,0.56903
87.89484,0.5711
88.38384,0.57306
88.87284,0.5749
89.36185,0.57663
89.85085,0.57825
90.33985,0.57977
90.82885,0.58119
91.31785,0.58252
91.80685,0.58375
92.29585,0.58488
92.78486,0.58593
93.27386,0.58689
93.76286,0.58777
94.25186,0.58856
94.74086,0.58928
95.22986,0.58992
95.71887,0.59048
96.20787,0.59097
96.69687,0.59138
97.18587,0.59173
97.67487,0.59201
98.16387,0.59223
98.65287,0.59238
99.14188,0.59246
99.63088,0.59249
100.1199,0.59246
100.6089,0.59236
101.0979,0.59222
101.5869,0.59201
102.0759,0.59176
102.5649,0.59145
103.0539,0.59109
103.5429,0.59068
104.0319,0.59023
104.5209,0.58972
105.0099,0.58918
105.4989,0.58858
105.9879,0.58794
106.4769,0.58726
106.9659,0.58654
107.4549,0.58578
107.9439,0.58498
108.4329,0.58414
108.9219,0.58327
109.4109,0.58235
109.8999,0.5814
110.3889,0.58042
110.8779,0.5794
111.3669,0.57835
111.8559,0.57727
112.3449,0.57615
112.8339,0.57501
113.3229,0.57383
113.8119,0.57262
114.3009,0.57139
114.7899,0.57012
