Time,NormLogIntensity
ns,a.u.
23.1132,0.90032
23.6022,0.8302
24.0912,0.74536
24.5802,0.66746
25.0692,0.66946
25.5582,0.76323
26.0472,0.83515
26.53619,0.90458
27.02519,0.95412
27.51419,0.98
28.00319,0.99605
28.49219,0.99519
28.98119,0.99714
29.47019,0.97847
29.95919,0.94785
30.44819,0.92508
30.93719,0.88467
31.42619,0.82764
31.91519,0.73791
32.40418,0.66645
32.89318,0.61183
33.38218,0.56908
33.87118,0.624
34.36018,0.6351
34.84918,0.63707
35.33818,0.6061
35.82718,0.56206
36.31618,0.52416
36.80518,0.51912
37.29418,0.54935
37.78318,0.58703
38.27217,0.58099
38.76117,0.64341
39.25017,0.64944
39.73917,0.63901
40.22817,0.60941
40.71717,0.5533
41.20617,0.54246
41.69517,0.52741
42.18417,0.548
42.67317,0.54387
43.16217,0.55837
43.65117,0.54801
44.14016,0.51024
44.62916,0.47396
45.11816,0.43641
45.60716,0.4364
46.09616,0.52414
46.58516,0.59646
47.07416,0.68446
47.56316,0.73267
48.05216,0.78206
48.54116,0.80864
49.03016,0.81754
49.51916,0.82075
50.00815,0.82721
50.49715,0.79904
50.98615,0.78422
51.47515,0.76532
51.96415,0.75563
52.45315,0.75562
52.94215,0.7566
53.43115,0.76463
53.92015,0.78304
54.40915,0.8026
54.89815,0.81515
55.38714,0.80344
55.87614,0.79921
56.36514,0.77639
56.85414,0.75661
57.34314,0.7506
57.83214,0.7215
58.32114,0.72018
58.81014,0.72406
59.29914,0.71785
59.78814,0.72406
60.27714,0.73028
60.76614,0.68882
61.25513,0.67907
61.74413,0.61264
62.23313,0.57245
62.72213,0.51025
63.21113,0.443
63.70013,0.45223
64.18913,0.46356
64.67813,0.56905
65.16713,0.59917
65.65613,0.59829
66.14513,0.58899
66.63413,0.56205
67.12312,0.55069
67.61212,0.44305
68.10112,0.4058
68.59012,0.41007
69.07912,0.46885
69.56812,0.52739
70.05712,0.56561
70.54612,0.58703
71.03512,0.57892
71.52412,0.54388
72.01312,0.45807
72.50212,0.37077
72.99111,0.44919
73.48011,0.55836
73.96911,0.64704
74.45811,0.70436
74.94711,0.75008
75.43611,0.77966
75.92511,0.80023
76.41411,0.79412
76.90311,0.78422
77.39211,0.75215
77.88111,0.71549
78.37011,0.66848
78.8591,0.57357
79.3481,0.53057
79.8371,0.59088
80.3261,0.68043
80.8151,0.72965
81.3041,0.77236
81.7931,0.79625
82.2821,0.81147
82.7711,0.80444
83.2601,0.79678
83.7491,0.77196
84.23809,0.72377
84.72709,0.66283
85.21609,0.58705
85.70509,0.38201
86.19409,0.31226
86.68309,0.47639
87.17209,0.54799
87.66109,0.61019
88.15009,0.63641
88.63909,0.65292
89.12809,0.63902
89.61709,0.58997
90.10608,0.55069
90.59508,0.49864
91.08408,0.37084
91.57308,0.32976
92.06208,0.38183
92.55108,0.38702
93.04008,0.4258
93.52908,0.38704
94.01808,0.41007
94.50708,0.31243
94.99608,0.31234
95.48508,0.3026
95.97407,0.40135
96.46307,0.44297
96.95207,0.50062
97.44107,0.5757
97.93007,0.58605
98.41907,0.5507
98.90807,0.55961
99.39707,0.51205
99.88607,0.44923
100.3751,0.44299
100.8641,0.48352
101.3531,0.55962
101.8421,0.61809
102.3311,0.67721
102.8201,0.70288
103.3091,0.74801
103.7981,0.74643
104.2871,0.75902
104.7761,0.75636
105.2651,0.73327
105.7541,0.66896
106.2431,0.60005
106.7321,0.52081
107.2211,0.39198
107.7101,0.35202
108.1991,0.54528
108.6881,0.62329
109.1771,0.66014
109.6661,0.70735
110.155,0.72876
110.644,0.72875
111.133,0.72438
111.622,0.71375
112.111,0.67291
112.6,0.64403
113.089,0.59738
113.578,0.5026
114.067,0.40579
114.556,0.26755
115.045,0.16881
115.534,0.25323
116.023,0.2804
116.512,0.29202
117.001,0.35198
117.49,0.3026
117.979,0.26756
118.468,0.19597
118.957,0
119.446,0.25323
119.935,0.33764
