Time,NormLogIntensity
ns,a.u.
23.1132,0.8888
23.6022,0.84082
24.0912,0.76576
24.5802,0.66241
25.0692,0.62897
25.5582,0.73404
26.0472,0.83189
26.53619,0.90038
27.02519,0.94683
27.51419,0.97701
28.00319,0.99414
28.49219,1
28.98119,0.99546
29.47019,0.98082
29.95919,0.95578
30.44819,0.91946
30.93719,0.87058
31.42619,0.80706
31.91519,0.72732
32.40418,0.63754
32.89318,0.57408
33.38218,0.57966
33.87118,0.61346
34.36018,0.63579
34.84918,0.6384
35.33818,0.62199
35.82718,0.58874
36.31618,0.54659
36.80518,0.51664
37.29418,0.52405
37.78318,0.55915
38.27217,0.59486
38.76117,0.61897
39.25017,0.62881
39.73917,0.62448
40.22817,0.60716
40.71717,0.57935
41.20617,0.54695
41.69517,0.5211
42.18417,0.51235
42.67317,0.5177
43.16217,0.52355
43.65117,0.51788
44.14016,0.49291
44.62916,0.44573
45.11816,0.3983
45.60716,0.43228
46.09616,0.5323
46.58516,0.62343
47.07416,0.69334
47.56316,0.74526
48.05216,0.78246
48.54116,0.80744
49.03016,0.82179
49.51916,0.82657
50.00815,0.82278
50.49715,0.81154
50.98615,0.79466
51.47515,0.77562
51.96415,0.75957
52.45315,0.75216
52.94215,0.75567
53.43115,0.76692
53.92015,0.78025
54.40915,0.79105
54.89815,0.79674
55.38714,0.79631
55.87614,0.78998
56.36514,0.77888
56.85414,0.76514
57.34314,0.75193
57.83214,0.74233
58.32114,0.73783
58.81014,0.7372
59.29914,0.73696
59.78814,0.73329
60.27714,0.72285
60.76614,0.70273
61.25513,0.6701
61.74413,0.62141
62.23313,0.55191
62.72213,0.46061
63.21113,0.38689
63.70013,0.42103
64.18913,0.49554
64.67813,0.54873
65.16713,0.57732
65.65613,0.58416
66.14513,0.57023
66.63413,0.53461
67.12312,0.47517
67.61212,0.39955
68.10112,0.37067
68.59012,0.43432
69.07912,0.50817
69.56812,0.5593
70.05712,0.58713
70.54612,0.59319
71.03512,0.57743
71.52412,0.53734
72.01312,0.47132
72.50212,0.4157
72.99111,0.46916
73.48011,0.57088
73.96911,0.65345
74.45811,0.71294
74.94711,0.75395
75.43611,0.77975
75.92511,0.79209
76.41411,0.79152
76.90311,0.77773
77.39211,0.74923
77.88111,0.70363
78.37011,0.63838
78.8591,0.56227
79.3481,0.53728
79.8371,0.60115
80.3261,0.67702
80.8151,0.73457
81.3041,0.77372
81.7931,0.79724
82.2821,0.80734
82.7711,0.80505
83.2601,0.79041
83.7491,0.76267
84.23809,0.71981
84.72709,0.6581
85.21609,0.57186
85.70509,0.46335
86.19409,0.41147
86.68309,0.48173
87.17209,0.55579
87.66109,0.60215
88.15009,0.62538
88.63909,0.62959
89.12809,0.6166
89.61709,0.58668
90.10608,0.53852
90.59508,0.47025
91.08408,0.38672
91.57308,0.32584
92.06208,0.34118
92.55108,0.3866
93.04008,0.41534
93.52908,0.41957
94.01808,0.39896
94.50708,0.35575
94.99608,0.31247
95.48508,0.32901
95.97407,0.40128
96.46307,0.47193
96.95207,0.52311
97.44107,0.55469
97.93007,0.56802
98.41907,0.56331
98.90807,0.53942
99.39707,0.49491
99.88607,0.43694
100.3751,0.41617
100.8641,0.4818
101.3531,0.56849
101.8421,0.63929
102.3311,0.69192
102.8201,0.72896
103.3091,0.75281
103.7981,0.76486
104.2871,0.76556
104.7761,0.75475
105.2651,0.73135
105.7541,0.69294
106.2431,0.63529
106.7321,0.55049
107.2211,0.43265
107.7101,0.37434
108.1991,0.47751
108.6881,0.57365
109.1771,0.63738
109.6661,0.67801
110.155,0.70158
110.644,0.71161
111.133,0.70991
111.622,0.69728
112.111,0.67398
112.6,0.63964
113.089,0.5935
113.578,0.53463
114.067,0.46366
114.556,0.38764
115.045,0.33082
115.534,0.31874
116.023,0.33215
116.512,0.34274
117.001,0.3395
117.49,0.32083
117.979,0.28852
118.468,0.24787
118.957,0.20985
119.446,0.18693
119.935,0.17875
