Time,NormLogIntensity
ns,a.u.
20.4157,1
20.9047,0.99611
21.3938,0.99714
21.8828,0.98293
22.3718,0.97488
22.8607,0.96964
23.3498,0.96972
23.8387,0.95684
24.3278,0.95684
24.8168,0.9337
25.3058,0.94173
25.7948,0.94339
26.2837,0.92831
26.7727,0.91085
27.2617,0.93073
27.7508,0.91199
28.2397,0.91028
28.7287,0.91756
29.2178,0.90008
29.7067,0.90154
30.1958,0.89317
30.6848,0.8882
31.1738,0.88846
31.6627,0.88278
32.1517,0.87428
32.6408,0.86711
33.1298,0.85974
33.6188,0.8535
34.1078,0.85665
34.5968,0.84804
35.0858,0.84488
35.5747,0.84273
36.0638,0.83742
36.5527,0.8321
37.0418,0.81707
37.5307,0.8147
38.0197,0.80436
38.5088,0.80413
38.9977,0.79672
39.4868,0.78235
39.9757,0.77602
40.4647,0.76614
40.9537,0.75165
41.4427,0.75165
41.9318,0.73151
42.4207,0.73301
42.9098,0.72493
43.3987,0.71344
43.8877,0.70645
44.3768,0.70374
44.8657,0.67958
45.3548,0.65649
45.8438,0.662
46.3328,0.6199
46.8218,0.64946
47.3107,0.61749
47.7998,0.58707
48.2887,0.57358
48.7778,0.56578
49.2668,0.56692
49.7558,0.53406
50.2447,0.52976
50.7337,0.4919
51.2228,0.48022
51.7117,0.43022
52.2008,0.43022
52.6898,0.36805
53.1788,0.4057
53.6677,0.28421
54.1567,0.28421
54.6457,0.21968
55.1347,0.25987
55.6238,0.25078
56.1128,0.24111
56.6018,0.043099
57.0907,0.12694
57.5797,0.076528
58.0688,0
58.5577,0
59.0467,0.10384
59.5358,0.20769
60.0247,0.23078
60.5138,0.23078
61.0027,0.29849
61.4918,0.26843
61.9808,0.30515
62.4697,0.32352
62.9587,0.38037
63.4477,0.4057
63.9368,0.40899
64.4257,0.36371
64.9148,0.43846
65.4038,0.42736
65.8927,0.42149
66.3818,0.46755
66.8708,0.50273
67.3598,0.50787
67.8487,0.47189
68.3378,0.49741
68.8268,0.52976
69.3157,0.55139
69.8048,0.52976
70.2938,0.5312
70.7827,0.5312
71.2717,0.53961
71.7608,0.54756
72.2498,0.52382
72.7387,0.60126
73.2278,0.58707
73.7168,0.55389
74.2057,0.55512
74.6947,0.56692
75.1838,0.55012
75.6728,0.59944
76.1617,0.57466
76.6508,0.57574
77.1398,0.57249
77.6287,0.57786
78.1178,0.58507
78.6068,0.58507
79.0958,0.56692
79.5847,0.57786
80.0738,0.58806
80.5628,0.58904
81.0517,0.61087
81.5408,0.60394
82.0298,0.60126
82.5188,0.5948
83.0077,0.61087
83.4968,0.59098
83.9858,0.63214
84.4747,0.61749
84.9638,0.58806
85.4528,0.58806
85.9417,0.5976
86.4307,0.58607
86.9198,0.61087
87.4088,0.61749
87.8977,0.60917
88.3868,0.59574
88.8758,0.60305
89.3648,0.60744
89.8537,0.59195
90.3428,0.59667
90.8317,0.61002
91.3207,0.60394
91.8098,0.61422
92.2988,0.60216
92.7878,0.61339
93.2767,0.61504
93.7658,0.63214
94.2547,0.63287
94.7437,0.62538
95.2327,0.60744
95.7218,0.62917
96.2107,0.61002
96.6997,0.61002
97.1888,0.62614
97.6777,0.62767
98.1667,0.6314
98.6557,0.64413
99.1448,0.60216
99.6337,0.62149
100.123,0.60744
100.612,0.63066
101.101,0.61422
101.59,0.61255
102.079,0.60917
102.568,0.59667
103.057,0.61668
103.546,0.64139
104.035,0.63577
104.524,0.62461
105.013,0.60394
105.502,0.6057
105.991,0.62691
106.48,0.60744
106.969,0.62149
107.458,0.60305
107.947,0.60035
108.436,0.5976
108.925,0.59386
109.414,0.60035
109.903,0.61504
110.392,0.59667
110.881,0.61002
111.37,0.57996
111.859,0.60744
112.348,0.5976
112.837,0.5768
113.326,0.5768
113.815,0.56231
114.304,0.58707
114.793,0.56805
115.282,0.54756
115.771,0.55876
116.26,0.55995
116.749,0.53406
117.238,0.56348
117.727,0.53546
118.216,0.52382
118.705,0.56692
119.194,0.54096
119.683,0.51921
