Time,NormLogIntensity
ns,a.u.
24.2268,0.95522
24.7158,0.95072
25.2048,0.94613
25.6938,0.94145
26.1828,0.93667
26.67181,0.93179
27.16081,0.92682
27.64981,0.92174
28.13881,0.91655
28.62781,0.91126
29.11681,0.90586
29.60581,0.90035
30.09481,0.89473
30.58381,0.88899
31.07281,0.88312
31.56181,0.87714
32.05081,0.87103
32.53982,0.86479
33.02882,0.85842
33.51782,0.85191
34.00682,0.84527
34.49582,0.83847
34.98482,0.83153
35.47382,0.82444
35.96282,0.81718
36.45182,0.80977
36.94082,0.80218
37.42982,0.79442
37.91882,0.78648
38.40783,0.77835
38.89683,0.77002
39.38583,0.76149
39.87483,0.75275
40.36383,0.74379
40.85283,0.7346
41.34183,0.72518
41.83083,0.7155
42.31983,0.70556
42.80883,0.69535
43.29783,0.68485
43.78684,0.67405
44.27584,0.66294
44.76484,0.65149
45.25384,0.6397
45.74284,0.62753
46.23184,0.61497
46.72084,0.602
47.20984,0.58859
47.69884,0.57472
48.18784,0.56036
48.67684,0.54548
49.16584,0.53005
49.65485,0.51403
50.14385,0.4974
50.63285,0.48011
51.12185,0.46215
51.61085,0.44347
52.09985,0.42406
52.58885,0.40391
53.07785,0.38303
53.56685,0.36147
54.05585,0.33932
54.54485,0.31676
55.03385,0.29405
55.52286,0.27164
56.01186,0.25013
56.50086,0.23036
56.98986,0.21336
57.47886,0.20024
57.96786,0.19201
58.45686,0.1893
58.94586,0.19215
59.43486,0.20002
59.92386,0.21194
60.41286,0.22681
60.90186,0.24356
61.39087,0.26134
61.87987,0.27949
62.36887,0.29756
62.85787,0.31525
63.34687,0.33237
63.83587,0.34882
64.32487,0.36454
64.81387,0.37952
65.30287,0.39377
65.79187,0.40731
66.28087,0.42015
66.76987,0.43234
67.25888,0.4439
67.74788,0.45488
68.23688,0.4653
68.72588,0.47519
69.21488,0.48459
69.70388,0.49352
70.19288,0.502
70.68188,0.51007
71.17088,0.51775
71.65988,0.52505
72.14888,0.53199
72.63789,0.5386
73.12689,0.54489
73.61589,0.55088
74.10489,0.55657
74.59389,0.56199
75.08289,0.56715
75.57189,0.57205
76.06089,0.57671
76.54989,0.58114
77.03889,0.58534
77.52789,0.58934
78.01689,0.59312
78.5059,0.59671
78.9949,0.60011
79.4839,0.60332
79.9729,0.60636
80.4619,0.60922
80.9509,0.61192
81.4399,0.61445
81.9289,0.61683
82.4179,0.61906
82.9069,0.62114
83.3959,0.62308
83.8849,0.62487
84.37391,0.62654
84.86291,0.62807
85.35191,0.62947
85.84091,0.63075
86.32991,0.6319
86.81891,0.63294
87.30791,0.63385
87.79691,0.63466
88.28591,0.63535
88.77491,0.63593
89.26391,0.63641
89.75291,0.63678
90.24192,0.63704
90.73092,0.63721
91.21992,0.63727
91.70892,0.63724
92.19792,0.63711
92.68692,0.63689
93.17592,0.63658
93.66492,0.63617
94.15392,0.63567
94.64292,0.63509
95.13192,0.63441
95.62093,0.63365
96.10993,0.63281
96.59893,0.63188
97.08793,0.63086
97.57693,0.62977
98.06593,0.62859
98.55493,0.62734
99.04393,0.626
99.53293,0.62459
100.0219,0.6231
100.5109,0.62153
100.9999,0.61988
101.4889,0.61816
101.9779,0.61637
102.4669,0.6145
102.9559,0.61255
103.4449,0.61054
103.9339,0.60845
104.4229,0.60629
104.9119,0.60406
105.4009,0.60175
105.8899,0.59938
106.3789,0.59694
106.8679,0.59442
107.3569,0.59184
107.8459,0.58919
108.3349,0.58647
108.8239,0.58368
109.3129,0.58082
109.8019,0.57789
110.291,0.5749
110.78,0.57184
111.269,0.56871
111.758,0.56552
112.247,0.56226
112.736,0.55893
113.225,0.55553
113.714,0.55207
114.203,0.54854
114.692,0.54495
115.181,0.54129
