Velocity,NormIntensity
mm/s,a.u.
-9.7,1
-9.6879,0.99996
-9.6758,0.99993
-9.6636,0.99989
-9.6515,0.99985
-9.6394,0.99981
-9.6273,0.99977
-9.6151,0.99973
-9.603,0.99968
-9.5909,0.99964
-9.5787,0.9996
-9.5666,0.99955
-9.5545,0.99951
-9.5424,0.99946
-9.5303,0.99942
-9.5181,0.99937
-9.506,0.99932
-9.4939,0.99927
-9.4817,0.99922
-9.4696,0.99917
-9.4575,0.99912
-9.4454,0.99906
-9.4332,0.99901
-9.4211,0.99895
-9.409,0.99889
-9.3969,0.99884
-9.3848,0.99878
-9.3726,0.99872
-9.3605,0.99865
-9.3484,0.99859
-9.3362,0.99853
-9.3241,0.99846
-9.312,0.99839
-9.2999,0.99832
-9.2878,0.99825
-9.2756,0.99818
-9.2635,0.99811
-9.2514,0.99803
-9.2393,0.99795
-9.2271,0.99787
-9.215,0.99779
-9.2029,0.99771
-9.1907,0.99763
-9.1786,0.99754
-9.1665,0.99745
-9.1544,0.99736
-9.1423,0.99726
-9.1301,0.99717
-9.118,0.99707
-9.1059,0.99697
-9.0938,0.99686
-9.0816,0.99676
-9.0695,0.99665
-9.0574,0.99654
-9.0452,0.99642
-9.0331,0.9963
-9.021,0.99618
-9.0089,0.99605
-8.9968,0.99592
-8.9846,0.99579
-8.9725,0.99565
-8.9604,0.99551
-8.9482,0.99537
-8.9361,0.99522
-8.924,0.99506
-8.9119,0.99491
-8.8997,0.99474
-8.8876,0.99457
-8.8755,0.9944
-8.8634,0.99422
-8.8513,0.99403
-8.8391,0.99384
-8.827,0.99364
-8.8149,0.99343
-8.8027,0.99322
-8.7906,0.99299
-8.7785,0.99276
-8.7664,0.99252
-8.7543,0.99228
-8.7421,0.99202
-8.73,0.99175
-8.7179,0.99148
-8.7058,0.99119
-8.6936,0.99089
-8.6815,0.99057
-8.6694,0.99025
-8.6572,0.98991
-8.6451,0.98955
-8.633,0.98918
-8.6209,0.98879
-8.6088,0.98838
-8.5966,0.98796
-8.5845,0.98751
-8.5724,0.98704
-8.5602,0.98655
-8.5481,0.98603
-8.536,0.98548
-8.5239,0.98491
-8.5117,0.9843
-8.4996,0.98365
-8.4875,0.98297
-8.4754,0.98224
-8.4633,0.98147
-8.4511,0.98065
-8.439,0.97977
-8.4269,0.97883
-8.4147,0.97782
-8.4026,0.97673
-8.3905,0.97555
-8.3784,0.97428
-8.3663,0.97289
-8.3541,0.97138
-8.342,0.96972
-8.3299,0.9679
-8.3178,0.96589
-8.3056,0.96365
-8.2935,0.96116
-8.2814,0.95838
-8.2692,0.95526
-8.2571,0.95175
-8.245,0.94779
-8.2329,0.94332
-8.2208,0.93826
-8.2086,0.93254
-8.1965,0.92606
-8.1844,0.91874
-8.1723,0.91048
-8.1601,0.90119
-8.148,0.89078
-8.1359,0.87914
-8.1237,0.86622
-8.1116,0.85192
-8.0995,0.83621
-8.0874,0.81905
-8.0753,0.80042
-8.0631,0.78035
-8.051,0.75886
-8.0389,0.73604
-8.0267,0.71199
-8.0146,0.68683
-8.0025,0.66071
-7.9904,0.63383
-7.9783,0.60637
-7.9661,0.57855
-7.954,0.55061
-7.9419,0.52278
-7.9298,0.49531
-7.9176,0.46845
-7.9055,0.44245
-7.8934,0.41754
-7.8812,0.39398
-7.8691,0.37198
-7.857,0.35176
-7.8449,0.33352
-7.8327,0.31744
-7.8206,0.30369
-7.8085,0.2924
-7.7964,0.2837
-7.7843,0.27767
-7.7721,0.27436
-7.76,0.2738
-7.7479,0.27598
-7.7358,0.28086
-7.7236,0.28834
-7.7115,0.29832
-7.6994,0.31066
-7.6872,0.32516
-7.6751,0.34165
-7.663,0.35988
-7.6509,0.37962
-7.6387,0.40063
-7.6266,0.42265
-7.6145,0.44541
-7.6024,0.46868
-7.5903,0.49219
-7.5781,0.51573
-7.566,0.53906
-7.5539,0.56198
-7.5418,0.5843
-7.5296,0.60585
-7.5175,0.62648
-7.5054,0.64604
-7.4932,0.66443
-7.4811,0.68154
-7.469,0.69728
-7.4569,0.71159
-7.4447,0.72442
-7.4326,0.73571
-7.4205,0.74544
-7.4084,0.7536
-7.3963,0.76018
-7.3841,0.76517
-7.372,0.76859
-7.3599,0.77047
-7.3477,0.77083
-7.3356,0.7697
-7.3235,0.76713
-7.3114,0.76317
-7.2992,0.75788
-7.2871,0.75134
-7.275,0.7436
-7.2629,0.73474
-7.2508,0.72482
-7.2386,0.71396
-7.2265,0.70226
-7.2144,0.6898
-7.2023,0.67668
-7.1901,0.66298
-7.178,0.64882
-7.1659,0.63434
-7.1537,0.61964
-7.1416,0.60482
-7.1295,0.58995
-7.1174,0.57518
-7.1052,0.56062
-7.0931,0.54639
-7.081,0.53258
-7.0689,0.51926
-7.0568,0.50652
-7.0446,0.4945
-7.0325,0.48328
-7.0204,0.47293
-7.0083,0.46351
-6.9961,0.45508
-6.984,0.44771
-6.9719,0.44149
-6.9597,0.43645
-6.9476,0.43261
-6.9355,0.42999
-6.9234,0.42862
-6.9112,0.42854
-6.8991,0.42976
-6.887,0.43226
-6.8749,0.43601
-6.8628,0.44097
-6.8506,0.44715
-6.8385,0.45453
-6.8264,0.46303
-6.8143,0.4726
-6.8021,0.48315
-6.79,0.49464
-6.7779,0.50701
-6.7657,0.52018
-6.7536,0.53404
-6.7415,0.5485
-6.7294,0.56349
-6.7172,0.57891
-6.7051,0.59469
-6.693,0.61073
-6.6809,0.62693
-6.6688,0.6432
-6.6566,0.65947
-6.6445,0.67567
-6.6324,0.69172
-6.6203,0.70754
-6.6081,0.72308
-6.596,0.73828
-6.5839,0.75309
-6.5717,0.76747
-6.5596,0.78138
-6.5475,0.79478
-6.5354,0.80766
-6.5232,0.81999
-6.5111,0.83175
-6.499,0.84295
-6.4869,0.85357
-6.4748,0.86362
-6.4626,0.8731
-6.4505,0.88202
-6.4384,0.89039
-6.4262,0.89823
-6.4141,0.90555
-6.402,0.91237
-6.3899,0.91872
-6.3777,0.9246
-6.3656,0.93006
-6.3535,0.9351
-6.3414,0.93975
-6.3293,0.94403
-6.3171,0.94797
-6.305,0.9516
-6.2929,0.95492
-6.2808,0.95796
-6.2686,0.96075
-6.2565,0.96331
-6.2444,0.96564
-6.2322,0.96777
-6.2201,0.96972
-6.208,0.9715
-6.1959,0.97312
-6.1837,0.9746
-6.1716,0.97596
-6.1595,0.9772
-6.1474,0.97833
-6.1353,0.97937
-6.1231,0.98032
-6.111,0.98119
-6.0989,0.98198
-6.0868,0.98272
-6.0746,0.98339
-6.0625,0.98401
-6.0504,0.98458
-6.0382,0.98511
-6.0261,0.9856
-6.014,0.98605
-6.0019,0.98647
-5.9897,0.98686
-5.9776,0.98722
-5.9655,0.98756
-5.9534,0.98787
-5.9413,0.98817
-5.9291,0.98844
-5.917,0.98869
-5.9049,0.98893
-5.8928,0.98915
-5.8806,0.98936
-5.8685,0.98956
-5.8564,0.98974
-5.8442,0.98991
-5.8321,0.99006
-5.82,0.99021
-5.8079,0.99035
-5.7957,0.99048
-5.7836,0.9906
-5.7715,0.9907
-5.7594,0.99081
-5.7473,0.9909
-5.7351,0.99098
-5.723,0.99106
-5.7109,0.99113
-5.6988,0.99119
-5.6866,0.99125
-5.6745,0.9913
-5.6624,0.99134
-5.6502,0.99137
-5.6381,0.9914
-5.626,0.99142
-5.6139,0.99144
-5.6018,0.99144
-5.5896,0.99145
-5.5775,0.99144
-5.5654,0.99143
-5.5533,0.99141
-5.5411,0.99139
-5.529,0.99136
-5.5169,0.99132
-5.5047,0.99128
-5.4926,0.99123
-5.4805,0.99117
-5.4684,0.9911
-5.4562,0.99103
-5.4441,0.99095
-5.432,0.99086
-5.4199,0.99077
-5.4078,0.99066
-5.3956,0.99055
-5.3835,0.99043
-5.3714,0.9903
-5.3593,0.99016
-5.3471,0.99001
-5.335,0.98985
-5.3229,0.98968
-5.3107,0.9895
-5.2986,0.9893
-5.2865,0.9891
-5.2744,0.98888
-5.2622,0.98865
-5.2501,0.9884
-5.238,0.98814
-5.2259,0.98786
