Velocity,NormIntensity
mm/s,a.u.
-9.991,0.99995
-9.9789,0.99995
-9.9667,0.99995
-9.9546,0.99995
-9.9425,0.99995
-9.9304,0.99995
-9.9183,0.99995
-9.9061,0.99995
-9.894,0.99995
-9.8819,0.99995
-9.8697,0.99995
-9.8576,0.99995
-9.8455,0.99995
-9.8334,0.99995
-9.8212,0.99995
-9.8091,0.99995
-9.797,0.99995
-9.7849,0.99995
-9.7728,0.99995
-9.7606,0.99995
-9.7485,0.99995
-9.7364,0.99994
-9.7242,0.99994
-9.7121,0.99994
-9.7,0.99994
-9.6879,0.99994
-9.6758,0.99994
-9.6636,0.99994
-9.6515,0.99994
-9.6394,0.99994
-9.6273,0.99994
-9.6151,0.99994
-9.603,0.99994
-9.5909,0.99994
-9.5787,0.99994
-9.5666,0.99994
-9.5545,0.99994
-9.5424,0.99994
-9.5303,0.99994
-9.5181,0.99994
-9.506,0.99994
-9.4939,0.99994
-9.4817,0.99993
-9.4696,0.99993
-9.4575,0.99993
-9.4454,0.99993
-9.4332,0.99993
-9.4211,0.99993
-9.409,0.99993
-9.3969,0.99993
-9.3848,0.99993
-9.3726,0.99993
-9.3605,0.99993
-9.3484,0.99993
-9.3362,0.99993
-9.3241,0.99993
-9.312,0.99993
-9.2999,0.99993
-9.2878,0.99993
-9.2756,0.99993
-9.2635,0.99993
-9.2514,0.99992
-9.2393,0.99992
-9.2271,0.99992
-9.215,0.99992
-9.2029,0.99992
-9.1907,0.99992
-9.1786,0.99992
-9.1665,0.99992
-9.1544,0.99992
-9.1423,0.99992
-9.1301,0.99992
-9.118,0.99992
-9.1059,0.99992
-9.0938,0.99992
-9.0816,0.99992
-9.0695,0.99992
-9.0574,0.99992
-9.0452,0.99992
-9.0331,0.99991
-9.021,0.99991
-9.0089,0.99991
-8.9968,0.99991
-8.9846,0.99991
-8.9725,0.99991
-8.9604,0.99991
-8.9482,0.99991
-8.9361,0.99991
-8.924,0.99991
-8.9119,0.99991
-8.8997,0.99991
-8.8876,0.99991
-8.8755,0.99991
-8.8634,0.99991
-8.8513,0.99991
-8.8391,0.99991
-8.827,0.9999
-8.8149,0.9999
-8.8027,0.9999
-8.7906,0.9999
-8.7785,0.9999
-8.7664,0.9999
-8.7543,0.9999
-8.7421,0.9999
-8.73,0.9999
-8.7179,0.9999
-8.7058,0.9999
-8.6936,0.9999
-8.6815,0.9999
-8.6694,0.9999
-8.6572,0.9999
-8.6451,0.9999
-8.633,0.99989
-8.6209,0.99989
-8.6088,0.99989
-8.5966,0.99989
-8.5845,0.99989
-8.5724,0.99989
-8.5602,0.99989
-8.5481,0.99989
-8.536,0.99989
-8.5239,0.99989
-8.5117,0.99989
-8.4996,0.99989
-8.4875,0.99989
-8.4754,0.99989
-8.4633,0.99988
-8.4511,0.99988
-8.439,0.99988
-8.4269,0.99988
-8.4147,0.99988
-8.4026,0.99988
-8.3905,0.99988
-8.3784,0.99988
-8.3663,0.99988
-8.3541,0.99988
-8.342,0.99988
-8.3299,0.99988
-8.3178,0.99988
-8.3056,0.99988
-8.2935,0.99987
-8.2814,0.99987
-8.2692,0.99987
-8.2571,0.99987
-8.245,0.99987
-8.2329,0.99987
-8.2208,0.99987
-8.2086,0.99987
-8.1965,0.99987
-8.1844,0.99987
-8.1723,0.99987
-8.1601,0.99987
-8.148,0.99987
-8.1359,0.99986
-8.1237,0.99986
-8.1116,0.99986
-8.0995,0.99986
-8.0874,0.99986
-8.0753,0.99986
-8.0631,0.99986
-8.051,0.99986
-8.0389,0.99986
-8.0267,0.99986
-8.0146,0.99986
-8.0025,0.99986
-7.9904,0.99986
-7.9783,0.99985
-7.9661,0.99985
-7.954,0.99985
-7.9419,0.99985
-7.9298,0.99985
-7.9176,0.99985
-7.9055,0.99985
-7.8934,0.99985
-7.8812,0.99985
-7.8691,0.99985
-7.857,0.99985
-7.8449,0.99984
-7.8327,0.99984
-7.8206,0.99984
-7.8085,0.99984
-7.7964,0.99984
-7.7843,0.99984
-7.7721,0.99984
-7.76,0.99984
-7.7479,0.99984
-7.7358,0.99984
-7.7236,0.99984
-7.7115,0.99983
