NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.314,24.478,25.171,38.117,42.093,98.67,65.927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.965,1.721,2.489,4.782,8.753,24.783,25.855,35.221,3.661,2.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.296,NaN,36.519,1.791,0.963,1.086,1.516,2.137,3.318,4.296,6.343,4.25,1.952,2.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114.821,NaN,6.411,0.953,1.04,0.99,1.061,1.27,1.561,2.418,4.485,2.608,1.451,3.211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,130.933,NaN,NaN,2.417,0.974,0.899,0.992,0.997,1.17,1.372,3.144,5.526,1.478,1.232,2.283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.407,1.148,0.924,1.003,0.933,0.941,1.127,1.411,2.447,1.289,1.062,1.116,3.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147,NaN,3.537,0.984,0.982,1.065,1.072,1.034,1.059,1.142,1.269,1.094,0.964,1.145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.992,1.504,0.978,1.084,1.084,1.032,1.057,1.037,1.082,1.077,1.116,0.932,1.011,3.456,NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133.816,NaN,3.994,0.992,0.939,0.943,1.089,1.27,1.092,0.992,1.012,1.014,0.947,1.03,1.113,2.876,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.735,NaN,13.326,1.077,0.958,0.947,1.178,1.059,1.022,1.073,1.03,1.029,1.122,1.197,1.065,1.026,1.841,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.913,1.245,1.083,1.106,1.042,1.086,1.131,1.059,1.067,1.066,1.237,1.207,1.399,1.207,1.089,2.704,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135.765,74.312,1.341,1.113,1.129,1.008,1.11,1.332,1.334,1.321,1.332,1.35,1.513,1.73,1.697,2.25,3.463,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,263.595,NaN,21.845,1.3,1.226,1.188,1.22,1.029,1.022,0.981,1.006,1.016,1.155,1.346,1.938,2.206,4.581,6.428,4.57,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.92,1.297,1.153,1.078,1.266,1.207,1.319,1.438,1.448,1.466,1.355,1.54,1.914,2.744,2.852,7.106,2.693,4.484,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137.68,2.269,1.452,1.701,1.699,1.568,1.484,1.3,1.591,1.604,1.591,1.691,1.791,1.564,1.547,1.652,1.742,1.611,2.078,3.029,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.839,61.626,17.336,2.217,1.641,1.448,1.413,1.493,1.334,1.61,1.809,1.937,1.909,1.406,1.461,1.463,1.401,1.232,1.428,1.773,1.762,2.367,0,0
