Twotheta,NormalizedIntensity
degrees,a.u.
5.12,0
5.1225,0
5.125,0
5.1275,0
5.13,0
5.1325,0
5.135,0
5.1375,0
5.14,0
5.1425,0
5.145,0
5.1475,0
5.15,0
5.1525,0
5.155,0
5.1575,0
5.16,0
5.1625,0
5.165,0
5.1675,0
5.17,0
5.1725,0
5.175,0
5.1775,0
5.18,0
5.1825,0
5.185,0
5.1875,0
5.19,0
5.1925,0
5.195,0
5.1975,0
5.2,0
5.2025,0
5.205,0
5.2075,0
5.21,0
5.2125,0
5.215,0
5.2175,0
5.22,0
5.2225,0
5.225,0
5.2275,0
5.23,0
5.2325,0
5.235,0
5.2375,0
5.24,0
5.2425,0
5.245,0
5.2475,0
5.25,0
5.2525,0
5.255,0
5.2575,0
5.26,0
5.2625,0
5.265,0
5.2675,0
5.27,0
5.2725,0
5.275,0
5.2775,0
5.28,0
5.2825,0
5.285,0
5.2875,0
5.29,0
5.2925,0
5.295,0
5.2975,0
5.3,0
5.3025,0
5.305,0
5.3075,0
5.31,0
5.3125,0
5.315,0
5.3175,0
5.32,0
5.3225,0
5.325,0
5.3275,0
5.33,0
5.3325,0
5.335,0
5.3375,0
5.34,0
5.3425,0
5.345,0
5.3475,0
5.35,0
5.3525,0
5.355,0
5.3575,0
5.36,0
5.3625,0
5.365,0
5.3675,0
5.37,0
5.3725,0
5.375,0
5.3775,0
5.38,0
5.3825,0
5.385,0
5.3875,0
5.39,0
5.3925,0
5.395,0
5.3975,0
5.4,0
5.4025,0
5.405,0
5.4075,0
5.41,0
5.4125,0
5.415,0
5.4175,0
5.42,0
5.4225,0
5.425,0
5.4275,0
5.43,0
5.4325,0
5.435,0
5.4375,0
5.44,0
5.4425,0
5.445,0
5.4475,0
5.45,0
5.4525,0
5.455,0
5.4575,0
5.46,0
5.4625,0
5.465,0
5.4675,0
5.47,0
5.4725,0
5.475,0
5.4775,0
5.48,0
5.4825,0
5.485,0
5.4875,0
5.49,0
5.4925,0
5.495,0
5.4975,0
5.5,0
5.5025,0
5.505,0
5.5075,0
5.51,0
5.5125,0
5.515,0
5.5175,0
5.52,0
5.5225,0
5.525,0
5.5275,0
5.53,0
5.5325,0
5.535,0
5.5375,0
5.54,0
5.5425,0
