Twotheta,NormalizedIntensity
degrees,a.u.
4.51275,0.94311
4.53825,0.93388
4.56375,0.92991
4.58925,0.92348
4.61475,0.91834
4.64025,0.90418
4.66575,0.89893
4.69125,0.88911
4.71675,0.87922
4.74225,0.86651
4.76775,0.8528
4.79325,0.85034
4.81875,0.84164
4.84425,0.83232
4.86975,0.82308
4.89525,0.80986
4.92075,0.80403
4.94625,0.78908
4.97175,0.78225
4.99725,0.77557
5.02275,0.76854
5.04825,0.7598
5.07375,0.75098
5.09925,0.74138
5.12475,0.73261
5.15025,0.72707
5.17575,0.71747
5.20125,0.70955
5.22675,0.70161
5.25225,0.69444
5.27775,0.69015
5.30325,0.68039
5.32875,0.67472
5.35425,0.6681
5.37975,0.66316
5.40525,0.65719
5.43075,0.65032
5.45625,0.64726
5.48175,0.63961
5.50725,0.63861
5.53275,0.63082
5.55825,0.62811
5.58375,0.62388
5.60925,0.61689
5.63475,0.61671
5.66025,0.61191
5.68575,0.60868
5.71125,0.6051
5.73675,0.60296
5.76225,0.60133
5.78775,0.59594
5.81325,0.59586
5.83875,0.59192
5.86425,0.59052
5.88975,0.59088
5.91525,0.58869
5.94075,0.58777
5.96625,0.58687
5.99175,0.58577
6.01725,0.58384
6.04275,0.58587
6.06825,0.58447
6.09375,0.58493
6.11925,0.58531
6.14475,0.58515
6.17025,0.58822
6.19575,0.58891
6.22125,0.58895
6.24675,0.58873
6.27225,0.59112
6.29775,0.5909
6.32325,0.59184
6.34875,0.59757
6.37425,0.59769
6.39975,0.60235
6.42525,0.60342
6.45075,0.6043
6.47625,0.60916
6.50175,0.61201
6.52725,0.61804
6.55275,0.61813
6.57825,0.62733
6.60375,0.62464
6.62925,0.63318
6.65475,0.63313
6.68025,0.63498
6.70575,0.64334
6.73125,0.64548
6.75675,0.65434
6.78225,0.65148
6.80775,0.65951
6.83325,0.66249
6.85875,0.66858
6.88425,0.67032
6.90975,0.67274
6.93525,0.68451
6.96075,0.68201
6.98625,0.69049
7.01175,0.69328
7.03725,0.69864
7.06275,0.69703
7.08825,0.69746
7.11375,0.70625
7.13925,0.70235
7.16475,0.71316
7.19025,0.70972
7.21575,0.713
7.24125,0.71507
7.26675,0.70994
7.29225,0.71662
7.31775,0.71068
7.34325,0.71869
7.36875,0.70722
7.39425,0.71927
7.41975,0.71109
7.44525,0.71156
7.47075,0.71216
7.49625,0.7068
7.52175,0.71097
7.54725,0.70175
7.57275,0.71018
7.59825,0.69913
7.62375,0.70159
7.64925,0.69263
7.67475,0.69225
7.70025,0.69047
7.72575,0.68378
7.75125,0.67992
7.77675,0.66843
7.80225,0.66912
7.82775,0.65837
7.85325,0.65584
7.87875,0.64661
7.90425,0.63904
7.92975,0.63503
7.95525,0.62567
7.98075,0.62063
8.00625,0.60873
8.03175,0.60634
8.05725,0.59413
8.08275,0.58714
8.10825,0.57963
8.13375,0.57188
8.15925,0.56475
8.18475,0.55708
8.21025,0.5535
8.23575,0.54484
8.26125,0.54177
8.28675,0.53155
8.31225,0.52728
8.33775,0.5205
8.36325,0.51341
8.38875,0.51207
8.41425,0.50553
8.43975,0.50303
8.46525,0.49484
8.49075,0.49344
8.51625,0.48741
8.54175,0.48243
8.56725,0.47992
8.59275,0.47653
8.61825,0.4735
8.64375,0.47028
8.66925,0.46729
8.69475,0.46416
8.72025,0.46317
8.74575,0.46105
8.77125,0.45918
8.79675,0.45751
8.82225,0.45665
8.84775,0.45616
8.87325,0.4509
8.89875,0.44844
8.92425,0.44654
8.94975,0.44667
8.97525,0.44863
9.00075,0.44752
9.02625,0.44496
9.05175,0.44448
9.07725,0.44271
9.10275,0.44059
9.12825,0.44085
9.15375,0.44125
9.17925,0.43997
9.20475,0.43911
9.23025,0.4403
9.25575,0.43889
9.28125,0.43823
9.30675,0.4401
9.33225,0.43792
9.35775,0.43889
9.38325,0.43679
9.40875,0.43654
9.43425,0.43589
9.45975,0.43655
9.48525,0.43721
9.51075,0.43831
9.53625,0.4379
9.56175,0.43703
9.58725,0.43794
9.61275,0.43623
9.63825,0.43948
9.66375,0.43895
9.68925,0.43833
9.71475,0.43761
9.74025,0.43707
9.76575,0.43778
9.79125,0.43788
9.81675,0.43847
9.84225,0.43684
9.86775,0.43867
9.89325,0.43851
9.91875,0.43786
9.94425,0.4392
9.96975,0.43898
9.99525,0.43594
10.0207,0.43481
10.0463,0.4343
10.0717,0.43369
10.0973,0.43111
10.1227,0.43139
10.1483,0.43016
10.1738,0.42897
10.1992,0.42768
10.2248,0.42746
10.2502,0.42756
10.2758,0.42635
10.3012,0.42381
10.3268,0.42208
10.3522,0.42118
10.3778,0.41801
10.4032,0.41552
10.4288,0.41087
10.4543,0.4102
10.4797,0.40648
10.5053,0.40589
10.5307,0.40385
10.5563,0.39984
10.5817,0.39806
10.6073,0.39434
10.6327,0.3922
10.6583,0.38928
10.6837,0.39036
10.7093,0.38419
10.7348,0.38166
10.7602,0.37966
10.7858,0.37884
10.8112,0.37711
10.8368,0.37357
10.8622,0.37154
10.8878,0.36942
10.9132,0.36772
10.9388,0.36723
10.9642,0.36656
10.9898,0.3648
11.0152,0.36151
11.0407,0.3584
11.0663,0.35822
11.0917,0.35579
11.1173,0.3533
11.1427,0.35163
11.1683,0.35114
11.1937,0.34945
11.2193,0.34815
11.2447,0.34693
11.2703,0.34513
11.2957,0.34252
11.3212,0.34294
11.3468,0.34117
11.3722,0.33942
11.3978,0.33909
11.4232,0.33832
11.4488,0.33729
11.4742,0.3363
11.4998,0.3368
11.5252,0.33453
11.5508,0.33466
11.5762,0.33321
11.6017,0.33134
11.6273,0.33105
11.6527,0.3309
11.6783,0.33027
11.7037,0.3293
11.7293,0.32928
11.7547,0.32937
11.7803,0.3299
11.8057,0.32753
11.8313,0.32698
11.8567,0.32664
11.8823,0.32617
11.9078,0.32424
11.9332,0.32485
11.9588,0.32452
11.9842,0.32257
12.0098,0.32203
12.0352,0.32261
12.0608,0.32177
12.0862,0.32249
12.1118,0.32277
12.1372,0.3223
12.1628,0.32161
12.1883,0.32079
12.2137,0.31772
12.2393,0.31992
12.2647,0.32052
12.2903,0.31951
12.3157,0.31991
12.3413,0.32225
12.3667,0.32121
12.3923,0.31999
12.4177,0.32013
12.4433,0.32047
12.4688,0.32037
12.4942,0.32037
12.5198,0.32142
12.5452,0.32126
12.5708,0.31997
12.5962,0.31912
12.6218,0.31944
12.6472,0.3187
12.6728,0.31964
12.6982,0.32162
12.7238,0.3233
12.7492,0.32296
12.7747,0.32389
12.8003,0.32327
12.8257,0.32404
12.8513,0.32272
12.8767,0.32392
12.9023,0.32443
12.9277,0.32569
12.9533,0.32632
12.9787,0.32929
13.0043,0.3281
13.0297,0.32813
13.0552,0.32929
13.0808,0.33043
13.1062,0.33186
13.1318,0.33164
13.1572,0.33352
13.1828,0.33624
13.2082,0.33694
13.2338,0.33674
13.2592,0.33627
13.2848,0.33581
13.3102,0.33605
13.3358,0.34001
13.3613,0.34245
13.3867,0.34344
13.4123,0.3445
13.4377,0.34677
13.4633,0.34851
13.4887,0.34956
13.5143,0.35251
13.5397,0.35405
13.5653,0.35856
13.5907,0.36208
13.6163,0.36408
13.6418,0.36889
13.6672,0.37303
13.6928,0.37869
13.7182,0.38517
13.7438,0.39499
13.7692,0.40669
13.7948,0.41787
13.8202,0.42716
13.8458,0.44
13.8712,0.44571
13.8968,0.44677
13.9223,0.44084
13.9477,0.43613
13.9733,0.4291
13.9987,0.42764
14.0243,0.42444
14.0497,0.42715
