Wavenumber,Transmission
cm^{-1},a.u.
3995.4829,0.97463
3994.5185,0.97472
3993.5541,0.9781
3992.5897,0.98088
3991.6253,0.98141
3990.6609,0.98115
3989.6966,0.98115
3988.7322,0.98036
3987.7678,0.97889
3986.8034,0.97819
3985.839,0.97863
3984.8746,0.97871
3983.9102,0.97889
3982.9458,0.97975
3981.9814,0.9801
3981.017,0.97958
3980.0526,0.9788
3979.0882,0.97784
3978.1238,0.97706
3977.1594,0.97724
3976.195,0.97863
3975.2306,0.9801
3974.2663,0.98097
3973.3019,0.98158
3972.3375,0.98132
3971.3731,0.97923
3970.4087,0.97724
3969.4443,0.97715
3968.4799,0.97828
3967.5155,0.97941
3966.5511,0.98097
3965.5867,0.98254
3964.6223,0.9828
3963.6579,0.98219
3962.6935,0.9821
3961.7291,0.98184
3960.7647,0.9808
3959.8004,0.97949
3958.836,0.97906
3957.8716,0.97932
3956.9072,0.97932
3955.9428,0.97967
3954.9784,0.98045
3954.014,0.98106
3953.0496,0.98123
3952.0852,0.98115
3951.1208,0.98115
3950.1564,0.98132
3949.192,0.98158
3948.2276,0.98115
3947.2632,0.9801
3946.2988,0.97984
3945.3344,0.97967
3944.3701,0.97871
3943.4057,0.97819
3942.4413,0.97836
3941.4769,0.97836
3940.5125,0.97854
3939.5481,0.97949
3938.5837,0.98062
3937.6193,0.98028
3936.6549,0.97776
3935.6905,0.97472
3934.7261,0.97385
3933.7617,0.97576
3932.7973,0.97802
3931.8329,0.97854
3930.8686,0.97732
3929.9041,0.97619
3928.9398,0.9768
3927.9754,0.97802
3927.011,0.97828
3926.0466,0.97828
3925.0822,0.97854
3924.1178,0.97967
3923.1534,0.98193
3922.189,0.98306
3921.2246,0.98219
3920.2602,0.98184
3919.2958,0.98236
3918.3314,0.98262
3917.367,0.98227
3916.4026,0.98071
3915.4383,0.97897
3914.4738,0.97871
3913.5095,0.97967
3912.5451,0.98106
3911.5807,0.98132
3910.6163,0.97941
3909.6519,0.97689
3908.6875,0.97584
3907.7231,0.97567
3906.7587,0.9748
3905.7943,0.97445
3904.8299,0.97619
3903.8655,0.97932
3902.9011,0.9821
3901.9367,0.98201
3900.9723,0.97932
3900.008,0.97767
3899.0436,0.97897
3898.0792,0.9801
3897.1148,0.97915
3896.1504,0.97915
3895.186,0.98062
3894.2216,0.98088
3893.2572,0.97967
3892.2928,0.97776
3891.3284,0.97689
3890.364,0.97863
3889.3996,0.98115
3888.4352,0.98123
3887.4708,0.97984
3886.5064,0.9788
3885.542,0.97897
3884.5777,0.98071
3883.6133,0.98262
3882.6489,0.98262
