Wavenumber,Transmission
cm^{-1},a.u.
3964.7044,0.99539
3923.7969,0.99232
3882.8894,0.98925
3841.9819,0.98792
3801.0744,0.97877
3765.2803,0.96465
3734.5997,0.9517
3714.1459,0.9331
3703.9191,0.91211
3693.6922,0.89434
3690.2832,0.87677
3678.3519,0.85708
3680.0564,0.84028
3668.125,0.81885
3666.4205,0.80148
3673.2384,0.79279
3657.8981,0.7702
3657.8981,0.7563
3657.8981,0.74414
3647.6713,0.72502
3647.6713,0.71113
3647.6713,0.69202
3637.4444,0.66595
3637.4444,0.65205
3637.4444,0.63294
3627.2175,0.60688
3627.2175,0.59298
3627.2175,0.57908
3627.2175,0.56692
3616.9906,0.54433
3616.9906,0.53043
3616.9906,0.51827
3606.7638,0.49568
3606.7638,0.48178
3606.7638,0.46354
3596.5369,0.44008
3596.5369,0.42618
3596.5369,0.41229
3586.31,0.38796
3586.31,0.37406
3586.31,0.3619
3574.3787,0.33699
3577.7876,0.3202
3565.8563,0.30108
3565.8563,0.28805
3555.6294,0.26633
3555.6294,0.24722
3545.4025,0.21942
3533.4712,0.19451
3535.1756,0.17772
3524.9488,0.15686
3514.7219,0.13775
3514.7219,0.12385
3504.495,0.10994
3509.6085,0.096049
3489.1547,0.082715
3484.0413,0.057377
3473.8144,0.042169
3458.4741,0.023048
3453.3607,0.0091467
3417.5666,0
3393.7039,0.010261
3376.6591,0.029358
3371.5457,0.042094
3361.3188,0.055984
3351.0919,0.084062
3351.0919,0.069874
3340.865,0.10056
3318.7068,0.11676
3294.8441,0.13324
3274.3904,0.14915
3243.7097,0.16578
3215.0745,0.18304
3192.5754,0.19933
3172.1216,0.21321
3151.6679,0.22839
3131.2141,0.24266
3100.5335,0.25731
3069.8529,0.26983
3039.1723,0.28448
3000.3101,0.29244
2972.6976,0.28154
2977.811,0.27286
2962.4707,0.26039
2962.4707,0.24708
2947.1304,0.23172
2942.0169,0.21724
2919.8587,0.19666
2921.5632,0.17814
2936.9035,0.1738
2916.4498,0.15989
2901.1094,0.21895
2883.2124,0.24369
2895.996,0.23168
2895.996,0.20678
2870.4288,0.25975
2844.8616,0.24187
2839.7482,0.30055
2839.7482,0.28665
2838.0437,0.26928
2831.2258,0.32371
2814.181,0.34396
2824.4079,0.31617
2809.0676,0.35699
2783.5004,0.37058
2763.0466,0.38431
2732.366,0.40239
2696.572,0.42089
2671.0048,0.4352
2650.551,0.45039
2633.5062,0.4637
2609.6435,0.4797
2578.9629,0.49551
2548.2823,0.51112
2512.4882,0.52875
2486.921,0.54582
2476.6942,0.5599
2456.2404,0.57953
2440.9001,0.59645
2425.5598,0.61237
2415.3329,0.62741
2398.2881,0.6442
2379.5389,0.6546
2364.1986,0.66965
2353.9717,0.68354
2333.5179,0.70104
2313.0642,0.71623
2292.6104,0.73272
2272.1567,0.74891
2241.4761,0.76511
2205.682,0.77261
2164.7745,0.77041
2123.867,0.77081
2082.9595,0.78251
2057.3923,0.79812
2036.9386,0.81649
2016.4848,0.83472
2010.3522,0.82694
2002.6813,0.83914
1997.5662,0.84785
1989.8972,0.85917
1977.1349,0.86876
1961.815,0.88269
1949.0546,0.8914
1938.8389,0.90186
1928.6251,0.91144
1915.8627,0.92102
1900.5502,0.93147
1887.7897,0.94019
1877.5813,0.94715
1859.7275,0.95412
1844.4258,0.95935
1829.1314,0.96109
1813.8406,0.96109
1798.562,0.95528
1785.8457,0.9428
1775.6791,0.92973
1768.0592,0.91754
1765.5289,0.90883
1760.4574,0.89663
1755.3987,0.87834
1750.3363,0.86179
1747.8351,0.83914
1742.7636,0.82694
1742.7854,0.81649
1737.7103,0.80604
1737.7358,0.79384
1732.6643,0.78165
1732.6898,0.76945
1727.611,0.76074
1727.6328,0.75029
1722.5613,0.73809
1722.5904,0.72416
1717.519,0.71196
1717.5408,0.70151
1712.4657,0.69105
1712.4875,0.6806
1707.4124,0.67015
1707.4342,0.65969
1702.3591,0.64924
1702.3845,0.63705
1697.3094,0.62659
1697.3348,0.6144
1692.2706,0.59872
1687.2028,0.58478
1687.2319,0.57084
1682.1604,0.55865
1682.1931,0.54297
1677.118,0.53252
1677.1471,0.51858
1672.0938,0.49767
1672.1301,0.48025
1667.0623,0.46631
1667.0987,0.44889
1662.0272,0.4367
1662.0563,0.42276
1656.9848,0.41056
1657.0139,0.39663
1651.946,0.38269
1646.8782,0.36875
1644.3515,0.3583
1631.6298,0.34843
1618.876,0.35394
1608.6604,0.3644
1590.8157,0.36701
1578.0915,0.3583
1562.7989,0.35917
1547.4754,0.37485
1539.8137,0.38269
1534.695,0.39314
1527.0205,0.40708
1521.8981,0.41927
1519.3315,0.42799
1514.1982,0.44541
1514.2164,0.4367
1509.0795,0.45586
1501.3923,0.4759
1503.9644,0.46457
1496.2699,0.48809
1493.6978,0.49941
1488.5536,0.52206
1488.5791,0.50987
1478.3343,0.53426
1468.155,0.52729
1468.1805,0.51509
1463.1017,0.50638
1460.5787,0.49419
1452.9588,0.48199
1450.4339,0.47067
1442.8085,0.46109
1440.2892,0.44715
1435.225,0.43147
1432.7019,0.41927
1425.082,0.40708
1412.367,0.39401
1402.1531,0.40359
1397.0089,0.42624
1397.0307,0.41579
1386.7896,0.43844
1376.5812,0.44541
1371.4262,0.47328
1371.4589,0.4576
1366.2783,0.49767
1366.3074,0.48374
1361.116,0.52903
1361.1523,0.51161
1353.4088,0.55865
1355.9936,0.54123
1345.7246,0.57723
1330.4266,0.58072
1317.6667,0.58914
1307.4438,0.60307
1299.7784,0.61266
1294.6306,0.63705
1294.656,0.62485
1289.4827,0.66144
1289.5082,0.64924
1284.3458,0.6806
1284.3676,0.67015
1272.8568,0.69062
1263.9545,0.68234
1253.7806,0.67276
1241.0256,0.67886
1238.4553,0.68931
1233.3366,0.69976
1223.1221,0.70964
1210.395,0.70238
1205.3199,0.69193
1200.2538,0.67712
1197.7345,0.66318
1192.6557,0.65447
1192.6884,0.63879
1187.6097,0.63008
1187.646,0.61266
1184.322,0.57723
1182.5855,0.59523
1177.5528,0.56446
1177.5903,0.54645
1172.537,0.52555
1172.5879,0.50116
1167.5274,0.48374
1167.571,0.46283
1162.5104,0.44541
1162.554,0.4245
1157.4935,0.40708
1152.4256,0.39314
1137.0949,0.41231
1142.2136,0.40185
1132.0379,0.39314
1126.9774,0.37572
1127.0137,0.3583
1121.9459,0.34436
1121.9822,0.32694
1116.9108,0.31474
1116.9435,0.29906
1111.872,0.28687
1109.3526,0.27293
1104.2884,0.25725
1094.1091,0.25028
1083.8825,0.26596
1081.3159,0.27467
1076.1972,0.28513
1071.0784,0.29558
1065.9597,0.30603
1060.841,0.31649
1055.7222,0.32694
1045.5041,0.33855
1035.3091,0.33913
1030.2303,0.33042
1020.0474,0.3252
1020.0765,0.31126
1014.925,0.33739
1009.6899,0.40359
1009.7081,0.39488
1009.7627,0.36875
1009.7808,0.36004
1004.513,0.44192
1004.5421,0.42799
1004.5603,0.41927
999.35068,0.47328
999.38703,0.45586
994.17377,0.51161
994.2174,0.4907
988.98232,0.55691
989.03322,0.53252
983.79088,0.6022
983.84177,0.57781
978.6067,0.64402
978.65033,0.62311
973.41526,0.68931
973.46615,0.66492
968.26743,0.7137
968.29288,0.70151
960.56933,0.73896
963.1487,0.72416
952.89668,0.75203
942.67011,0.76771
942.68829,0.759
937.50412,0.80081
937.53683,0.78513
929.79874,0.82956
932.37447,0.81649
927.23029,0.83914
922.08974,0.86005
922.11518,0.84785
914.36437,0.89837
916.96373,0.87398
908.39614,0.90883
896.52513,0.89837
896.54937,0.88676
886.28039,0.92276
886.30947,0.90883
881.1253,0.95064
881.16165,0.93322
873.43265,0.97329
876.0102,0.95935
870.8551,0.98722
860.63581,0.99942
845.34382,1
835.16573,0.99245
830.09062,0.982
822.46704,0.97154
814.8362,0.96458
807.21626,0.95238
799.59632,0.94019
791.96548,0.93322
781.79526,0.92189
769.07294,0.91231
756.35244,0.90186
743.63073,0.89199
730.90781,0.88269
720.73396,0.87311
710.57101,0.8583
700.39897,0.84785
692.77177,0.83914
685.15546,0.8252
680.0858,0.81214
677.56824,0.79733
672.5004,0.78339
669.98102,0.76945
664.91137,0.75639
657.2987,0.74071
645.38952,0.74855
641.96248,0.76248
631.74803,0.77236
615.20908,0.75987
606.2622,0.77294
598.56955,0.79558
601.1471,0.78165
580.72789,0.79675
565.44075,0.795
552.66997,0.80865
550.10151,0.81823
544.98277,0.82869
534.76832,0.83856
522.00299,0.84959
509.23765,0.86063
501.57166,0.8705
483.75061,0.86179
483.77242,0.85133
478.70094,0.83914
478.72639,0.82694
468.55678,0.81533
460.92533,0.80865
455.80659,0.8191
453.23086,0.83217
448.0685,0.86353
448.11213,0.84262
442.93522,0.88095
437.78376,0.90708
437.80921,0.89489
430.10566,0.92276
427.53538,0.93322
419.84274,0.95586
422.42028,0.94193
409.61799,0.97067
401.95624,0.97851
