Wavenumber,Transmission
cm^{-1},a.u.
3998.3761,0.9828
3997.4117,0.98341
3996.4473,0.98388
3995.4829,0.98408
3994.5185,0.98401
3993.5541,0.98378
3992.5897,0.98353
3991.6253,0.98331
3990.661,0.98316
3989.6966,0.98305
3988.7322,0.98302
3987.7678,0.98312
3986.8034,0.98335
3985.839,0.98371
3984.8746,0.98418
3983.9102,0.98469
3982.9458,0.98512
3981.9814,0.98541
3981.017,0.98557
3980.0526,0.98567
3979.0882,0.98571
3978.1238,0.98567
3977.1594,0.98558
3976.195,0.98551
3975.2307,0.98553
3974.2663,0.9856
3973.3019,0.98568
3972.3375,0.98582
3971.3731,0.98609
3970.4087,0.98638
3969.4443,0.98644
3968.4799,0.98611
3967.5155,0.98551
3966.5511,0.98482
3965.5867,0.9842
3964.6223,0.98369
3963.6579,0.98329
3962.6935,0.98304
3961.7291,0.98305
3960.7647,0.98328
3959.8004,0.98353
3958.836,0.98368
3957.8716,0.98382
3956.9072,0.9841
3955.9428,0.98459
3954.9784,0.98521
3954.014,0.98585
3953.0496,0.9864
3952.0852,0.98676
3951.1208,0.98673
3950.1564,0.98614
3949.192,0.98512
3948.2276,0.98406
3947.2632,0.98342
3946.2988,0.98338
3945.3345,0.98367
3944.3701,0.98397
3943.4057,0.98408
3942.4413,0.98401
3941.4769,0.98388
3940.5125,0.98381
3939.5481,0.98401
3938.5837,0.98453
3937.6193,0.98521
3936.6549,0.9858
3935.6905,0.98617
3934.7261,0.98627
3933.7617,0.98621
3932.7973,0.98625
3931.8329,0.98644
3930.8685,0.98659
3929.9042,0.98653
3928.9398,0.98629
3927.9754,0.98599
3927.011,0.98576
3926.0466,0.98577
3925.0822,0.98609
3924.1178,0.98666
3923.1534,0.98727
3922.189,0.98769
3921.2246,0.98778
3920.2602,0.98757
3919.2958,0.98717
3918.3314,0.98674
3917.367,0.98655
3916.4026,0.98682
3915.4382,0.98742
3914.4739,0.98796
3913.5095,0.98818
3912.5451,0.98805
3911.5807,0.98762
3910.6163,0.98711
3909.6519,0.98675
3908.6875,0.98669
3907.7231,0.98695
3906.7587,0.98746
3905.7943,0.98808
3904.8299,0.98867
3903.8655,0.98915
3902.9011,0.98948
3901.9367,0.98968
3900.9723,0.98963
3900.0079,0.98933
3899.0436,0.98902
3898.0792,0.989
3897.1148,0.98923
3896.1504,0.98952
3895.186,0.98976
3894.2216,0.98983
3893.2572,0.98961
3892.2928,0.98919
3891.3284,0.9889
3890.364,0.98898
3889.3996,0.98937
3888.4352,0.98986
3887.4708,0.99045
3886.5064,0.99113
3885.542,0.99172
3884.5777,0.99196
3883.6133,0.99163
3882.6489,0.99096
3881.6845,0.9903
3880.7201,0.98987
3879.7557,0.98962
3878.7913,0.98938
3877.8269,0.98911
3876.8625,0.98904
3875.8981,0.9893
3874.9337,0.9898
3873.9693,0.99036
3873.0049,0.99096
3872.0405,0.99155
3871.0761,0.99219
3870.1117,0.99304
3869.1474,0.99401
3868.183,0.99467
3867.2186,0.99466
3866.2542,0.99404
3865.2898,0.99321
3864.3254,0.99247
3863.361,0.99187
3862.3966,0.99137
3861.4322,0.9911
3860.4678,0.99107
3859.5034,0.99122
3858.539,0.99152
