Wavenumber,Transmission
cm^{-1},a.u.
3995.4829,0.99461
3994.5185,0.99377
3993.5541,0.99298
3992.5897,0.99254
3991.6253,0.99219
3990.6609,0.99229
3989.6966,0.99264
3988.7322,0.99308
3987.7678,0.99333
3986.8034,0.99288
3985.839,0.99219
3984.8746,0.99155
3983.9102,0.9914
3982.9458,0.99234
3981.9814,0.99367
3981.017,0.99387
3980.0526,0.99392
3979.0882,0.99481
3978.1238,0.99511
3977.1594,0.99456
3976.195,0.99461
3975.2306,0.99555
3974.2663,0.99649
3973.3019,0.99659
3972.3375,0.99595
3971.3731,0.9955
3970.4087,0.99545
3969.4443,0.99511
3968.4799,0.99456
3967.5155,0.99432
3966.5511,0.99447
3965.5867,0.99511
3964.6223,0.99521
3963.6579,0.99392
3962.6935,0.99234
3961.7291,0.99155
3960.7647,0.99125
3959.8004,0.9911
3958.836,0.99165
3957.8716,0.99318
3956.9072,0.99442
3955.9428,0.99447
3954.9784,0.99387
3954.014,0.99333
3953.0496,0.99254
3952.0852,0.99214
3951.1208,0.99293
3950.1564,0.99456
3949.192,0.9955
3948.2276,0.99476
3947.2632,0.99353
3946.2988,0.99308
3945.3344,0.99303
3944.3701,0.99293
3943.4057,0.99333
3942.4413,0.99412
3941.4769,0.99476
3940.5125,0.99486
3939.5481,0.99476
3938.5837,0.99506
3937.6193,0.99486
3936.6549,0.99392
3935.6905,0.99382
3934.7261,0.99476
3933.7617,0.99555
3932.7973,0.99565
3931.8329,0.99545
3930.8686,0.9955
3929.9041,0.9956
3928.9398,0.99506
3927.9754,0.99432
3927.011,0.99422
3926.0466,0.99516
3925.0822,0.99639
3924.1178,0.99615
3923.1534,0.99456
3922.189,0.99358
3921.2246,0.99392
3920.2602,0.99491
3919.2958,0.99526
3918.3314,0.99427
3917.367,0.99259
3916.4026,0.99204
3915.4383,0.99269
3914.4738,0.99382
3913.5095,0.99501
3912.5451,0.9958
3911.5807,0.99575
3910.6163,0.99486
3909.6519,0.99382
3908.6875,0.99377
3907.7231,0.99486
3906.7587,0.99585
3905.7943,0.9954
3904.8299,0.99382
3903.8655,0.99323
3902.9011,0.99442
3901.9367,0.99555
3900.9723,0.99615
3900.008,0.99659
3899.0436,0.99684
3898.0792,0.99718
3897.1148,0.99778
3896.1504,0.99797
3895.186,0.99817
3894.2216,0.99807
3893.2572,0.99664
3892.2928,0.99486
3891.3284,0.99451
3890.364,0.99521
3889.3996,0.99634
3888.4352,0.99708
3887.4708,0.99605
3886.5064,0.99372
3885.542,0.99288
3884.5777,0.99442
3883.6133,0.99669
3882.6489,0.99817
3881.6845,0.99802
3880.7201,0.99644
3879.7557,0.99466
3878.7913,0.99417
3877.8269,0.9956
3876.8625,0.99723
3875.8981,0.99708
3874.9337,0.996
3873.9693,0.9957
3873.0049,0.9959
3872.0405,0.9957
3871.0761,0.99516
3870.1118,0.99516
3869.1474,0.996
3868.183,0.99674
3867.2186,0.99674
3866.2542,0.99634
3865.2898,0.99624
3864.3254,0.99699
3863.361,0.99842
3862.3966,0.99872
3861.4322,0.99753
3860.4678,0.99718
3859.5034,0.99753
3858.539,0.9961
3857.5746,0.99392
3856.6102,0.99333
3855.6458,0.99318
3854.6815,0.99219
3853.7171,0.99175
3852.7527,0.99219
3851.7883,0.99358
3850.8239,0.9958
3849.8595,0.99718
3848.8951,0.99738
3847.9307,0.99718
3846.9663,0.99654
3846.0019,0.99531
3845.0375,0.99412
3844.0731,0.99397
3843.1087,0.99471
3842.1443,0.99545
3841.1799,0.99585
3840.2155,0.99526
3839.2512,0.99318
3838.2868,0.9918
3837.3224,0.99333
3836.358,0.99629
3835.3936,0.99773
3834.4292,0.99718
3833.4648,0.9957
3832.5004,0.99476
3831.536,0.99526
3830.5716,0.99615
3829.6072,0.99624
3828.6428,0.99629
3827.6784,0.99708
3826.714,0.99748
3825.7496,0.99708
3824.7852,0.99649
3823.8209,0.99575
3822.8565,0.99447
3821.8921,0.99358
3820.9277,0.99417
3819.9633,0.99575
3818.9989,0.99694
3818.0345,0.99595
3817.0701,0.99382
3816.1057,0.99363
3815.1413,0.99555
3814.1769,0.99753
3813.2125,0.99852
3812.2481,0.99847
3811.2837,0.99862
3810.3193,0.99906
3809.3549,0.99867
3808.3906,0.99758
3807.4262,0.99664
3806.4618,0.99699
3805.4974,0.99881
3804.533,1
3803.5686,0.99911
3802.6042,0.99703
3801.6398,0.9961
3800.6754,0.99699
3799.711,0.99802
3798.7466,0.99788
3797.7822,0.99718
3796.8178,0.99699
3795.8534,0.99718
3794.889,0.99679
3793.9246,0.99615
3792.9603,0.99634
3791.9959,0.99708
3791.0315,0.99773
3790.0671,0.99857
3789.1027,0.99926
3788.1383,0.99842
3787.1739,0.99694
3786.2095,0.99669
3785.2451,0.99728
3784.2807,0.99743
3783.3163,0.99733
3782.3519,0.99743
3781.3875,0.99723
3780.4231,0.99694
3779.4587,0.99743
3778.4943,0.99822
3777.53,0.99778
3776.5656,0.99649
3775.6012,0.9956
3774.6368,0.99531
3773.6724,0.99501
3772.708,0.99481
3771.7436,0.99496
3770.7792,0.99447
3769.8148,0.99387
3768.8504,0.99496
3767.886,0.9961
3766.9216,0.99619
3765.9572,0.99634
3764.9928,0.99659
3764.0284,0.99659
3763.064,0.99644
3762.0997,0.9959
3761.1353,0.99521
3760.1709,0.99466
3759.2065,0.99407
3758.2421,0.99437
3757.2777,0.9957
3756.3133,0.99659
3755.3489,0.9961
3754.3845,0.99486
3753.4201,0.99372
3752.4557,0.99318
3751.4913,0.99323
3750.5269,0.99244
3749.5625,0.9911
3748.5981,0.99175
3747.6337,0.99412
3746.6694,0.99511
3745.705,0.99372
3744.7406,0.99274
3743.7762,0.99417
3742.8118,0.99615
3741.8474,0.99634
3740.883,0.99496
3739.9186,0.99447
3738.9542,0.99506
3737.9898,0.99486
3737.0254,0.99392
3736.061,0.99387
3735.0966,0.99496
3734.1322,0.99629
3733.1678,0.99699
3732.2034,0.99659
3731.2391,0.99516
3730.2747,0.99392
3729.3103,0.99437
3728.3459,0.9955
3727.3815,0.99565
3726.4171,0.99516
3725.4527,0.99491
3724.4883,0.99516
3723.5239,0.99555
3722.5595,0.9959
3721.5951,0.99634
3720.6307,0.99629
3719.6663,0.9957
3718.7019,0.99535
3717.7375,0.9954
3716.7731,0.9954
3715.8088,0.9958
3714.8444,0.99624
3713.88,0.99595
3712.9156,0.99575
3711.9512,0.99619
3710.9868,0.99664
3710.0224,0.99703
3709.058,0.99684
3708.0936,0.99629
3707.1292,0.99624
3706.1648,0.99605
3705.2004,0.99545
3704.236,0.9955
3703.2716,0.9959
3702.3072,0.996
3701.3429,0.996
3700.3785,0.996
3699.4141,0.99526
3698.4497,0.99417
3697.4853,0.99422
3696.5209,0.9954
3695.5565,0.9961
3694.5921,0.99526
3693.6277,0.99363
3692.6633,0.99274
3691.6989,0.99303
3690.7345,0.99303
3689.7701,0.9918
3688.8057,0.9914
3687.8413,0.99279
3686.8769,0.99367
3685.9126,0.99323
3684.9482,0.99308
3683.9838,0.99343
3683.0194,0.99318
3682.055,0.99264
3681.0906,0.99264
3680.1262,0.99229
3679.1618,0.9918
3678.1974,0.99209
3677.233,0.99239
3676.2686,0.9912
3675.3042,0.98977
3674.3398,0.99056
3673.3754,0.99195
3672.4111,0.99076
3671.4466,0.98844
3670.4823,0.9874
3669.5179,0.98705
3668.5535,0.9872
3667.5891,0.98809
3666.6247,0.98938
3665.6603,0.99066
3664.6959,0.99051
3663.7315,0.98814
3662.7671,0.98547
3661.8027,0.98433
3660.8383,0.98354
3659.8739,0.98216
3658.9095,0.98157
3657.9451,0.98152
3656.9808,0.98083
3656.0163,0.98063
3655.052,0.98196
3654.0876,0.9827
3653.1232,0.98211
3652.1588,0.98142
3651.1944,0.98048
3650.23,0.97811
3649.2656,0.97544
3648.3012,0.97435
3647.3368,0.9747
3646.3724,0.975
3645.408,0.97455
3644.4436,0.97415
3643.4792,0.97475
3642.5148,0.97569
3641.5505,0.97514
3640.5861,0.97287
3639.6217,0.9702
3638.6573,0.96813
3637.6929,0.96738
3636.7285,0.96758
3635.7641,0.96778
