frequency,intensity
nm^{-1},[a.u.]
0,2.75986
0.004,8.13782
0.008,11.5738
0.012,9.00133
0.016,10.313
0.02,11.0728
0.024,10.4058
0.028,8.9614
0.032,8.70186
0.036,9.01157
0.04,8.85802
0.044,9.07055
0.048,9.08089
0.052,11.1215
0.056,10.3857
0.06,9.26325
0.064,9.54082
0.068,10.6595
0.072,9.90913
0.076,9.29646
0.08,10.7383
0.084,9.5821
0.088,9.25091
0.092,10.0862
0.096,10.0592
0.1,10.3541
0.104,10.2378
0.108,9.7585
0.112,9.48345
0.116,9.12297
0.12,9.77808
0.124,9.68611
0.128,10.4526
0.132,10.1047
0.136,9.92565
0.14,9.3626
0.144,10.1918
0.148,10.2476
0.152,10.9871
0.156,11.6781
0.16,14.2682
0.164,19.2814
0.168,25.3971
0.172,34.6406
0.176,48.6887
0.18,75.678
0.184,120.81
0.188,182.359
0.192,243.121
0.196,293.017
0.2,335.71
0.204,374.644
0.208,405.775
0.212,431.527
0.216,451.825
0.22,465.381
0.224,477.455
0.228,488.078
0.232,497.713
0.236,504.625
0.24,509.496
0.244,515.209
0.248,519.613
0.252,525.99
0.256,531.186
0.26,531.503
0.264,531.745
0.268,531.426
0.272,531.783
0.276,530.514
0.28,533.042
0.284,536.532
0.288,540.697
0.292,544.731
0.296,547.365
0.3,547.475
0.304,547.96
0.308,551.523
0.312,554.486
0.316,556.253
0.32,552.329
0.324,545.375
0.328,539.123
0.332,532.433
0.336,522.867
0.34,512.618
0.344,500.651
0.348,488.701
0.352,478.182
0.356,467.612
0.36,458.085
0.364,450.245
0.368,440.886
0.372,430.993
0.376,420.739
0.38,412.351
0.384,404.493
0.388,397.834
0.392,390.631
0.396,383.098
0.4,376.102
0.404,369.334
0.408,364.145
0.412,357.585
0.416,350.257
0.42,343.567
0.424,337.48
0.428,330.485
0.432,325.42
0.436,320.928
0.44,315.164
0.444,308.259
0.448,303.647
0.452,299.105
0.456,292.322
0.46,288.274
0.464,284.352
0.468,280.253
0.472,276.466
0.476,271.24
0.48,267.08
0.484,263.558
0.488,259.332
0.492,255.139
0.496,251.927
0.5,247.628
0.504,243.192
0.508,239.678
0.512,236.362
0.516,233.103
0.52,229.683
0.524,226.348
0.528,223.151
0.532,220.195
0.536,217.383
0.54,214.811
0.544,212.322
0.548,209.405
0.552,206.442
0.556,203.064
0.56,199.326
0.564,196.783
0.568,195.412
0.572,193.625
0.576,190.449
0.58,188.048
0.584,186.226
0.588,184.003
0.592,180.659
0.596,178.024
0.6,175.684
0.604,172.892
0.608,170.069
0.612,168.167
0.616,166.949
0.62,164.949
0.624,162.479
0.628,160.205
0.632,159.933
0.636,158.258
0.64,155.615
0.644,154.981
0.648,152.729
0.652,150.772
0.656,149.418
0.66,148.099
0.664,146.458
0.668,144.536
0.672,142.873
0.676,141.4
0.68,140.531
0.684,138.24
0.688,136.431
0.692,135.739
0.696,133.132
0.7,132.019
0.704,130.208
0.708,128.685
0.712,128.232
0.716,127.273
0.72,126.333
0.724,124.99
0.728,123.864
0.732,122.657
0.736,121.727
0.74,120.386
0.744,118.424
0.748,117.234
0.752,116.102
0.756,115.112
0.76,114.203
0.764,113.358
0.768,112.244
0.772,111.713
0.776,110.78
0.78,110.589
0.784,108.702
0.788,107.387
0.792,105.922
0.796,105.178
0.8,103.904
0.804,103.091
0.808,102.144
0.812,100.824
0.816,100
0.82,99.0074
0.824,98.7091
0.828,98.5162
0.832,98.1502
0.836,96.4551
0.84,95.6468
0.844,95.0393
0.848,93.9915
0.852,93.6868
0.856,93.2431
0.86,92.0595
0.864,91.3578
0.868,90.0269
0.872,88.3977
0.876,87.5328
0.88,86.7364
0.884,85.9862
0.888,85.4921
0.892,85.5026
0.896,85.1306
0.9,84.3117
0.904,83.7342
0.908,83.1665
0.912,82.116
0.916,82.0048
0.92,81.0808
0.924,81.0433
0.928,80.475
0.932,79.9762
0.936,79.3919
0.94,78.5733
0.944,78.132
0.948,77.6436
0.952,77.5914
0.956,76.8138
0.96,76.1124
0.964,75.2772
0.968,74.8743
0.972,74.8349
0.976,74.0693
0.98,73.1826
0.984,73.3841
0.988,73.0793
0.992,71.7255
0.996,70.8529
1,70.295
1.004,70.1176
1.008,70.2446
1.012,69.4854
1.016,68.7228
1.02,68.2203
1.024,67.7224
1.028,67.4639
1.032,66.4467
1.036,66.6078
1.04,65.6764
1.044,65.732
1.048,65.2345
1.052,64.3517
1.056,64.5162
