Time,Intensity
ns,a.u.
-4.52325,0
-4.03425,0
-3.54525,0
-3.05625,0
-2.56725,0
-2.07825,1
-1.58925,654
-1.10025,17580
-0.61125,45947
-0.12225,127306
0.36675,104861
0.85575,16492
1.34475,1714
1.83375,471
2.32275,208
2.81175,112
3.30075,26
3.78975,7
4.27875,0
4.76775,0
5.25675,0
5.74575,0
6.23475,0
6.72375,0
7.21275,0
7.70175,0
8.19075,1
8.67975,2
9.16875,0
9.65775,0
10.1467,0
10.6357,0
11.1247,0
11.6137,84
12.1028,501
12.5917,1272
13.0808,176
13.5698,91
14.0587,165
14.5477,181
15.0368,186
15.5257,162
16.0148,228
16.5038,247
16.9927,318
17.4817,599
17.9708,622
18.4597,366
18.9488,379
19.4378,444
19.9267,482
20.4157,474
20.9047,425
21.3938,405
21.8828,399
22.3718,372
22.8607,352
23.3498,340
23.8387,361
24.3278,284
24.8168,289
25.3058,309
25.7948,309
26.2837,274
26.7727,257
27.2617,271
27.7508,261
28.2397,242
28.7287,247
29.2178,218
29.7067,227
30.1958,212
30.6848,203
31.1738,235
31.6627,203
32.1517,225
32.6408,197
33.1298,193
33.6188,181
34.1078,184
34.5968,178
35.0858,164
35.5747,172
36.0638,176
36.5527,164
37.0418,143
37.5307,160
38.0197,151
38.5088,153
38.9977,147
39.4868,142
39.9757,128
40.4647,126
40.9537,117
41.4427,119
41.9318,84
42.4207,108
42.9098,103
43.3987,102
43.8877,97
44.3768,86
44.8657,108
45.3548,70
45.8438,94
46.3328,65
46.8218,69
47.3107,72
47.7998,44
48.2887,56
48.7778,49
49.2668,51
49.7558,54
50.2447,39
50.7337,35
51.2228,41
51.7117,33
52.2008,35
52.6898,32
53.1788,28
53.6677,20
54.1567,21
54.6457,13
55.1347,16
55.6238,20
56.1128,14
56.6018,11
57.0907,9
57.5797,12
58.0688,8
58.5577,5
59.0467,7
59.5358,7
60.0247,10
60.5138,7
61.0027,5
61.4918,7
61.9808,7
62.4697,5
62.9587,5
63.4477,3
63.9368,5
64.4257,4
64.9148,3
65.4038,2
65.8927,5
66.3818,10
66.8708,4
67.3598,7
67.8487,2
68.3378,12
68.8268,11
69.3157,14
69.8048,9
70.2938,8
70.7827,6
71.2717,9
71.7608,6
72.2498,13
72.7387,7
73.2278,12
73.7168,17
74.2057,18
74.6947,9
75.1838,10
75.6728,14
76.1617,11
76.6508,13
77.1398,14
77.6287,18
78.1178,11
78.6068,17
79.0958,13
79.5847,12
80.0738,13
80.5628,12
81.0517,11
81.5408,16
82.0298,7
82.5188,11
83.0077,13
83.4968,13
83.9858,8
84.4747,20
84.9638,19
85.4528,14
85.9417,14
86.4307,13
86.9198,12
87.4088,18
87.8977,15
88.3868,20
88.8758,12
89.3648,15
89.8537,22
90.3428,23
90.8317,19
91.3207,14
91.8098,10
92.2988,12
92.7878,15
93.2767,11
93.7658,20
94.2547,19
94.7437,16
95.2327,17
95.7218,21
96.2107,10
96.6997,15
97.1888,14
97.6777,19
98.1667,14
98.6557,16
99.1448,16
99.6337,18
100.123,18
100.612,13
101.101,21
101.59,11
102.079,14
102.568,14
103.057,21
103.546,17
104.035,17
104.524,19
105.013,24
105.502,17
105.991,9
106.48,16
106.969,15
107.458,13
107.947,15
108.436,13
108.925,18
109.414,20
109.903,21
110.392,27
110.881,14
111.37,9
111.859,13
112.348,11
112.837,15
113.326,17
113.815,15
114.304,9
114.793,14
115.282,22
115.771,12
116.26,22
116.749,10
117.238,6
117.727,16
118.216,8
118.705,14
119.194,4
119.683,8
120.172,12
120.661,13
121.15,22
121.639,17
122.128,14
122.617,9
123.106,4
123.595,0
124.084,1
124.573,0
125.062,0
125.551,0
126.04,0
126.529,0
127.018,0
127.507,0
127.996,0
128.485,0
128.974,0
129.463,0
129.952,0
130.441,0
130.93,0
131.419,0
131.908,0
132.397,0
132.886,0
133.375,0
133.864,0
134.353,0
134.842,0
135.331,0
135.82,0
136.309,0
136.798,0
137.287,0
137.776,0
138.265,0
138.754,0
139.243,0
