Velocity,NormIntensity,NormIntensityFit
mm s^{-1},a.u.,a.u.
-4.891,0.90826,0.94533
-4.8714,0.94049,0.9453
-4.8519,0.95719,0.94528
-4.8323,0.97532,0.94523
-4.8127,0.93226,0.9452
-4.7931,0.92637,0.94515
-4.7736,0.92818,0.94513
-4.754,0.97003,0.9451
-4.7344,0.92367,0.94505
-4.7149,0.96676,0.94503
-4.6953,0.96626,0.94498
-4.6757,0.97205,0.94495
-4.6562,0.93515,0.9449
-4.6366,0.93515,0.94485
-4.617,0.93692,0.94482
-4.5975,0.93196,0.94477
-4.5779,0.92445,0.94475
-4.5583,0.91478,0.9447
-4.5388,0.96777,0.94465
-4.5192,0.95467,0.94462
-4.4996,0.92682,0.94457
-4.48,0.96122,0.94452
-4.4605,0.94616,0.94447
-4.4409,0.93284,0.94445
-4.4213,0.94047,0.9444
-4.4018,0.93186,0.94435
-4.3822,0.94644,0.9443
-4.3626,0.95971,0.94425
-4.343,0.95795,0.9442
-4.3235,0.95996,0.94415
-4.3039,0.97532,0.94409
-4.2843,0.91944,0.94404
-4.2648,0.95895,0.94399
-4.2452,0.94472,0.94394
-4.2256,0.92818,0.94389
-4.2061,0.89927,0.94384
-4.1865,0.94437,0.94379
-4.1669,0.90191,0.94374
-4.1474,0.90927,0.94369
-4.1278,0.9514,0.94364
-4.1082,0.95795,0.94359
-4.0887,0.91984,0.94352
-4.0691,0.92496,0.94347
-4.0495,0.98716,0.94341
-4.0299,0.92224,0.94334
-4.0104,0.94694,0.94329
-3.9908,0.92579,0.94324
-3.9712,0.92322,0.94316
-3.9517,0.92654,0.94311
-3.9321,0.96298,0.94304
-3.9125,0.95039,0.94299
-3.893,0.89887,0.94291
-3.8734,0.92853,0.94284
-3.8538,0.9592,0.94279
-3.8342,0.94571,0.94271
-3.8147,0.90305,0.94263
-3.7951,0.9107,0.94258
-3.7755,0.98489,0.94251
-3.756,0.9582,0.94243
-3.7364,1,0.94236
-3.7168,0.93213,0.94228
-3.6973,0.94437,0.94221
-3.6777,0.93896,0.94213
-3.6581,0.96449,0.94205
-3.6385,0.91247,0.94198
-3.619,0.93619,0.9419
-3.5994,0.966,0.9418
-3.5798,0.96827,0.94173
-3.5603,0.93719,0.94165
-3.5407,0.9718,0.94158
-3.5211,0.93176,0.94148
-3.5016,0.98766,0.9414
-3.482,0.91654,0.9413
-3.4624,0.94674,0.9412
-3.4429,0.95593,0.94112
-3.4233,0.96525,0.94102
-3.4037,0.93732,0.94092
-3.3841,0.97532,0.94085
-3.3646,0.97205,0.94075
-3.345,0.93493,0.94064
-3.3254,0.91604,0.94054
-3.3059,0.95039,0.94044
-3.2863,0.9524,0.94032
-3.2667,0.92848,0.94022
-3.2472,0.9212,0.94012
-3.2276,0.94301,0.94002
-3.208,0.95366,0.93989
-3.1885,0.94767,0.93979
-3.1689,0.91838,0.93966
-3.1493,0.95341,0.93954
-3.1298,0.93208,0.93944
-3.1102,0.94334,0.93931
-3.0906,0.93148,0.93918
-3.071,0.92554,0.93906
-3.0515,0.94777,0.93893
-3.0319,0.9519,0.93878
-3.0123,0.9443,0.93866
-2.9928,0.94425,0.93853
-2.9732,0.95115,0.93838
-2.9536,0.94938,0.93825
-2.9341,0.94022,0.9381
-2.9145,0.91735,0.93795
-2.8949,0.90818,0.9378
-2.8753,0.93158,0.93765
-2.8558,0.92211,0.9375
-2.8362,0.94354,0.93735
-2.8166,0.93392,0.93717
-2.7971,0.92206,0.93702
-2.7775,0.92936,0.93684
-2.7579,0.94707,0.93667
-2.7384,0.9481,0.93649
-2.7188,0.91833,0.93631
-2.6992,0.90005,0.93614
-2.6797,0.92229,0.93596
-2.6601,0.90919,0.93576
-2.6405,0.90491,0.93558
-2.6209,0.92186,0.93538
-2.6014,0.96852,0.93518
-2.5818,0.94747,0.93498
-2.5622,0.94359,0.93475
-2.5427,0.9524,0.93455
-2.5231,0.94686,0.93432
-2.5035,0.92999,0.9341
-2.484,0.95215,0.93387
-2.4644,0.91624,0.93364
-2.4448,0.97129,0.93339
-2.4253,0.93956,0.93317
-2.4057,0.95492,0.93291
-2.3861,0.91148,0.93266
-2.3665,0.9143,0.93238
-2.347,0.93775,0.93213
-2.3274,0.93561,0.93186
-2.3078,0.97658,0.93158
-2.2883,0.9311,0.93128
-2.2687,0.92198,0.931
-2.2491,0.91005,0.9307
-2.2296,0.95467,0.93037
-2.21,0.9481,0.93007
-2.1904,0.92148,0.92974
-2.1708,0.93352,0.92941
-2.1513,0.95618,0.92906
-2.1317,0.93599,0.92871
-2.1121,0.91879,0.92836
-2.0926,0.94112,0.92798
-2.073,0.89622,0.9276
-2.0534,0.92191,0.92722
-2.0339,0.93014,0.92682
-2.0143,0.92982,0.92642
-1.9947,0.97431,0.92599
-1.9751,0.9519,0.92556
-1.9556,0.98212,0.92511
-1.936,0.91362,0.92465
-1.9164,0.91012,0.92418
-1.8969,0.92775,0.9237
-1.8773,0.9343,0.92319
-1.8577,0.93911,0.92269
-1.8382,0.8962,0.92216
-1.8186,0.91879,0.92161
-1.799,0.90944,0.92105
-1.7794,0.9417,0.92047
-1.7599,0.89615,0.91987
-1.7403,0.92088,0.91926
-1.7208,0.88051,0.91864
-1.7012,0.9312,0.91798
-1.6816,0.93158,0.9173
-1.662,0.88509,0.9166
-1.6425,0.91579,0.91587
-1.6229,0.89987,0.91513
-1.6033,0.92906,0.91435
-1.5838,0.91697,0.91355
-1.5642,0.92717,0.91272
-1.5446,0.9097,0.91186
-1.5251,0.92765,0.91098
-1.5055,0.91705,0.91005
-1.4859,0.927,0.90909
-1.4663,0.9241,0.90811
-1.4468,0.93684,0.90708
-1.4272,0.91539,0.90602
-1.4076,0.90975,0.90491
-1.3881,0.91813,0.90375
-1.3685,0.92188,0.90254
-1.3489,0.93072,0.90131
-1.3294,0.90708,0.9
-1.3098,0.89924,0.89864
-1.2902,0.92337,0.89723
-1.2707,0.89068,0.89574
-1.2511,0.87293,0.89421
-1.2315,0.92002,0.8926
-1.2119,0.90871,0.89091
-1.1924,0.87253,0.88915
-1.1728,0.91657,0.88731
-1.1532,0.91252,0.88537
-1.1337,0.88406,0.88335
-1.1141,0.8729,0.88121
-1.0945,0.9207,0.879
-1.075,0.8968,0.87663
