Time,NormLogIntensity
ns,a.u.
24.03112,1
24.52012,0.98574
25.00912,0.96807
25.49812,0.93676
25.98712,0.94815
26.47612,0.92753
26.96512,0.94275
27.45412,0.92709
27.94312,0.93429
28.43212,0.91909
28.92112,0.93918
29.41011,0.91909
29.89911,0.89013
30.38811,0.90824
30.87711,0.91018
31.36611,0.90726
31.85511,0.89446
32.34411,0.89552
32.83311,0.89177
33.32211,0.862
33.81111,0.85666
34.30011,0.85114
34.78911,0.84174
35.27811,0.82689
35.76711,0.80775
36.25611,0.78701
36.74511,0.78054
37.23411,0.76187
37.72311,0.78272
38.21211,0.72738
38.70111,0.74068
39.1901,0.75426
39.6791,0.74069
40.1681,0.72738
40.6571,0.73491
41.1461,0.73783
41.6351,0.6987
42.1241,0.67259
42.6131,0.6565
43.1021,0.64651
43.5911,0.61205
44.0801,0.59865
44.5691,0.49306
45.0581,0.51235
45.5471,0.57204
46.0361,0.47875
46.5251,0.51234
47.0141,0.463
47.5031,0.43597
47.9921,0.30591
48.4811,0.25298
48.97009,0.377
49.45909,0.28166
49.94809,0.46298
50.43709,0.36203
50.92609,0.47875
51.41509,0.42583
51.90409,0.463
52.39309,0.50617
52.88209,0.43597
53.37109,0.39071
53.86009,0.44549
54.34909,0.41496
54.83809,0.32695
55.32709,0.28166
55.81609,0.30591
56.30509,0
56.79409,0.10882
57.28309,0.28164
57.77209,0.28166
58.26109,0.3059
58.75008,0.34545
59.23908,0.34545
59.72808,0.34545
60.21708,0.34545
60.70608,0.36202
61.19508,0.44549
61.68408,0.41496
62.17308,0.41496
62.66208,0.39071
63.15108,0.47873
63.64008,0.47107
64.12908,0.47875
64.61808,0.49975
65.10708,0.51828
65.59608,0.47875
66.08508,0.56353
66.57408,0.52954
67.06308,0.584
67.55208,0.54503
68.04107,0.54501
68.53007,0.54985
69.01907,0.48607
69.50807,0.51233
69.99707,0.60549
70.48607,0.48608
70.97507,0.52951
71.46407,0.50618
71.95307,0.584
72.44207,0.52954
72.93107,0.5801
73.42007,0.57205
73.90907,0.60549
74.39807,0.62439
74.88707,0.57206
75.37607,0.62139
75.86507,0.63022
76.35407,0.61205
76.84307,0.64906
77.33207,0.63584
77.82106,0.70414
78.31006,0.67477
78.79906,0.63857
79.28806,0.64126
79.77706,0.65406
80.26606,0.64906
80.75506,0.6565
81.24406,0.63022
81.73306,0.64906
82.22206,0.6589
82.71106,0.63305
83.20006,0.63021
83.68906,0.6439
84.17806,0.62733
84.66706,0.67258
85.15606,0.63585
85.64506,0.66589
86.13406,0.68315
86.62306,0.63859
87.11206,0.64906
87.60105,0.66126
88.09005,0.63584
88.57905,0.67038
89.06805,0.64907
89.55705,0.66815
90.04605,0.61524
90.53505,0.63305
91.02405,0.62733
91.51305,0.66359
92.00205,0.65406
92.49105,0.66359
92.98005,0.65158
93.46905,0.67258
93.95805,0.63022
94.44705,0.66815
94.93605,0.67476
95.42505,0.65406
95.91405,0.66815
96.40305,0.6565
96.89205,0.68517
97.38104,0.68315
97.87004,0.63858
98.35904,0.67689
98.84804,0.62141
99.33704,0.66589
99.82604,0.64906
100.315,0.64126
100.804,0.5915
101.293,0.63857
101.782,0.62733
102.271,0.67259
102.76,0.62439
103.249,0.6021
103.738,0.6088
104.227,0.62439
104.716,0.61522
105.205,0.584
105.694,0.53486
106.183,0.60549
106.672,0.60549
107.161,0.6088
107.65,0.5915
108.139,0.64126
108.628,0.56785
109.117,0.58012
109.606,0.57205
110.095,0.54985
110.584,0.52953
111.073,0.59864
111.562,0.54985
112.051,0.53486
112.54,0.584
113.029,0.52952
113.518,0.51828
114.007,0.53486
114.496,0.58012
114.985,0.56354
