Time,NormLogIntensity
ns,a.u.
24.13212,0.97933
24.62112,0.97432
25.11012,0.9692
25.59912,0.96397
26.08812,0.95861
26.57712,0.95314
27.06612,0.94753
27.55512,0.9418
28.04412,0.93594
28.53312,0.92995
29.02212,0.92381
29.51112,0.91754
30.00011,0.91112
30.48911,0.90455
30.97811,0.89783
31.46711,0.89095
31.95611,0.88391
32.44511,0.8767
32.93411,0.86932
33.42311,0.86176
33.91211,0.85402
34.40111,0.84609
34.89011,0.83795
35.37911,0.82962
35.86811,0.82107
36.35711,0.8123
36.84611,0.8033
37.33511,0.79406
37.82411,0.78457
38.31311,0.77482
38.80211,0.76479
39.29111,0.75448
39.7801,0.74386
40.2691,0.73293
40.7581,0.72166
41.2471,0.71004
41.7361,0.69805
42.2251,0.68566
42.7141,0.67286
43.2031,0.65961
43.6921,0.64588
44.1811,0.63164
44.6701,0.61685
45.1591,0.60148
45.6481,0.58548
46.1371,0.5688
46.6261,0.55137
47.1151,0.53314
47.6041,0.51404
48.0931,0.49397
48.5821,0.47286
49.0711,0.45059
49.56009,0.42705
50.04909,0.40211
50.53809,0.37564
51.02709,0.3475
51.51609,0.31755
52.00509,0.28571
52.49409,0.25198
52.98309,0.21655
53.47209,0.18003
53.96109,0.14369
54.45009,0.10997
54.93909,0.082619
55.42809,0.066175
55.91709,0.063975
56.40609,0.075969
56.89509,0.098731
57.38409,0.12773
57.87309,0.15924
58.36209,0.19089
58.85109,0.22141
59.34008,0.25023
59.82908,0.27716
60.31808,0.30219
60.80708,0.32542
61.29608,0.34699
61.78508,0.36702
62.27408,0.38566
62.76308,0.40303
63.25208,0.41925
63.74108,0.43443
64.23008,0.44865
64.71908,0.46199
65.20808,0.47453
65.69708,0.48634
66.18608,0.49746
66.67508,0.50795
67.16408,0.51785
67.65308,0.52721
68.14208,0.53606
68.63107,0.54444
69.12007,0.55237
69.60907,0.55988
70.09807,0.56699
70.58707,0.57373
71.07607,0.58012
71.56507,0.58618
72.05407,0.59192
72.54307,0.59735
73.03207,0.6025
73.52107,0.60738
74.01007,0.61199
74.49907,0.61635
74.98807,0.62047
75.47707,0.62436
75.96607,0.62803
76.45507,0.63148
76.94407,0.63473
77.43307,0.63778
77.92207,0.64064
78.41106,0.64331
78.90006,0.64581
79.38906,0.64813
79.87806,0.65028
80.36706,0.65227
80.85606,0.65411
81.34506,0.65578
81.83406,0.65731
82.32306,0.65869
82.81206,0.65993
83.30106,0.66104
83.79006,0.662
84.27906,0.66283
84.76806,0.66354
85.25706,0.66412
85.74606,0.66457
86.23506,0.6649
86.72406,0.66512
87.21306,0.66522
87.70206,0.6652
88.19105,0.66507
88.68005,0.66483
89.16905,0.66448
89.65805,0.66403
90.14705,0.66347
90.63605,0.66281
91.12505,0.66205
91.61405,0.66118
92.10305,0.66022
92.59205,0.65916
93.08105,0.65801
93.57005,0.65676
94.05905,0.65541
94.54805,0.65397
95.03705,0.65245
95.52605,0.65083
96.01505,0.64912
96.50405,0.64732
96.99305,0.64544
97.48205,0.64347
97.97104,0.64141
98.46004,0.63926
98.94904,0.63704
99.43804,0.63473
99.92704,0.63233
100.416,0.62985
100.905,0.62729
101.394,0.62465
101.883,0.62193
102.372,0.61913
102.861,0.61624
103.35,0.61328
103.839,0.61024
104.328,0.60711
104.817,0.60391
105.306,0.60064
105.795,0.59728
106.284,0.59385
106.773,0.59034
107.262,0.58675
107.751,0.58308
108.24,0.57934
108.729,0.57552
109.218,0.57162
109.707,0.56765
110.196,0.5636
110.685,0.55948
111.174,0.55528
111.663,0.551
112.152,0.54665
112.641,0.54222
113.13,0.53771
113.619,0.53313
114.108,0.52847
114.597,0.52373
115.086,0.51892
115.575,0.51403
116.064,0.50907
116.553,0.50402
117.042,0.4989
117.531,0.49371
118.02,0.48843
118.509,0.48308
118.998,0.47765
119.487,0.47213
119.976,0.46654
