Time,NormLogIntensity
ns,a.u.
119.781,0.54096
119.292,0.54735
118.803,0.54525
118.314,0.55146
117.825,0.56317
117.335,0.56317
116.847,0.58582
116.358,0.55347
115.868,0.55936
115.38,0.5687
114.891,0.56688
114.401,0.54312
113.912,0.58088
113.424,0.55347
112.935,0.57578
112.445,0.56504
111.957,0.57578
111.468,0.57228
110.978,0.58902
110.489,0.56128
110.001,0.5906
109.511,0.61247
109.022,0.56688
108.534,0.56128
108.045,0.55743
107.556,0.58582
107.066,0.60694
106.578,0.59674
106.088,0.61247
105.599,0.61247
105.111,0.62796
104.622,0.62297
104.133,0.60553
103.644,0.60694
103.155,0.60553
102.665,0.59674
102.177,0.63398
101.688,0.61912
101.198,0.58743
100.71,0.58743
100.221,0.57578
99.7315,0.59674
99.2426,0.60265
98.7536,0.6041
98.2645,0.58088
97.7755,0.55743
97.2866,0.57404
96.7976,0.5705
96.3085,0.57578
95.8196,0.58582
95.3306,0.56688
94.8415,0.58088
94.3525,0.60553
93.8636,0.55146
93.3745,0.60553
92.8855,0.6041
92.3966,0.58582
91.9076,0.58419
91.4185,0.58902
90.9295,0.55743
90.4406,0.53877
89.9515,0.59674
89.4625,0.55743
88.9736,0.56128
88.4845,0.59216
87.9955,0.52493
87.5065,0.55743
87.0176,0.58582
86.5285,0.54942
86.0395,0.5705
85.5506,0.52969
85.0616,0.56128
84.5725,0.53877
84.0836,0.57578
83.5946,0.59824
83.1055,0.6012
82.6166,0.59523
82.1276,0.56504
81.6386,0.56128
81.1495,0.56504
80.6606,0.55936
80.1716,0.46324
79.6825,0.47373
79.1936,0.47031
78.7046,0.53655
78.2156,0.51235
77.7265,0.51751
77.2376,0.51751
76.7486,0.52733
76.2595,0.51495
75.7706,0.50701
75.2816,0.5225
74.7926,0.49863
74.3035,0.3843
73.8146,0.46324
73.3256,0.37161
72.8365,0.39601
72.3476,0.40154
71.8586,0.3843
71.3696,0.40688
70.8805,0.39027
70.3916,0.39027
69.9026,0.39601
69.4135,0.24488
68.9246,0.27262
68.4356,0.27262
67.9466,0.33432
67.4575,0.16716
66.9686,0.22885
66.4796,0.21093
65.9905,0.2848
65.5016,0.22885
65.0126,0.13942
64.5236,0.061693
64.0345,0.10547
63.5456,0.16716
63.0566,0.13942
62.5675,0
62.0786,0.19061
61.5896,0.22885
61.1005,0.19061
60.6116,0.16716
60.1226,0.29608
59.6335,0.2848
59.1445,0.24488
58.6556,0.32562
58.1666,0.29608
57.6775,0.41703
57.1885,0.42654
56.6995,0.43978
56.2105,0.45196
55.7216,0.52733
55.2326,0.54096
54.7436,0.49278
54.2545,0.48035
53.7656,0.45957
53.2766,0.49278
52.7875,0.48355
52.2985,0.47373
51.8096,0.45957
51.3206,0.47031
50.8315,0.47031
50.3426,0.52969
49.8535,0.52969
49.3646,0.57228
48.8756,0.58088
48.3865,0.5705
47.8976,0.57404
47.4085,0.5687
46.9196,0.61111
46.4305,0.62549
45.9415,0.63398
45.4526,0.64965
44.9635,0.65385
44.4746,0.68635
43.9855,0.67326
43.4965,0.70593
43.0076,0.69289
42.5185,0.69606
42.0296,0.71726
41.5405,0.73526
41.0516,0.73095
40.5625,0.74003
40.0735,0.74692
39.5846,0.7659
39.0955,0.77268
38.6066,0.75671
38.1175,0.78843
37.6286,0.78277
37.1395,0.79955
36.6506,0.80035
36.1616,0.82135
35.6726,0.82442
35.1836,0.84072
34.6945,0.83422
34.2056,0.85267
33.7165,0.85736
33.2276,0.83358
32.7386,0.84754
32.2495,0.84783
31.7606,0.85378
31.2715,0.85489
30.7825,0.85708
30.2936,0.85406
29.8045,0.87479
29.3156,0.87744
28.8265,0.88532
28.3376,0.88003
27.8485,0.8812
27.3596,0.89
26.8706,0.89853
26.3815,0.89432
25.8925,0.89066
25.4035,0.9221
24.9146,0.92281
24.4256,0.9314
23.9366,0.94859
23.4475,0.95329
22.9585,0.97904
22.4695,0.96973
21.9806,0.97843
21.4916,1
21.0025,0.99124
20.5136,0.99326
20.0245,0.9884
