Time,NormLogIntensity
ns,a.u.
23.93664,0.92455
24.42564,0.92076
24.91464,0.9169
25.40364,0.91296
25.89264,0.90893
26.38165,0.90483
26.87065,0.90065
27.35965,0.89638
27.84865,0.89203
28.33765,0.88759
28.82665,0.88306
29.31566,0.87844
29.80466,0.87374
30.29366,0.86894
30.78266,0.86404
31.27166,0.85905
31.76066,0.85396
32.24966,0.84877
32.73867,0.84348
33.22767,0.83808
33.71667,0.83258
34.20567,0.82696
34.69467,0.82123
35.18367,0.81539
35.67268,0.80943
36.16168,0.80334
36.65068,0.79714
37.13968,0.7908
37.62868,0.78433
38.11768,0.77772
38.60668,0.77098
39.09569,0.76409
39.58469,0.75705
40.07369,0.74986
40.56269,0.74251
41.05169,0.735
41.54069,0.72732
42.0297,0.71946
42.5187,0.71142
43.0077,0.70319
43.4967,0.69477
43.9857,0.68614
44.4747,0.6773
44.9637,0.66824
45.45271,0.65895
45.94171,0.64942
46.43071,0.63964
46.91971,0.6296
47.40871,0.61928
47.89771,0.60868
48.38672,0.59777
48.87572,0.58655
49.36472,0.575
49.85372,0.56309
50.34272,0.55081
50.83172,0.53815
51.32072,0.52508
51.80973,0.51157
52.29873,0.4976
52.78773,0.48316
53.27673,0.4682
53.76573,0.45271
54.25473,0.43666
54.74374,0.42002
55.23274,0.40276
55.72174,0.38488
56.21074,0.36636
56.69974,0.34719
57.18874,0.3274
57.67774,0.30704
58.16675,0.28621
58.65575,0.26506
59.14475,0.24382
59.63375,0.22286
60.12275,0.20266
60.61175,0.1839
61.10076,0.16738
61.58976,0.15399
62.07876,0.14459
62.56776,0.13982
63.05676,0.13993
63.54576,0.14472
64.03476,0.15358
64.52377,0.16568
65.01277,0.18011
65.50177,0.19606
65.99077,0.21284
66.47977,0.22995
66.96877,0.247
67.45778,0.26376
67.94678,0.28005
68.43578,0.29578
68.92478,0.3109
69.41378,0.32537
69.90278,0.3392
70.39178,0.3524
70.88079,0.36498
71.36979,0.37698
71.85879,0.38841
72.34779,0.39929
72.83679,0.40967
73.32579,0.41956
73.81479,0.429
74.3038,0.43799
74.7928,0.44657
75.2818,0.45476
75.7708,0.46258
76.2598,0.47005
76.7488,0.47718
77.23781,0.48399
77.72681,0.4905
78.21581,0.49672
78.70481,0.50266
79.19381,0.50834
79.68281,0.51376
80.17181,0.51894
80.66082,0.5239
81.14982,0.52863
81.63882,0.53314
82.12782,0.53746
82.61682,0.54157
83.10582,0.54549
83.59483,0.54924
84.08383,0.5528
84.57283,0.55619
85.06183,0.55942
85.55083,0.56249
86.03983,0.5654
86.52883,0.56817
87.01784,0.57079
87.50684,0.57326
87.99584,0.5756
88.48484,0.57781
88.97384,0.57989
89.46284,0.58184
89.95185,0.58367
90.44085,0.58538
90.92985,0.58697
91.41885,0.58844
91.90785,0.58981
92.39685,0.59107
92.88585,0.59222
93.37486,0.59326
93.86386,0.59421
94.35286,0.59505
94.84186,0.5958
95.33086,0.59645
95.81986,0.597
96.30887,0.59747
96.79787,0.59784
97.28687,0.59812
97.77587,0.59832
98.26487,0.59843
98.75387,0.59845
99.24287,0.5984
99.73188,0.59825
100.2209,0.59803
100.7099,0.59773
101.1989,0.59735
101.6879,0.59689
102.1769,0.59636
102.6659,0.59575
103.1549,0.59507
103.6439,0.59431
104.1329,0.59348
104.6219,0.59257
105.1109,0.5916
105.5999,0.59056
106.0889,0.58944
106.5779,0.58826
107.0669,0.58701
107.5559,0.58569
108.0449,0.58431
108.5339,0.58285
109.0229,0.58134
109.5119,0.57975
110.0009,0.57811
110.4899,0.5764
110.9789,0.57462
111.4679,0.57278
111.9569,0.57088
112.4459,0.56892
112.9349,0.56689
113.4239,0.56481
113.9129,0.56266
114.4019,0.56045
114.8909,0.55818
115.3799,0.55585
115.8689,0.55346
116.3579,0.55101
116.8469,0.5485
117.3359,0.54594
117.8249,0.54331
118.3139,0.54063
118.8029,0.53788
119.2919,0.53508
119.7809,0.53222
