Time,NormLogIntensity
ns,a.u.
119.536,0.35085
119.047,0.35085
118.558,0.35085
118.069,0.37072
117.58,0.35085
117.091,0.40458
116.602,0.27155
116.113,0.37072
115.624,0.47802
115.135,0.43276
114.646,0.43276
114.157,0.40458
113.668,0.27155
113.179,0.3885
112.69,0.30231
112.201,0.43276
111.712,0.43276
111.223,0.45691
110.734,0.4678
110.245,0.48767
109.756,0.44527
109.267,0.32832
108.778,0.48767
108.289,0.3885
107.8,0.47802
107.311,0.41926
106.822,0.56814
106.333,0.54971
105.844,0.50544
105.355,0.50544
104.866,0.43276
104.377,0.40458
103.888,0.40458
103.399,0.50544
102.91,0.51368
102.421,0.45691
101.932,0.51368
101.443,0.56814
100.954,0.54971
100.465,0.45691
99.976,0.50544
99.4871,0.53621
98.9981,0.57386
98.5091,0.52903
98.02,0.50544
97.5311,0.51368
97.0421,0.54309
96.553,0.51368
96.0641,0.51368
95.5751,0.57939
95.0861,0.51368
94.597,0.52903
94.1081,0.50544
93.6191,0.54971
93.13,0.50544
92.6411,0.50544
92.1521,0.49679
91.663,0.54971
91.174,0.54309
90.6851,0.52153
90.196,0.55608
89.707,0.55608
89.2181,0.53621
88.7291,0.55608
88.24,0.53621
87.751,0.55608
87.2621,0.56814
86.773,0.54971
86.284,0.57386
85.7951,0.53621
85.3061,0.52153
84.817,0.52153
84.328,0.51368
83.8391,0.55608
83.35,0.55608
82.861,0.55608
82.3721,0.52153
81.8831,0.56814
81.394,0.55608
80.905,0.58474
80.4161,0.56221
79.927,0.53621
79.438,0.47802
78.9491,0.56221
78.4601,0.54971
77.971,0.53621
77.482,0.50544
76.9931,0.49679
76.504,0.54971
76.015,0.52153
75.5261,0.4678
75.0371,0.54309
74.548,0.4678
74.059,0.52153
73.5701,0.43276
73.081,0.51368
72.592,0.4678
72.1031,0.51368
71.6141,0.43276
71.125,0.43276
70.636,0.41926
70.1471,0.41926
69.6581,0.44527
69.169,0.50544
68.6801,0.47802
68.1911,0.41926
67.702,0.3885
67.213,0.41926
66.7241,0.45691
66.2351,0.43276
65.746,0.48767
65.2571,0.43276
64.7681,0.48767
64.279,0.35085
63.7901,0.40458
63.3011,0.30231
62.812,0.32832
62.3231,0.40458
61.8341,0.30231
61.3451,0.35085
60.856,0.37072
60.3671,0.30231
59.8781,0.2339
59.389,0.27155
58.9001,0.30231
58.4111,0.27155
57.922,0.32832
57.433,0.3885
56.9441,0.18536
56.4551,0.18536
55.966,0.11695
55.4771,0.18536
54.988,0.11695
54.499,0.2339
54.01,0
53.5211,0.18536
53.0321,0.11695
52.543,0.18536
52.0541,0
51.565,0.30231
51.0761,0.27155
50.587,0.27155
50.0981,0.2339
49.6091,0.27155
49.12,0.30231
48.6311,0.27155
48.142,0.32832
47.6531,0.27155
47.1641,0.3885
46.675,0.45691
46.1861,0.4678
45.697,0.48767
45.2081,0.43276
44.7191,0.41926
44.23,0.45691
43.7411,0.49679
43.252,0.4678
42.7631,0.58474
42.274,0.52903
41.785,0.54309
41.2961,0.59497
40.807,0.60462
40.3181,0.59986
39.829,0.62656
39.3401,0.63847
38.851,0.63847
38.362,0.65663
37.8731,0.67612
37.3841,0.66987
36.8951,0.66666
36.406,0.70169
35.9171,0.70169
35.428,0.72845
34.9391,0.74555
34.4501,0.74555
33.9611,0.73722
33.4721,0.78522
32.983,0.78361
32.4941,0.78361
32.005,0.83133
31.516,0.80348
31.0271,0.80348
30.538,0.80634
30.0491,0.7946
29.56,0.84199
29.0711,0.83133
28.5821,0.83011
28.093,0.84764
27.604,0.84314
27.115,0.85093
26.6261,0.85839
26.137,0.8844
25.6481,0.8844
25.1591,0.89893
24.67,0.90614
24.181,0.924
23.6921,0.90056
23.2031,0.93756
22.7141,0.94078
22.2251,0.92258
21.736,0.9369
21.247,0.96514
20.758,0.96569
20.2691,1
