Time,NormLogIntensity
ns,a.u.
24.18104,0.89398
24.67004,0.88837
25.15904,0.88262
25.64804,0.87674
26.13704,0.87072
26.62604,0.86456
27.11504,0.85826
27.60404,0.85182
28.09304,0.84523
28.58204,0.83848
29.07104,0.83158
29.56004,0.82451
30.04904,0.81729
30.53804,0.80989
31.02704,0.80232
31.51604,0.79457
32.00504,0.78663
32.49404,0.77851
32.98304,0.77018
33.47204,0.76166
33.96104,0.75292
34.45004,0.74397
34.93904,0.73479
35.42804,0.72538
35.91704,0.71573
36.40604,0.70582
36.89504,0.69566
37.38404,0.68522
37.87304,0.67449
38.36204,0.66347
38.85104,0.65214
39.34003,0.64049
39.82903,0.62849
40.31803,0.61614
40.80703,0.60341
41.29603,0.59028
41.78503,0.57674
42.27403,0.56277
42.76303,0.54832
43.25203,0.53339
43.74103,0.51795
44.23003,0.50195
44.71903,0.48537
45.20803,0.46818
45.69703,0.45034
46.18603,0.43181
46.67503,0.41256
47.16403,0.39254
47.65303,0.37173
48.14203,0.35009
48.63103,0.32762
49.12003,0.30432
49.60903,0.28021
50.09803,0.2554
50.58703,0.23003
51.07603,0.20438
51.56503,0.17885
52.05403,0.15406
52.54303,0.13086
53.03203,0.11032
53.52103,0.093687
54.01003,0.082165
54.49903,0.076634
54.98803,0.077398
55.47703,0.084077
55.96603,0.095738
56.45503,0.11115
56.94403,0.1291
57.43303,0.14851
57.92203,0.16859
58.41103,0.18873
58.90003,0.20854
59.38903,0.22778
59.87803,0.24629
60.36703,0.264
60.85603,0.28088
61.34503,0.29692
61.83403,0.31213
62.32303,0.32656
62.81203,0.34023
63.30103,0.35317
63.79003,0.36544
64.27903,0.37705
64.76803,0.38805
65.25703,0.39848
65.74603,0.40836
66.23503,0.41773
66.72403,0.42661
67.21303,0.43503
67.70203,0.44301
68.19103,0.45058
68.68002,0.45776
69.16902,0.46456
69.65802,0.47101
70.14702,0.47711
70.63602,0.4829
71.12502,0.48837
71.61402,0.49355
72.10302,0.49844
72.59202,0.50306
73.08102,0.50742
73.57002,0.51153
74.05902,0.51539
74.54802,0.51903
75.03702,0.52243
75.52602,0.52562
76.01502,0.5286
76.50402,0.53138
76.99302,0.53395
77.48202,0.53634
77.97102,0.53854
78.46002,0.54057
78.94902,0.54241
79.43802,0.54409
79.92702,0.5456
80.41602,0.54695
80.90502,0.54814
81.39402,0.54918
81.88302,0.55007
82.37202,0.55081
82.86102,0.55141
83.35002,0.55187
83.83902,0.55219
84.32802,0.55237
84.81702,0.55243
85.30602,0.55235
85.79502,0.55215
86.28402,0.55182
86.77302,0.55137
87.26202,0.5508
87.75102,0.55011
88.24002,0.5493
88.72902,0.54838
89.21802,0.54734
89.70702,0.54619
90.19602,0.54494
90.68502,0.54357
91.17402,0.5421
91.66302,0.54052
92.15202,0.53883
92.64102,0.53704
93.13002,0.53515
93.61902,0.53316
94.10802,0.53107
94.59702,0.52888
95.08602,0.52659
95.57502,0.5242
96.06402,0.52172
96.55302,0.51914
97.04202,0.51647
97.53102,0.5137
98.02001,0.51084
98.50901,0.50788
98.99801,0.50483
99.48701,0.5017
99.97601,0.49847
100.465,0.49514
100.954,0.49173
101.443,0.48823
101.932,0.48464
102.421,0.48096
102.91,0.4772
103.399,0.47334
103.888,0.4694
104.377,0.46537
104.866,0.46125
105.355,0.45704
105.844,0.45275
106.333,0.44837
106.822,0.44391
107.311,0.43935
107.8,0.43472
108.289,0.42999
108.778,0.42518
109.267,0.42028
109.756,0.4153
110.245,0.41023
110.734,0.40507
111.223,0.39983
111.712,0.39449
112.201,0.38908
112.69,0.38357
113.179,0.37798
113.668,0.37231
114.157,0.36654
114.646,0.36069
115.135,0.35475
115.624,0.34872
116.113,0.3426
116.602,0.33639
117.091,0.3301
117.58,0.32371
118.069,0.31723
118.558,0.31067
119.047,0.30401
119.536,0.29726
