Velocity,NormIntensity
mm/s,a.u.
-5.82,1
-5.8079,1
-5.7957,1
-5.7836,0.99999
-5.7715,0.99999
-5.7594,0.99999
-5.7473,0.99999
-5.7351,0.99998
-5.723,0.99998
-5.7109,0.99998
-5.6988,0.99998
-5.6866,0.99997
-5.6745,0.99997
-5.6624,0.99997
-5.6502,0.99997
-5.6381,0.99996
-5.626,0.99996
-5.6139,0.99996
-5.6018,0.99995
-5.5896,0.99995
-5.5775,0.99995
-5.5654,0.99995
-5.5533,0.99994
-5.5411,0.99994
-5.529,0.99994
-5.5169,0.99994
-5.5047,0.99993
-5.4926,0.99993
-5.4805,0.99993
-5.4684,0.99992
-5.4562,0.99992
-5.4441,0.99992
-5.432,0.99992
-5.4199,0.99991
-5.4078,0.99991
-5.3956,0.99991
-5.3835,0.9999
-5.3714,0.9999
-5.3593,0.9999
-5.3471,0.99989
-5.335,0.99989
-5.3229,0.99989
-5.3107,0.99988
-5.2986,0.99988
-5.2865,0.99988
-5.2744,0.99988
-5.2622,0.99987
-5.2501,0.99987
-5.238,0.99987
-5.2259,0.99986
-5.2138,0.99986
-5.2016,0.99986
-5.1895,0.99985
-5.1774,0.99985
-5.1653,0.99985
-5.1531,0.99984
-5.141,0.99984
-5.1289,0.99983
-5.1167,0.99983
-5.1046,0.99983
-5.0925,0.99982
-5.0804,0.99982
-5.0682,0.99982
-5.0561,0.99981
-5.044,0.99981
-5.0319,0.99981
-5.0198,0.9998
-5.0076,0.9998
-4.9955,0.99979
-4.9834,0.99979
-4.9713,0.99979
-4.9591,0.99978
-4.947,0.99978
-4.9349,0.99978
-4.9227,0.99977
-4.9106,0.99977
-4.8985,0.99976
-4.8864,0.99976
-4.8742,0.99976
-4.8621,0.99975
-4.85,0.99975
-4.8379,0.99974
-4.8258,0.99974
-4.8136,0.99973
-4.8015,0.99973
-4.7894,0.99973
-4.7773,0.99972
-4.7651,0.99972
-4.753,0.99971
-4.7409,0.99971
-4.7287,0.9997
-4.7166,0.9997
-4.7045,0.9997
-4.6924,0.99969
-4.6803,0.99969
-4.6681,0.99968
-4.656,0.99968
-4.6439,0.99967
-4.6318,0.99967
-4.6196,0.99966
-4.6075,0.99966
-4.5954,0.99965
-4.5832,0.99965
-4.5711,0.99964
-4.559,0.99964
-4.5469,0.99963
-4.5347,0.99963
-4.5226,0.99962
-4.5105,0.99962
-4.4984,0.99961
-4.4863,0.99961
-4.4741,0.9996
-4.462,0.9996
-4.4499,0.99959
-4.4378,0.99959
-4.4256,0.99958
-4.4135,0.99957
-4.4014,0.99957
