 e norm nbkg flat fbkg nder nsec
 7011.9933 0.44209493E-03 0.44209501E-03 0.44209502E-03 0.44209501E-03 0.11758688E-04 -0.17039591E-04
 7014.4901 0.47145355E-03 0.47145363E-03 0.47145364E-03 0.47145363E-03 -0.30785081E-04 -0.96188758E-05
 7016.9935 0.28816503E-03 0.28816508E-03 0.28816509E-03 0.28816508E-03 -0.36337095E-04 0.26585543E-06
 7019.4923 0.28968551E-03 0.28968556E-03 0.28968557E-03 0.28968556E-03 -0.29455200E-04 0.20683825E-05
 7021.9931 0.14089996E-03 0.14089998E-03 0.14089999E-03 0.14089998E-03 -0.25995950E-04 0.10904184E-05
 7024.4941 0.15966024E-03 0.15966027E-03 0.15966028E-03 0.15966027E-03 -0.24001198E-04 0.33878991E-05
 7026.9954 0.20839219E-04 0.20839214E-04 0.20839223E-04 0.20839214E-04 -0.90487271E-05 0.88773703E-05
 7029.4953 0.11440563E-03 0.11440565E-03 0.11440565E-03 0.11440565E-03 0.20396422E-04 -0.36976578E-05
 7031.9971 0.12285671E-03 0.12285673E-03 0.12285674E-03 0.12285673E-03 -0.27543432E-04 -0.17064863E-04
 7034.4960 -0.23329539E-04 -0.23329553E-04 -0.23329544E-04 -0.23329553E-04 -0.64939054E-04 -0.80717614E-06
 7036.9935 -0.20160289E-03 -0.20160294E-03 -0.20160293E-03 -0.20160294E-03 -0.31576383E-04 0.13306967E-04
 7039.4960 -0.18121385E-03 -0.18121390E-03 -0.18121389E-03 -0.18121390E-03 0.15967935E-05 0.25512553E-05
 7041.9972 -0.19361289E-03 -0.19361294E-03 -0.19361293E-03 -0.19361294E-03 -0.18810460E-04 -0.43823046E-06
 7044.4971 -0.27528651E-03 -0.27528657E-03 -0.27528656E-03 -0.27528657E-03 -0.59483296E-06 0.26669413E-06
 7046.9988 -0.19658799E-03 -0.19658804E-03 -0.19658803E-03 -0.19658804E-03 -0.17476568E-04 -0.94714028E-05
 7049.4992 -0.36270561E-03 -0.36270569E-03 -0.36270568E-03 -0.36270569E-03 -0.47971500E-04 0.86738743E-05
 7051.9998 -0.43649169E-03 -0.43649179E-03 -0.43649178E-03 -0.43649179E-03 0.25901156E-04 0.95748993E-05
 7054.5006 -0.23316227E-03 -0.23316233E-03 -0.23316232E-03 -0.23316233E-03 -0.83120181E-07 -0.12726238E-04
 7056.9969 -0.43690705E-03 -0.43690715E-03 -0.43690714E-03 -0.43690715E-03 -0.37693203E-04 0.72967518E-05
 7059.4950 -0.42141577E-03 -0.42141586E-03 -0.42141585E-03 -0.42141586E-03 0.36359500E-04 0.25903108E-04
 7061.9949 -0.25518046E-03 -0.25518052E-03 -0.25518051E-03 -0.25518052E-03 0.91771824E-04 -0.38761416E-05
 7064.4967 0.37603216E-04 0.37603215E-04 0.37603224E-04 0.37603215E-04 0.16972039E-04 -0.34579773E-04
