e         norm        nbkg        flat        fbkg        nder        nsec
  7012.0013       0.73630748E-03   0.73630745E-03   0.73630746E-03   0.73630745E-03  -0.44940713E-04   0.29055256E-05
  7014.5012       0.62395822E-03   0.62395819E-03   0.62395819E-03   0.62395819E-03  -0.37677062E-04   0.22724455E-05
  7016.9983       0.54803603E-03   0.54803601E-03   0.54803601E-03   0.54803601E-03  -0.33585353E-04  -0.44297181E-06
  7019.4956       0.45622181E-03   0.45622179E-03   0.45622180E-03   0.45622179E-03  -0.39889410E-04  -0.88173571E-06
  7021.9995       0.34854000E-03   0.34853998E-03   0.34853998E-03   0.34853998E-03  -0.37995114E-04   0.32637259E-06
  7024.4989       0.26611896E-03   0.26611894E-03   0.26611895E-03   0.26611894E-03  -0.38256454E-04  -0.32942049E-06
  7026.9970       0.15735310E-03   0.15735309E-03   0.15735309E-03   0.15735309E-03  -0.39641396E-04   0.72878545E-06
  7029.4985       0.67926883E-04   0.67926874E-04   0.67926880E-04   0.67926874E-04  -0.34612801E-04   0.19147826E-05
  7032.0003      -0.15826340E-04  -0.15826345E-04  -0.15826339E-04  -0.15826345E-04  -0.30061097E-04   0.54269449E-06
  7034.4992      -0.82398382E-04  -0.82398385E-04  -0.82398379E-04  -0.82398385E-04  -0.31898971E-04   0.13443472E-06
  7036.9983      -0.17525657E-03  -0.17525657E-03  -0.17525656E-03  -0.17525657E-03  -0.29389196E-04   0.25080596E-06
  7039.4977      -0.22929972E-03  -0.22929972E-03  -0.22929971E-03  -0.22929972E-03  -0.30645323E-04  -0.31264773E-06
  7041.9957      -0.32840292E-03  -0.32840292E-03  -0.32840291E-03  -0.32840292E-03  -0.30951616E-04   0.18727723E-05
  7044.4972      -0.38404173E-03  -0.38404172E-03  -0.38404172E-03  -0.38404172E-03  -0.21282433E-04   0.16559939E-05
  7046.9989      -0.43488285E-03  -0.43488284E-03  -0.43488283E-03  -0.43488284E-03  -0.22666374E-04   0.14823976E-05
  7049.4976      -0.49738425E-03  -0.49738424E-03  -0.49738424E-03  -0.49738424E-03  -0.13869748E-04   0.39116218E-05
  7051.9966      -0.50420037E-03  -0.50420036E-03  -0.50420035E-03  -0.50420036E-03  -0.31170697E-05   0.80865874E-06
  7054.4975      -0.51296910E-03  -0.51296909E-03  -0.51296908E-03  -0.51296909E-03  -0.98265839E-05  -0.98239784E-06
  7056.9986      -0.55335224E-03  -0.55335222E-03  -0.55335222E-03  -0.55335222E-03  -0.80309530E-05   0.20494243E-05
  7059.4967      -0.55311735E-03  -0.55311733E-03  -0.55311733E-03  -0.55311733E-03   0.41887353E-06   0.22668166E-05
  7061.9982      -0.55125801E-03  -0.55125800E-03  -0.55125799E-03  -0.55125800E-03   0.33023681E-05   0.14237600E-05
  7064.5000      -0.53659442E-03  -0.53659441E-03  -0.53659440E-03  -0.53659441E-03   0.75424515E-05   0.26790023E-05
  7067.0004      -0.51352905E-03  -0.51352904E-03  -0.51352903E-03  -0.51352904E-03   0.16703311E-04   0.35641452E-05
  7069.5011      -0.45306006E-03  -0.45306005E-03  -0.45306005E-03  -0.45306005E-03   0.25366977E-04   0.19720410E-05
  7072.0004      -0.38669645E-03  -0.38669644E-03  -0.38669644E-03  -0.38669644E-03   0.26563338E-04   0.47855310E-05
  7074.4998      -0.32027660E-03  -0.32027660E-03  -0.32027659E-03  -0.32027660E-03   0.49288645E-04   0.51057174E-05
  7076.9963      -0.14045230E-03  -0.14045231E-03  -0.14045230E-03  -0.14045231E-03   0.52071304E-04   0.36793180E-05
  7079.4962      -0.60107280E-04  -0.60107284E-04  -0.60107278E-04  -0.60107284E-04   0.67672008E-04   0.99709873E-05
  7081.9980       0.19802298E-03   0.19802297E-03   0.19802297E-03   0.19802297E-03   0.10194322E-03   0.81627666E-05
  7084.4984       0.44982739E-03   0.44982737E-03   0.44982737E-03   0.44982737E-03   0.10850334E-03   0.43987075E-05
  7086.9957       0.74029176E-03   0.74029173E-03   0.74029173E-03   0.74029173E-03   0.12392671E-03   0.11542460E-04
  7089.4949       0.10690298E-02   0.10690297E-02   0.10690297E-02   0.10690297E-02   0.16617549E-03   0.17654986E-04
  7091.9976       0.15714716E-02   0.15714716E-02   0.15714716E-02   0.15714716E-02   0.21223377E-03   0.18724385E-04
  7094.4988       0.21310204E-02   0.21310203E-02   0.21310203E-02   0.21310203E-02   0.25986991E-03   0.24510717E-04
  7097.0002       0.28715156E-02   0.28715154E-02   0.28715155E-02   0.28715154E-02   0.33485284E-03   0.30405993E-04
  7099.3504       0.37555834E-02   0.37555833E-02   0.37555833E-02   0.37555833E-02   0.40738680E-03   0.34632938E-04
  7101.0973       0.45406147E-02   0.45406146E-02   0.45406146E-02   0.45406146E-02   0.47674700E-03   0.53430206E-04
  7101.9467       0.49933679E-02   0.49933677E-02   0.49933677E-02   0.49933677E-02   0.54610834E-03   0.29152634E-03
  7102.2010       0.51433633E-02   0.51433631E-02   0.51433631E-02   0.51433631E-02   0.79850929E-03   0.10917556E-02
  7102.3021       0.52772028E-02   0.52772026E-02   0.52772026E-02   0.52772026E-02   0.93417941E-03  -0.75828076E-03
  7102.4016       0.53307279E-02   0.53307277E-02   0.53307277E-02   0.53307277E-02   0.64642395E-03  -0.19430526E-02
  7102.5011       0.54058030E-02   0.54058028E-02   0.54058028E-02   0.54058028E-02   0.54762658E-03  -0.13808276E-02
  7102.5989       0.54387834E-02   0.54387832E-02   0.54387832E-02   0.54387832E-02   0.37396459E-03  -0.74013807E-03
  7102.6968       0.54789845E-02   0.54789843E-02   0.54789843E-02   0.54789843E-02   0.40278822E-03   0.11881038E-02
  7102.7979       0.55189213E-02   0.55189211E-02   0.55189211E-02   0.55189211E-02   0.61034734E-03   0.40055502E-02
  7102.8990       0.56024126E-02   0.56024124E-02   0.56024124E-02   0.56024124E-02   0.12128146E-02   0.74547631E-03
  7103.0001       0.57641912E-02   0.57641910E-02   0.57641910E-02   0.57641910E-02   0.76110650E-03  -0.32745412E-02
  7103.1012       0.57563373E-02   0.57563371E-02   0.57563371E-02   0.57563371E-02   0.55057795E-03  -0.72003391E-03
  7103.2040       0.58764403E-02   0.58764401E-02   0.58764401E-02   0.58764401E-02   0.61430959E-03  -0.10804671E-02
  7103.3051       0.58815833E-02   0.58815831E-02   0.58815831E-02   0.58815831E-02   0.33029123E-03  -0.11001227E-02
  7103.4013       0.59416276E-02   0.59416274E-02   0.59416274E-02   0.59416274E-02   0.39718608E-03   0.25898286E-02
  7103.4992       0.59586795E-02   0.59586793E-02   0.59586793E-02   0.59586793E-02   0.83299251E-03   0.30133638E-02
  7103.5987       0.61060386E-02   0.61060384E-02   0.61060384E-02   0.61060384E-02   0.99194574E-03  -0.16983178E-02
  7103.6998       0.61577055E-02   0.61577053E-02   0.61577053E-02   0.61577053E-02   0.49223863E-03  -0.18989781E-02
  7103.7994       0.62048053E-02   0.62048051E-02   0.62048051E-02   0.62048051E-02   0.61091958E-03   0.19429003E-02
  7103.8989       0.62792925E-02   0.62792923E-02   0.62792923E-02   0.62792923E-02   0.87892047E-03   0.13256547E-02
  7104.0016       0.63826030E-02   0.63826028E-02   0.63826028E-02   0.63826028E-02   0.87908759E-03  -0.55708059E-03
  7104.1012       0.64571293E-02   0.64571291E-02   0.64571291E-02   0.64571291E-02   0.76622474E-03  -0.11624593E-02
  7104.1974       0.65326130E-02   0.65326127E-02   0.65326128E-02   0.65326127E-02   0.65150362E-03  -0.10378360E-02
  7104.3002       0.65868085E-02   0.65868083E-02   0.65868083E-02   0.65868083E-02   0.55964763E-03   0.13305922E-02
  7104.4014       0.66467509E-02   0.66467506E-02   0.66467506E-02   0.66467506E-02   0.92287258E-03   0.50782474E-02
  7104.4976       0.67690076E-02   0.67690073E-02   0.67690073E-02   0.67690073E-02   0.15622257E-02   0.53071592E-03
  7104.5988       0.69551842E-02   0.69551840E-02   0.69551840E-02   0.69551840E-02   0.10276529E-02  -0.55042624E-02
  7104.7032       0.69802889E-02   0.69802886E-02   0.69802886E-02   0.69802886E-02   0.43057137E-03   0.27943492E-03
  7104.8044       0.70437106E-02   0.70437103E-02   0.70437103E-02   0.70437103E-02   0.10851053E-02   0.17081395E-02
  7104.9023       0.71963138E-02   0.71963135E-02   0.71963135E-02   0.71963135E-02   0.77063121E-03  -0.14939021E-02
  7105.0002       0.71946186E-02   0.71946184E-02   0.71946184E-02   0.71946184E-02   0.79256338E-03   0.39154879E-02
  7105.0998       0.73528142E-02   0.73528139E-02   0.73528139E-02   0.73528139E-02   0.15437874E-02  -0.48213839E-03
  7105.1993       0.75019836E-02   0.75019833E-02   0.75019834E-02   0.75019833E-02   0.69657060E-03  -0.49713813E-02
  7105.3005       0.74926410E-02   0.74926407E-02   0.74926407E-02   0.74926407E-02   0.54585216E-03   0.23914966E-02
  7105.4001       0.76115596E-02   0.76115593E-02   0.76115594E-02   0.76115593E-02   0.11766468E-02   0.38289146E-02
