   e         norm        nbkg        flat        fbkg        nder        nsec
  7045.0047       0.95465262E-03   0.95465256E-03   0.95465259E-03   0.95465256E-03  -0.74011579E-04   0.63317407E-16
  7046.0047       0.88064104E-03   0.88064099E-03   0.88064101E-03   0.88064099E-03  -0.74011579E-04   0.31631598E-16
  7047.0047       0.80662946E-03   0.80662941E-03   0.80662943E-03   0.80662941E-03  -0.74011579E-04  -0.31685808E-16
  7048.0047       0.73261788E-03   0.73261783E-03   0.73261786E-03   0.73261783E-03  -0.74011579E-04  -0.24162690E-07
  7049.0047       0.65860630E-03   0.65860626E-03   0.65860628E-03   0.65860626E-03  -0.74059904E-04  -0.67453561E-05
  7050.0047       0.58449807E-03   0.58449803E-03   0.58449805E-03   0.58449803E-03  -0.87502291E-04  -0.13418224E-04
  7051.0047       0.48360172E-03   0.48360168E-03   0.48360170E-03   0.48360168E-03  -0.10089635E-03  -0.73989726E-05
  7052.0047       0.38270537E-03   0.38270533E-03   0.38270535E-03   0.38270533E-03  -0.10230024E-03  -0.20985078E-05
  7053.0047       0.27900125E-03   0.27900121E-03   0.27900124E-03   0.27900121E-03  -0.10509337E-03  -0.20911898E-05
  7054.0047       0.17251863E-03   0.17251860E-03   0.17251862E-03   0.17251860E-03  -0.10648262E-03   0.89131634E-05
  7055.0047       0.66036014E-04   0.66035986E-04   0.66036012E-04   0.66035986E-04  -0.87267041E-04   0.19233025E-04
  7056.0047      -0.20154524E-05  -0.20154781E-05  -0.20154524E-05  -0.20154781E-05  -0.68016566E-04   0.78086734E-05
  7057.0047      -0.69997117E-04  -0.69997140E-04  -0.69997115E-04  -0.69997140E-04  -0.71649695E-04  -0.55207773E-05
  7058.0047      -0.14531484E-03  -0.14531486E-03  -0.14531484E-03  -0.14531486E-03  -0.79058120E-04  -0.55744107E-05
  7059.0047      -0.22811336E-03  -0.22811338E-03  -0.22811335E-03  -0.22811338E-03  -0.82798516E-04   0.12043165E-04
  7060.0047      -0.31091187E-03  -0.31091189E-03  -0.31091186E-03  -0.31091189E-03  -0.54971791E-04   0.27873702E-04
  7061.0047      -0.33805694E-03  -0.33805695E-03  -0.33805693E-03  -0.33805695E-03  -0.27051112E-04   0.10303837E-04
  7062.0047      -0.36501410E-03  -0.36501411E-03  -0.36501409E-03  -0.36501411E-03  -0.34364116E-04  -0.11094400E-04
  7063.0047      -0.40678517E-03  -0.40678518E-03  -0.40678516E-03  -0.40678518E-03  -0.49239913E-04  -0.11172319E-04
  7064.0047      -0.46349392E-03  -0.46349394E-03  -0.46349391E-03  -0.46349394E-03  -0.56708753E-04   0.63791421E-05
  7065.0047      -0.52020268E-03  -0.52020269E-03  -0.52020266E-03  -0.52020269E-03  -0.36481629E-04   0.20270311E-04
  7066.0047      -0.53645718E-03  -0.53645719E-03  -0.53645716E-03  -0.53645719E-03  -0.16168131E-04   0.93011929E-05
  7067.0047      -0.55253894E-03  -0.55253895E-03  -0.55253892E-03  -0.55253895E-03  -0.17879243E-04  -0.26654601E-05
  7068.0047      -0.57221567E-03  -0.57221568E-03  -0.57221565E-03  -0.57221568E-03  -0.21499052E-04  -0.27210662E-05
  7069.0047      -0.59553704E-03  -0.59553705E-03  -0.59553702E-03  -0.59553705E-03  -0.23321375E-04  -0.18972133E-05
  7070.0047      -0.61885842E-03  -0.61885842E-03  -0.61885840E-03  -0.61885842E-03  -0.25293478E-04  -0.19733102E-05
  7071.0047      -0.64612400E-03  -0.64612401E-03  -0.64612398E-03  -0.64612401E-03  -0.27267996E-04   0.45296438E-05
  7072.0047      -0.67339441E-03  -0.67339441E-03  -0.67339439E-03  -0.67339441E-03  -0.16234191E-04   0.16644144E-04
  7073.0047      -0.67859238E-03  -0.67859239E-03  -0.67859236E-03  -0.67859239E-03   0.60202914E-05   0.16736372E-04
  7074.0047      -0.66135383E-03  -0.66135383E-03  -0.66135381E-03  -0.66135383E-03   0.17238553E-04   0.37891679E-05
  7075.0047      -0.64411527E-03  -0.64411528E-03  -0.64411525E-03  -0.64411528E-03   0.13598627E-04  -0.36501181E-05
  7076.0047      -0.63415657E-03  -0.63415658E-03  -0.63415655E-03  -0.63415658E-03   0.99383171E-05   0.30318525E-05
  7077.0047      -0.62423864E-03  -0.62423865E-03  -0.62423862E-03  -0.62423865E-03   0.19662332E-04   0.14685724E-04
  7078.0047      -0.59483191E-03  -0.59483192E-03  -0.59483189E-03  -0.59483192E-03   0.39309765E-04   0.14775233E-04
  7079.0047      -0.54561911E-03  -0.54561912E-03  -0.54561909E-03  -0.54561912E-03   0.49212797E-04   0.83444041E-05
  7080.0047      -0.49640631E-03  -0.49640632E-03  -0.49640630E-03  -0.49640632E-03   0.55998573E-04   0.68005852E-05
  7081.0047      -0.43362197E-03  -0.43362198E-03  -0.43362195E-03  -0.43362198E-03   0.62813968E-04   0.11199475E-04
  7082.0047      -0.37077838E-03  -0.37077839E-03  -0.37077837E-03  -0.37077839E-03   0.78397523E-04   0.23498857E-04
  7083.0047      -0.27682692E-03  -0.27682694E-03  -0.27682691E-03  -0.27682694E-03   0.10981168E-03   0.23637191E-04
  7084.0047      -0.15115501E-03  -0.15115504E-03  -0.15115501E-03  -0.15115504E-03   0.12567191E-03   0.14908693E-04
  7085.0047      -0.25483109E-04  -0.25483134E-04  -0.25483108E-04  -0.25483134E-04   0.13962907E-03   0.13973805E-04
  7086.0047       0.12810312E-03   0.12810309E-03   0.12810312E-03   0.12810309E-03   0.15361952E-03   0.18441328E-04
  7087.0047       0.28175592E-03   0.28175589E-03   0.28175591E-03   0.28175589E-03   0.17651173E-03   0.34458849E-04
  7088.0047       0.48112657E-03   0.48112653E-03   0.48112656E-03   0.48112653E-03   0.22253721E-03   0.34596025E-04
  7089.0047       0.72683035E-03   0.72683030E-03   0.72683033E-03   0.72683030E-03   0.24570378E-03   0.22741872E-04
  7090.0047       0.97253413E-03   0.97253407E-03   0.97253410E-03   0.97253407E-03   0.26802096E-03   0.22367871E-04
  7091.0047       0.12628723E-02   0.12628722E-02   0.12628722E-02   0.12628722E-02   0.29043952E-03   0.15370352E-04
  7092.0047       0.15534132E-02   0.15534131E-02   0.15534131E-02   0.15534131E-02   0.29876166E-03   0.23263539E-04
  7092.7157       0.17740666E-02   0.17740665E-02   0.17740666E-02   0.17740665E-02   0.33024446E-03   0.49389256E-04
  7093.2157       0.19533537E-02   0.19533536E-02   0.19533537E-02   0.19533536E-02   0.35857422E-03   0.28329768E-04
  7093.7157       0.21326408E-02   0.21326407E-02   0.21326408E-02   0.21326407E-02   0.35857422E-03   0.12641797E-15
