e         norm        nbkg        flat        fbkg        nder        nsec
  7011.9949       0.16937463E-02   0.16937462E-02   0.16937462E-02   0.16937462E-02  -0.96160654E-04   0.24705034E-05
  7014.4965       0.14531978E-02   0.14531976E-02   0.14531976E-02   0.14531976E-02  -0.89980620E-04   0.89125600E-06
  7016.9983       0.12435438E-02   0.12435437E-02   0.12435436E-02   0.12435437E-02  -0.91701408E-04   0.11737112E-05
  7019.4956       0.99477343E-03   0.99477334E-03   0.99477333E-03   0.99477334E-03  -0.84113123E-04   0.43295784E-05
  7021.9947       0.82327667E-03   0.82327660E-03   0.82327659E-03   0.82327660E-03  -0.70068881E-04  -0.11844699E-06
  7024.4973       0.64430591E-03   0.64430586E-03   0.64430585E-03   0.64430586E-03  -0.84705566E-04  -0.19041824E-05
  7026.9970       0.39955537E-03   0.39955534E-03   0.39955533E-03   0.39955534E-03  -0.79594142E-04   0.45994666E-05
  7029.4970       0.24636537E-03   0.24636535E-03   0.24636534E-03   0.24636535E-03  -0.61709976E-04   0.26883524E-05
  7031.9972       0.90996849E-04   0.90996852E-04   0.90996840E-04   0.90996852E-04  -0.66152004E-04  -0.55366051E-06
  7034.4976      -0.84438048E-04  -0.84438028E-04  -0.84438040E-04  -0.84438028E-04  -0.64478642E-04   0.67887009E-06
  7037.0031      -0.23178117E-03  -0.23178114E-03  -0.23178115E-03  -0.23178114E-03  -0.62753602E-04   0.35188402E-07
  7039.5041      -0.39861276E-03  -0.39861271E-03  -0.39861272E-03  -0.39861271E-03  -0.64302472E-04  -0.45053394E-06
  7042.0021      -0.55322852E-03  -0.55322845E-03  -0.55322847E-03  -0.55322845E-03  -0.65005816E-04   0.16482478E-05
  7044.4972      -0.72319194E-03  -0.72319186E-03  -0.72319187E-03  -0.72319186E-03  -0.56072640E-04   0.50411358E-05
  7046.9973      -0.83332100E-03  -0.83332091E-03  -0.83332092E-03  -0.83332091E-03  -0.39824476E-04   0.24325396E-05
  7049.5009      -0.92246091E-03  -0.92246081E-03  -0.92246082E-03  -0.92246081E-03  -0.43900988E-04   0.59721078E-06
  7051.9982      -0.10528681E-02  -0.10528680E-02  -0.10528680E-02  -0.10528680E-02  -0.36837848E-04   0.47735418E-05
  7054.5023      -0.11067036E-02  -0.11067035E-02  -0.11067035E-02  -0.11067035E-02  -0.20026348E-04  -0.23025825E-06
  7057.0018      -0.11530707E-02  -0.11530706E-02  -0.11530706E-02  -0.11530706E-02  -0.37989954E-04  -0.13978039E-05
  7059.4983      -0.12965005E-02  -0.12965004E-02  -0.12965004E-02  -0.12965004E-02  -0.27009742E-04   0.92638780E-05
  7062.0031      -0.12881540E-02  -0.12881539E-02  -0.12881539E-02  -0.12881539E-02   0.83412939E-05   0.54623470E-05
  7064.5000      -0.12547795E-02  -0.12547793E-02  -0.12547793E-02  -0.12547793E-02   0.31153046E-06  -0.13891232E-05
  7067.0004      -0.12865972E-02  -0.12865971E-02  -0.12865971E-02  -0.12865971E-02   0.13993173E-05   0.57926312E-05
  7069.5027      -0.12477791E-02  -0.12477790E-02  -0.12477790E-02  -0.12477790E-02   0.29290216E-04   0.74936914E-05
  7072.0020      -0.11401014E-02  -0.11401013E-02  -0.11401013E-02  -0.11401013E-02   0.38879210E-04   0.72485372E-05
  7074.5015      -0.10534316E-02  -0.10534315E-02  -0.10534315E-02  -0.10534315E-02   0.65523849E-04   0.96985636E-05
  7076.9995      -0.81264061E-03  -0.81264052E-03  -0.81264053E-03  -0.81264052E-03   0.87348577E-04   0.65623861E-05
  7079.4995      -0.61686109E-03  -0.61686102E-03  -0.61686103E-03  -0.61686102E-03   0.98322832E-04   0.91765899E-05
  7082.0013      -0.32085851E-03  -0.32085847E-03  -0.32085848E-03  -0.32085847E-03   0.13324720E-03   0.11849283E-04
  7084.5016       0.49661254E-04   0.49661261E-04   0.49661249E-04   0.49661261E-04   0.15759471E-03   0.12789091E-04
  7087.0006       0.46701150E-03   0.46701146E-03   0.46701145E-03   0.46701146E-03   0.19718425E-03   0.20005532E-04
  7089.4965       0.10345773E-02   0.10345772E-02   0.10345772E-02   0.10345772E-02   0.25752038E-03   0.26682039E-04
  7091.9943       0.17529908E-02   0.17529906E-02   0.17529906E-02   0.17529906E-02   0.33042633E-03   0.30018902E-04
  7094.5004       0.26879890E-02   0.26879887E-02   0.26879887E-02   0.26879887E-02   0.40773118E-03   0.43546706E-04
  7097.0035       0.37953893E-02   0.37953889E-02   0.37953889E-02   0.37953889E-02   0.54855957E-03   0.59237710E-04
  7099.3471       0.53466861E-02   0.53466855E-02   0.53466855E-02   0.53466855E-02   0.69483788E-03   0.57829310E-04
  7101.0957       0.66388055E-02   0.66388049E-02   0.66388049E-02   0.66388049E-02   0.78520873E-03   0.94262278E-04
  7101.9499       0.73904525E-02   0.73904518E-02   0.73904517E-02   0.73904518E-02   0.94018676E-03   0.88667767E-04
  7102.2010       0.76780372E-02   0.76780365E-02   0.76780364E-02   0.76780365E-02   0.88321729E-03  -0.19147461E-03
  7102.3021       0.77015172E-02   0.77015164E-02   0.77015164E-02   0.77015164E-02   0.87275035E-03   0.15866706E-02
