e         norm        nbkg        flat        fbkg        nder        nsec
  7011.9949       0.93968532E-03   0.93968528E-03   0.93968524E-03   0.93968528E-03  -0.46537972E-04  -0.66245004E-05
  7014.4917       0.82349113E-03   0.82349110E-03   0.82349106E-03   0.82349110E-03  -0.63077766E-04   0.80141098E-06
  7016.9935       0.62438745E-03   0.62438744E-03   0.62438740E-03   0.62438744E-03  -0.42532073E-04   0.57754525E-05
  7019.4939       0.61073405E-03   0.61073403E-03   0.61073400E-03   0.61073403E-03  -0.34187370E-04  -0.40328024E-05
  7021.9963       0.45335440E-03   0.45335440E-03   0.45335436E-03   0.45335440E-03  -0.62707433E-04  -0.50729750E-05
  7024.4973       0.29698694E-03   0.29698695E-03   0.29698691E-03   0.29698695E-03  -0.59569229E-04   0.28070430E-05
  7026.9970       0.15546709E-03   0.15546711E-03   0.15546707E-03   0.15546711E-03  -0.48670278E-04   0.40630230E-05
  7029.4937       0.53809349E-04   0.53809383E-04   0.53809344E-04   0.53809383E-04  -0.39268623E-04   0.19629577E-05
  7031.9923      -0.40693391E-04  -0.40693349E-04  -0.40693387E-04  -0.40693349E-04  -0.38864620E-04   0.19176827E-05
  7034.4912      -0.14041484E-03  -0.14041479E-03  -0.14041483E-03  -0.14041479E-03  -0.29685090E-04  -0.60959592E-06
  7036.9935      -0.18915334E-03  -0.18915328E-03  -0.18915332E-03  -0.18915328E-03  -0.41913308E-04   0.67693930E-06
  7039.4944      -0.35011843E-03  -0.35011837E-03  -0.35011840E-03  -0.35011837E-03  -0.26298180E-04   0.33710743E-05
  7041.9940      -0.32065941E-03  -0.32065935E-03  -0.32065939E-03  -0.32065935E-03  -0.25055991E-04  -0.79432861E-06
  7044.4955      -0.47542545E-03  -0.47542537E-03  -0.47542541E-03  -0.47542537E-03  -0.30270681E-04  -0.32655234E-05
  7046.9972      -0.47210911E-03  -0.47210903E-03  -0.47210907E-03  -0.47210903E-03  -0.41393996E-04   0.25379470E-05
  7049.4976      -0.68248124E-03  -0.68248114E-03  -0.68248118E-03  -0.68248114E-03  -0.17575685E-04   0.64786394E-05
  7051.9950      -0.55994794E-03  -0.55994785E-03  -0.55994789E-03  -0.55994785E-03  -0.90153951E-05  -0.14053565E-05
  7054.4942      -0.72752777E-03  -0.72752767E-03  -0.72752771E-03  -0.72752767E-03  -0.24597722E-04   0.40897206E-06
  7056.9953      -0.68294434E-03  -0.68294425E-03  -0.68294428E-03  -0.68294425E-03  -0.69704051E-05   0.24961155E-05
  7059.4982      -0.76240778E-03  -0.76240768E-03  -0.76240772E-03  -0.76240768E-03  -0.12107122E-04   0.51045956E-05
  7061.9982      -0.74351485E-03  -0.74351474E-03  -0.74351478E-03  -0.74351474E-03   0.18567284E-04   0.96098552E-05
  7064.4984      -0.66956889E-03  -0.66956879E-03  -0.66956883E-03  -0.66956879E-03   0.35943432E-04   0.24797789E-05
  7066.9972      -0.56383413E-03  -0.56383405E-03  -0.56383409E-03  -0.56383405E-03   0.30963664E-04  -0.22548381E-05
  7069.4946      -0.51486764E-03  -0.51486756E-03  -0.51486760E-03  -0.51486756E-03   0.24677767E-04   0.31772081E-06
  7071.9938      -0.44052740E-03  -0.44052733E-03  -0.44052736E-03  -0.44052733E-03   0.32551211E-04   0.10309519E-04
  7074.4933      -0.35215263E-03  -0.35215256E-03  -0.35215260E-03  -0.35215256E-03   0.76212362E-04   0.58372453E-05
