Energy,NormalizedIntensity
eV,a.u.
7045.0047,0.0015829
7046.0047,0.0015111
7047.0047,0.0014394
7048.0047,0.0013677
7049.0047,0.0012959
7050.0047,0.0012241
7051.0047,0.0011263
7052.0047,0.0010286
7053.0047,0.00092805
7054.0047,0.00082485
7055.0047,0.00072165
7056.0047,0.0006557
7057.0047,0.00058982
7058.0047,0.00051682
7059.0047,0.00043658
7060.0047,0.00035634
7061.0047,0.00033003
7062.0047,0.0003039
7063.0047,0.00026342
7064.0047,0.00020846
7065.0047,0.0001535
7066.0047,0.00013775
7067.0047,0.00012216
7068.0047,0.00010309
7069.0047,8.0493e-05
7070.0047,5.7891e-05
7071.0047,3.1467e-05
7072.0047,5.0376e-06
7073.0047,0
7074.0047,1.6707e-05
7075.0047,3.3413e-05
7076.0047,4.3065e-05
7077.0047,5.2677e-05
7078.0047,8.1176e-05
7079.0047,0.00012887
7080.0047,0.00017656
7081.0047,0.00023741
7082.0047,0.00029832
7083.0047,0.00038937
7084.0047,0.00051116
7085.0047,0.00063296
7086.0047,0.00078181
7087.0047,0.00093072
7088.0047,0.0011239
7089.0047,0.0013621
7090.0047,0.0016002
7091.0047,0.0018816
7092.0047,0.0021631
7092.7157,0.002377
7093.2157,0.0025507
7093.7157,0.0027245
7094.2157,0.0028983
7094.7157,0.003072
7095.2157,0.0032721
7095.7157,0.0035099
7096.2157,0.0037478
7096.7157,0.0039857
7097.2157,0.0042235
7097.7157,0.0044929
7098.2157,0.0048074
7098.7157,0.005122
7099.2157,0.0054366
7099.7157,0.0057511
7100.2157,0.0060995
7100.7157,0.0064959
7101.2157,0.0068924
7101.7157,0.0072889
7102.2157,0.0076853
7102.7157,0.0081212
7103.2157,0.0085728
7103.7157,0.0090243
7104.2157,0.0094996
7104.7157,0.010063
7105.2157,0.010833
7105.7157,0.011541
7106.2157,0.012292
7106.7157,0.013005
7107.2157,0.013774
7107.7157,0.014751
7108.2157,0.0159
7108.7157,0.017124
7109.2157,0.018721
7109.7157,0.020739
7110.2157,0.023705
7110.7157,0.028407
7111.2157,0.035335
7111.7157,0.048057
7112.2157,0.068425
7112.7157,0.084915
7113.2157,0.090582
7113.7157,0.091501
7114.2157,0.083804
7114.7157,0.069391
7115.2157,0.060543
7115.7157,0.059875
7116.2157,0.063883
7116.7157,0.070504
7117.2157,0.079075
7117.7157,0.089994
7118.2157,0.10381
7118.7157,0.12113
7119.2157,0.1433
7119.7157,0.1726
7120.2157,0.20841
7120.7157,0.25193
7121.2157,0.30422
7121.7157,0.36628
7122.2157,0.43421
7122.7157,0.50607
7123.2157,0.57381
7123.7157,0.63297
7124.2157,0.68426
7124.7157,0.73191
7125.2157,0.77619
7125.7157,0.81592
7126.2157,0.85341
7126.7157,0.88797
7127.2157,0.92331
7127.7157,0.94657
7128.2157,0.96498
7128.7157,0.98037
7129.2157,0.98974
7129.7157,0.99587
7130.2157,0.9997
7130.7157,1
7131.2157,0.99954
7131.7157,0.99737
7132.2157,0.99538
7132.7157,0.99362
7133.2157,0.99203
7133.7157,0.99053
7134.2157,0.98986
7134.7157,0.98943
7135.2157,0.98889
7135.7157,0.98834
7136.2157,0.98648
7136.7157,0.9846
7137.2157,0.98246
7137.7157,0.98027
7138.2157,0.97665
7138.7157,0.97302
7139.2157,0.96879
7139.7157,0.96454
7140.2157,0.95898
7140.7157,0.9533
7141.2157,0.9486
7141.7157,0.94414
7142.2157,0.93987
7142.7157,0.93571
7143.2157,0.9319
7143.7157,0.92854
7144.2157,0.92514
7144.7157,0.92161
7145.2157,0.91807
7145.7157,0.91524
7146.2157,0.91245
7146.7157,0.90954
7147.2157,0.90653
7147.7157,0.90343
7148.2157,0.90002
7148.7157,0.89661
7149.2157,0.89286
7149.7157,0.88907
7150.2157,0.88532
7150.7157,0.88164
7151.2157,0.87795
7151.7157,0.87426
7152.2157,0.87057
7152.7157,0.86676
7153.2157,0.86279
7153.7157,0.85883
7154.2157,0.85481
7154.7157,0.85079
7155.2157,0.84702
7155.7157,0.84381
7156.2157,0.84059
7156.7157,0.8381
7157.2157,0.83596
7157.7157,0.83382
7158.2157,0.83304
7158.7157,0.83226
7159.2157,0.8317
7159.7157,0.83169
7160.2157,0.83168
7160.7157,0.832
7161.2157,0.83262
7161.7157,0.83324
7162.2157,0.83472
7162.7157,0.83647
7163.2157,0.83823
7163.7157,0.84075
7164.2157,0.84334
7164.7157,0.84596
7165.2157,0.84935
7165.7157,0.85274
7166.2157,0.85614
7166.7157,0.85966
7167.2157,0.86317
7167.7157,0.86668
7168.2157,0.87016
7168.7157,0.87363
7169.2157,0.87706
7169.7157,0.88029
7170.2157,0.88353
7170.7157,0.88677
7171.2157,0.89004
7171.7157,0.89331
7172.2157,0.89656
7172.7157,0.89966
7176.9421,0.92004
7181.3399,0.92484
7185.9092,0.92689
7190.6499,0.92621
7195.5621,0.9248
7200.6457,0.9204
7205.9007,0.91497
7211.3273,0.91147
7216.9252,0.90526
7222.6946,0.90349
7228.6355,0.90155
7234.7478,0.90044
7241.0316,0.90354
7247.4868,0.90892
7254.1134,0.91487
7260.9115,0.92413
7275.0221,0.92355
7282.3346,0.92092
7289.8185,0.91695
7297.4738,0.91158
7305.3006,0.90582
7313.2989,0.89972
7321.4686,0.89491
7329.8097,0.89081
7338.3223,0.88599
7347.0064,0.88092
7355.8619,0.8769
7364.8888,0.87078
7374.0872,0.86315
7383.4571,0.85497
7392.9984,0.84527
7402.7111,0.83519
7412.5953,0.82352
7422.6509,0.81056
7432.878,0.79737
7443.2766,0.78249
7453.8466,0.76794
7464.588,0.75007
7475.5009,0.73205
7486.5852,0.71502
7497.841,0.69672
7509.2683,0.6769
7520.867,0.65567
7532.6371,0.635
7544.5787,0.61171
7556.6917,0.5906
7568.9762,0.57131
7581.4321,0.55067
7594.0595,0.52836
7606.8583,0.51085
7619.8286,0.49439
7632.9704,0.47813
7646.2835,0.46516
7659.7682,0.45448
7673.4242,0.44639
7687.2518,0.44223
7701.2507,0.44078
7715.4212,0.44281
7729.763,0.44779
7744.2764,0.45245
7745.8431,0.45312
