Energy,NormalizedIntensity
eV,a.u.
7011.9949,0.0023842
7014.4965,0.0021924
7016.9983,0.0020253
7019.4956,0.0018269
7021.9947,0.0016902
7024.4973,0.0015475
7026.997,0.0013523
7029.497,0.0012302
7031.9972,0.0011063
7034.4976,0.00096642
7037.0031,0.00084894
7039.5041,0.00071592
7042.0021,0.00059264
7044.4972,0.00045712
7046.9973,0.00036931
7049.5009,0.00029824
7051.9982,0.00019426
7054.5023,0.00015133
7057.0018,0.00011436
7059.4983,0
7062.0031,6.655e-06
7064.5,3.3266e-05
7067.0004,7.8963e-06
7069.5027,3.8847e-05
7072.002,0.0001247
7074.5015,0.00019381
7076.9995,0.0003858
7079.4995,0.0005419
7082.0013,0.00077791
7084.5016,0.0010733
7087.0006,0.0014061
7089.4965,0.0018587
7091.9943,0.0024315
7094.5004,0.003177
7097.0035,0.0040599
7099.3471,0.0052968
7101.0957,0.0063271
7101.9499,0.0069264
7102.201,0.0071557
7102.3021,0.0071744
7102.4,0.0072942
7102.5043,0.0073677
7102.6103,0.0073739
7102.7033,0.0074703
7102.8011,0.0076365
7102.9006,0.0076229
7103.0001,0.0078028
7103.1012,0.007862
7103.1974,0.007943
7103.3002,0.0080538
7103.4013,0.0081307
7103.5008,0.0081081
7103.6003,0.0083147
7103.6998,0.0084507
7103.801,0.0084459
7103.9021,0.0085735
7104,0.0087406
7104.0946,0.0087566
7104.1942,0.0088347
7104.3002,0.0090426
7104.4046,0.0090949
7104.5058,0.0092214
7104.6037,0.0093117
7104.6983,0.0094327
7104.7995,0.0096052
7104.8974,0.0096373
7104.9986,0.0098879
7105.1063,0.0099426
7105.2026,0.010022
7105.2989,0.010046
7105.3984,0.010299
7105.498,0.010344
7105.5976,0.010513
7105.6971,0.010672
7105.7951,0.0107
7105.8963,0.010886
7106.0024,0.010925
7106.0987,0.01113
7106.1934,0.011277
7106.2978,0.01142
7106.4007,0.011648
7106.5019,0.011763
7106.6015,0.011948
7106.6995,0.012082
7106.804,0.012217
7106.9003,0.012496
7106.995,0.012514
7107.0995,0.012734
7107.2024,0.01291
7107.302,0.013073
7107.4016,0.013314
7107.5029,0.013528
7107.5992,0.013764
7107.6956,0.013839
7107.7985,0.014084
7107.9014,0.014328
7108.0026,0.014604
7108.1039,0.014759
7108.2019,0.015039
7108.2966,0.015316
