Depth,Load
nm,\muN
0,2
0.439229,4.191464
1.048462,5.583148
1.704907,6.984342
2.251415,8.401994
2.879041,9.795251
3.354504,11.216515
3.932127,12.618826
4.609842,13.996102
5.181478,15.405388
5.714019,16.82308
6.356729,18.198516
6.947805,19.610306
7.401058,21.024468
7.946961,22.396575
8.589023,23.826668
9.209946,25.225472
9.988178,26.601056
10.45749,28.017568
11.15584,29.416277
11.66557,30.827259
12.38828,32.184447
12.93666,33.608572
13.70959,34.982703
14.23898,36.405813
14.98522,37.755141
15.63814,39.16628
16.50117,40.505198
17.32234,41.865869
18.02722,43.208042
18.64418,44.640907
19.51478,45.993534
20.29274,47.378124
21.14114,48.715537
21.86501,50.110174
22.7344,51.458394
23.57923,52.813003
24.26704,54.179854
25.07757,55.532342
25.71911,56.946565
26.62156,58.287785
27.52055,59.641427
28.12176,61.006272
28.96772,62.396197
29.81567,63.729012
30.55528,65.099561
31.35089,66.435871
32.20283,67.785526
32.90054,69.213741
33.72136,70.576212
34.62388,71.957903
35.33671,73.311706
36.06209,74.706591
36.79153,76.097333
37.60637,77.445728
38.2004,78.86723
39.00237,80.189304
39.7827,81.589447
40.59809,82.96712
41.4623,84.315762
42.34485,85.691397
43.03732,87.039068
43.80285,88.432684
44.55697,89.811854
45.30483,91.167552
46.03395,92.564386
46.73488,93.900965
47.41162,95.300673
48.13343,96.716385
48.96149,98.080409
49.77478,99.463822
50.4971,100.82553
51.22941,102.18141
51.76958,103.65872
52.46182,105.01943
53.03136,106.4211
53.8995,107.7834
54.72139,109.10453
55.30586,110.53123
56.14821,111.90926
56.7931,113.30064
57.34618,114.72351
58.14441,116.07953
58.85674,117.4263
59.52666,118.86407
60.00183,120.27311
60.66652,121.63785
61.2144,123.0722
62.17812,124.36094
62.8231,125.71392
63.49705,127.20598
64.12059,128.59202
64.75637,129.97909
65.47049,131.41102
66.08397,132.77706
66.67609,134.15967
67.25955,135.64069
67.88767,137.01938
68.38081,138.42077
68.97242,139.85946
69.86032,141.17031
70.4802,142.52908
70.92404,144.04437
71.41409,145.45526
72.10608,146.82747
72.7937,148.24757
73.45341,149.61702
74.0992,150.98456
74.77161,152.41448
75.349,153.82124
75.88807,155.22362
76.43246,156.62454
77.18178,158.00044
77.77043,159.35824
78.37455,160.76471
78.76605,162.27284
79.38572,163.66563
79.93666,165.05464
80.57285,166.5193
81.27443,167.86877
81.7547,169.26496
82.22361,170.73957
82.73781,172.15944
83.39659,173.54462
83.99045,174.93938
84.51962,176.37498
85.09029,177.73899
85.80441,179.08499
86.24637,180.60429
86.79828,181.99603
87.3118,183.40856
87.78716,184.84386
88.38612,186.25562
89.03958,187.60419
89.5256,189.00035
90.14449,190.47815
90.75545,191.84618
91.17631,193.25988
91.89111,194.64332
92.31246,196.07198
92.90081,197.42587
93.3576,198.82634
93.96681,200.37242
94.4805,201.77501
94.82148,203.22774
95.49295,204.63145
95.90569,206.08829
96.60853,207.44712
97.04102,208.85455
97.51415,210.36717
98.11482,211.76069
98.62699,213.18402
99.15669,214.57608
99.58125,216.05386
100.3076,217.39365
100.7354,218.78934
101.3344,220.24408
101.9025,221.68954
102.1409,223.15198
102.622,224.55657
103.2854,225.99323
103.8621,227.38656
104.2272,228.79802
104.7601,230.19016
105.1765,231.7216
105.7012,233.10687
106.231,234.51443
106.7904,235.90927
107.4385,237.33811
107.535,238.78064
108.0839,240.15459
108.5807,241.61191
109.0503,243.10134
109.5928,244.50277
110.0912,245.92946
110.6195,247.37193
111.0078,248.82831
111.4661,250.22979
112.1069,251.60316
112.5982,253.07426
112.99,254.54125
113.446,255.96197
113.8398,257.38392
114.2757,258.8388
114.8783,260.24011
115.5655,261.58187
116.014,262.97851
116.4337,264.47654
117.0267,265.89708
117.308,267.34823
117.7389,268.77423
118.127,270.23939
118.8635,271.62503
119.118,273.05937
119.471,274.48019
120.0421,275.93089
120.4901,277.39052
121.004,278.78442
121.3735,280.2143
121.7535,281.65989
122.3204,283.08003
122.7515,284.46246
123.175,285.85658
123.5909,287.33125
124.0787,288.84466
124.4108,290.27502
124.8094,291.7417
125.1734,293.16713
125.7773,294.64662
126.3138,296.02348
126.82,297.42898
127.0537,298.86956
127.4391,300.42988
127.8774,301.83691
128.5127,303.22895
128.8857,304.65341
129.3389,306.10763
129.9612,307.51239
130.4247,308.88925
130.7082,310.32765
131.1,311.79402
131.5773,313.29701
132.113,314.68374
132.6751,316.10542
132.9772,317.53662
133.4494,319.03628
133.9479,320.43739
134.1578,321.88291
134.7433,323.24818
135.0476,324.77498
135.3876,326.24795
135.9023,327.64081
136.4161,329.0478
136.779,330.46904
137.2,331.95005
137.6385,333.34791
138.2258,334.70929
138.5193,336.13975
138.8037,337.72989
139.2552,339.15282
139.7824,340.57052
140.1115,342.02433
140.5135,343.4694
140.9303,344.96176
141.321,346.36225
141.8162,347.76696
142.2004,349.17654
142.5833,350.72136
142.9385,352.16359
143.4117,353.57381
143.8636,354.99472
144.2888,356.41796
144.6734,357.90596
145.0405,359.32283
145.3648,360.73036
145.829,362.13107
146.1718,363.65749
146.5274,365.12618
146.9116,366.54973
147.4745,367.96963
147.6605,369.41635
148.1317,370.92862
148.5065,372.331
149.0049,373.72402
149.4982,375.12006
149.9214,376.5825
150.021,378.13769
150.4125,379.54665
150.9121,380.97321
151.3813,382.36193
151.67,383.84143
152.0161,385.29468
152.4828,386.67222
153.0693,388.04356
153.3172,389.48214
153.7055,391.12799
154.2081,392.54499
154.6068,393.99077
154.975,395.45142
155.2376,396.89123
155.7085,398.42772
156.1558,399.82228
156.5352,401.23947
156.8888,402.67175
157.3554,404.11037
157.6169,405.69029
158.0451,407.09439
158.4144,408.55019
158.8105,409.96916
159.1942,411.41715
159.7349,412.87733
160.0107,414.29642
160.246,415.74337
160.7271,417.13591
161.1423,418.65314
161.6185,420.14219
161.9602,421.56118
162.3517,423.03896
162.7538,424.44583
163.1755,425.92087
163.5767,427.39896
163.8025,428.82464
164.1333,430.27058
164.4557,431.69267
164.8236,433.19905
165.2053,434.6945
165.6279,436.0949
166.0013,437.54953
166.4045,438.95847
166.7837,440.42382
167.13,441.90046
167.4452,443.31639
167.9924,444.68511
168.2532,446.116
168.757,447.63083
168.9717,449.17497
169.3504,450.58061
169.8131,452.0639
170.2114,453.46922
170.4677,454.95549
170.9472,456.43504
171.2652,457.86253
171.5193,459.31066
171.9254,460.72226
172.2432,462.20589
172.5791,463.76588
172.9257,465.18399
173.1949,466.6422
173.8047,468.03009
173.9703,469.48273
174.4215,471.00559
174.8445,472.40804
175.117,473.82563
175.5331,475.23469
176.0067,476.62649
176.3345,478.25691
176.7703,479.66111
177.1583,481.08817
177.4783,482.5672
177.6249,484.02369
178.2154,485.493
178.4595,486.96037
178.6414,488.39622
179.2349,489.79701
179.4836,491.21998
179.8564,492.71041
180.3235,494.21993
180.6032,495.65343
180.9327,497.09539
181.3849,498.51218
181.6573,499.9455
182.0794,501.4567
182.3622,502.88075
182.7052,504.28575
183.1303,505.68049
183.5037,507.0971
183.8643,508.70876
184.0883,510.21781
184.6341,511.60339
184.8444,513.13869
185.0854,514.55094
185.5394,516.00777
185.7394,517.5559
186.1877,518.97152
186.7345,520.35579
187.1521,521.78255
187.4029,523.21398
187.5211,524.87046
187.9971,526.28932
188.3031,527.71394
188.5339,529.21076
188.8904,530.62229
189.2168,532.10155
189.8292,533.55791
190.0566,534.99341
190.5093,536.38049
190.7545,537.82792
190.8697,539.28077
191.4367,540.89614
191.7734,542.32169
192.134,543.71769
192.571,545.20357
192.8428,546.63166
193.1626,548.10038
193.4141,549.63066
193.6969,551.07622
194.1028,552.48227
194.4272,553.91101
194.822,555.32471
195.1274,556.92335
195.2998,558.40224
195.6918,559.79687
195.9579,561.28781
196.4431,562.68326
196.8817,564.09661
197.0586,565.64486
197.4186,567.06637
197.9181,568.43621
198.259,569.85829
198.4998,571.30992
198.792,572.85742
199.1161,574.40356
199.4972,575.79819
199.8044,577.26982
199.9988,578.7552
200.2739,580.18467
200.9152,581.69333
200.8882,583.19995
201.4293,584.57656
201.6124,586.06278
202.0317,587.46449
202.3267,588.91472
202.6931,590.51727
202.9945,591.94898
203.312,593.37478
203.7354,594.8329
204.1031,596.24958
204.172,597.74278
204.7242,599.23998
204.7448,600.70376
205.2911,602.0875
205.6448,603.49871
206.0343,604.9252
206.2382,606.47323
206.518,608.01827
206.8831,609.43258
207.191,610.88653
207.6579,612.31442
207.8561,613.76256
208.1997,615.274
208.5799,616.74453
208.779,618.2031
209.0626,619.60969
209.3945,621.05533
209.8509,622.45264
209.885,624.06814
210.402,625.51342
210.5219,626.96795
211.0033,628.40154
211.2498,629.84333
211.6025,631.27429
211.7888,632.81478
212.2482,634.2221
212.54,635.67058
212.8347,637.06572
213.1238,638.49719
213.472,639.92271
213.7392,641.6264
214.1714,643.07111
214.4703,644.49742
214.6754,646.03064
214.8892,647.49786
215.2259,648.89341
215.7157,650.45951
215.8935,651.91538
216.3066,653.34018
216.5892,654.79712
216.8659,656.22498
217.0698,657.68187
217.5315,659.28223
217.8853,660.7392
218.302,662.14695
218.4807,663.64669
218.787,665.09529
218.9519,666.54713
219.3955,668.0494
219.7777,669.52199
220.0764,670.94901
220.4578,672.35185
220.7815,673.79409
220.8518,675.26616
221.051,676.86322
221.4639,678.35668
221.9455,679.76886
222.0757,681.26546
222.3484,682.74194
222.6166,684.17891
223.1113,685.63537
223.4801,687.14146
223.6649,688.59546
223.9503,689.99309
224.2516,691.45717
224.5491,692.8812
224.9218,694.36035
225.2405,695.95121
225.6177,697.35842
225.9055,698.79798
226.1419,700.29888
226.4536,701.72296
226.6931,703.16044
227.1389,704.69863
227.3187,706.14337
227.4593,707.59288
