E_r,H
GPa,GPa
10.4817,0.48
10.6178,0.51
9.99297,0.48951
11.3187,0.53
12.078,0.54
10.8005,0.57427
9.53263,0.41236
6.50937,0.21631
9.12873,0.39377
9.06118,0.44061
12.0434,0.51192
8.98222,0.38164
10.4689,0.49189
9.99854,0.37347
10.4624,0.40026
10.4706,0.57894
12.0979,0.56283
10.5713,0.51891
8.36818,0.35899
8.52142,0.38322
9.37599,0.41839
9.41385,0.55737
11.5132,0.50865
9.82111,0.6567
10.3316,0.63584
10.6092,0.50652
10.5286,0.48818
8.36978,0.38543
8.03741,0.36762
9.31711,0.39407
10.1051,0.46042
9.33589,0.39352
12.278,0.66307
10.5932,0.4995
10.5553,0.48923
10.8195,0.50554
10.2951,0.48826
9.16401,0.40378
11.575,0.56758
12.9786,0.78143
10.6687,0.47708
10.1717,0.45853
8.507,0.48353
8.14433,0.3886
8.25603,0.36391
9.66636,0.48321
11.0928,0.64227
9.40764,0.55418
8.98475,0.36738
9.50573,0.49696
7.87113,0.43502
8.10876,0.30184
8.27827,0.45091
9.40817,0.7901
8.75591,0.41581
8.29932,0.43509
8.31631,0.49256
7.77753,0.41495
7.2765,0.45242
8.24733,0.24698
7.78204,0.30222
8.30153,0.23969
11.7807,0.65058
10.2843,0.51716
8.23666,0.43542
10.4663,0.4026
11.6965,0.47949
11.6358,0.60138
7.25269,0.35864
9.63193,0.6066
2.3144,0.79365
10.3678,0.53825
7.89215,0.38572
8.85193,0.47132
9.00134,0.49933
6.94169,0.50095
7.81712,0.43301
12.1013,0.65388
7.78501,0.31899
8.97802,0.43164
7.10134,0.29015
8.06343,0.36066
7.82223,0.42225
9.17034,0.45799
8.80377,0.47132
12.5448,0.50362
13.511,0.81777
10.4157,0.51305
11.3421,0.48636
11.6156,0.66237
14.6834,0.64228
16.4897,0.77713
13.9791,0.59125
18.0179,1.0062
17.4512,1.0734
17.899,1.0028
18.1562,0.99272
17.8673,1.0119
16.4396,0.96749
15.0099,0.86445
13.8287,0.70417
12.7202,0.6734
14.8482,0.78676
13.4225,0.75638
13.1168,0.73956
17.8169,0.6651
13.368,0.71153
13.1591,0.70484
13.9096,0.76084
19.4932,1.0316
19.3632,1.0749
19.3605,1.2486
15.8217,0.92947
12.6213,0.67658
15.7194,0.94794
18.3622,1.1668
14.3719,1.076
29.7456,1.3343
27.9857,1.5062
22.2213,1.3493
25.7512,1.3238
21.5016,1.404
21.2376,1.2003
21.648,1.2928
27.2794,1.7745
30.1704,1.775
20.3041,1.2116
29.8951,1.4728
23.3766,0.97269
