Er,H,X,Y
GPa,GPa,mm,mm
5.79347,0.30865,-61.333,-11.146
5.47074,0.30674,-61.308,-11.146
5.43356,0.30125,-61.283,-11.146
5.11584,0.30058,-61.258,-11.146
4.99925,0.27911,-61.233,-11.146
4.63602,0.26594,-61.2075,-11.146
3.61094,0.10896,-61.183,-11.146
5.16227,0.2697,-61.158,-11.146
4.54975,0.24705,-61.133,-11.146
4.52867,0.246,-61.108,-11.146
4.49527,0.24014,-61.083,-11.146
4.55994,0.24443,-61.058,-11.146
4.54832,0.24526,-61.033,-11.146
4.58168,0.24805,-61.008,-11.146
4.49175,0.2464,-60.983,-11.146
4.5711,0.25643,-61.333,-11.121
4.91521,0.30162,-61.308,-11.121
4.44367,0.24821,-61.283,-11.121
4.37393,0.23703,-61.258,-11.121
4.13681,0.2286,-61.233,-11.121
4.90318,0.17718,-61.208,-11.121
4.23163,0.23295,-61.183,-11.121
3.75256,0.19815,-61.158,-11.121
3.57075,0.21079,-61.133,-11.121
2.45893,0.075462,-61.108,-11.121
4.13371,0.22294,-61.083,-11.121
4.2977,0.23379,-61.058,-11.121
4.40903,0.24278,-61.033,-11.121
4.32241,0.23921,-61.008,-11.121
4.83498,0.26461,-60.983,-11.121
4.34696,0.24195,-61.333,-11.096
3.38924,0.12149,-61.308,-11.096
4.14006,0.22257,-61.283,-11.096
4.24551,0.24242,-61.258,-11.096
4.88094,0.18092,-61.233,-11.096
4.03775,0.22864,-61.2075,-11.096
2.85453,0.18237,-61.1825,-11.096
3.66718,0.084213,-61.158,-11.096
7.71364,0.30296,-61.133,-11.096
8.64039,0.51928,-61.108,-11.096
4.30707,0.23822,-61.083,-11.096
4.21882,0.23491,-61.058,-11.096
4.38056,0.24304,-61.033,-11.096
4.46357,0.25555,-61.008,-11.096
4.32011,0.24305,-60.983,-11.096
4.18968,0.23086,-61.333,-11.071
4.12434,0.22196,-61.308,-11.071
4.0473,0.21814,-61.283,-11.071
5.12152,0.19883,-61.258,-11.071
4.68874,0.2524,-61.233,-11.071
8.88064,0.45394,-61.208,-11.071
8.89684,0.30998,-61.183,-11.071
5.51473,0.17241,-61.158,-11.071
8.03302,0.39072,-61.133,-11.071
0.801489,0.069504,-61.108,-11.071
3.69573,0.16906,-61.083,-11.071
4.16376,0.22957,-61.058,-11.071
