Wavenumber,Transmission
cm^{-1},a.u.
3995.4829,0.9956
3994.5185,0.99434
3993.5541,0.99372
3992.5897,0.99418
3991.6253,0.99495
3990.6609,0.99506
3989.6966,0.99499
3988.7322,0.99491
3987.7678,0.99407
3986.8034,0.99296
3985.839,0.99304
3984.8746,0.99392
3983.9102,0.99453
3982.9458,0.99491
3981.9814,0.99522
3981.017,0.99548
3980.0526,0.99548
3979.0882,0.9951
3978.1238,0.99499
3977.1594,0.99518
3976.195,0.99522
3975.2306,0.99518
3974.2663,0.9948
3973.3019,0.99426
3972.3375,0.99399
3971.3731,0.99384
3970.4087,0.99384
3969.4443,0.99418
3968.4799,0.99422
3967.5155,0.99403
3966.5511,0.99453
3965.5867,0.99499
3964.6223,0.9946
3963.6579,0.99441
3962.6935,0.99514
3961.7291,0.99556
3960.7647,0.99472
3959.8004,0.99365
3958.836,0.99384
3957.8716,0.99453
3956.9072,0.99487
3955.9428,0.99537
3954.9784,0.99587
3954.014,0.99583
3953.0496,0.9964
3952.0852,0.99747
3951.1208,0.99721
3950.1564,0.99617
3949.192,0.99602
3948.2276,0.99633
3947.2632,0.99617
3946.2988,0.99587
3945.3344,0.99575
3944.3701,0.99552
3943.4057,0.99514
3942.4413,0.9946
3941.4769,0.99388
3940.5125,0.99388
3939.5481,0.99522
3938.5837,0.99636
3937.6193,0.99621
3936.6549,0.99548
3935.6905,0.99499
3934.7261,0.9943
3933.7617,0.99384
3932.7973,0.99418
3931.8329,0.9948
3930.8686,0.99495
3929.9041,0.99487
3928.9398,0.99487
3927.9754,0.99503
3927.011,0.99499
3926.0466,0.99483
3925.0822,0.99506
3924.1178,0.99579
3923.1534,0.99621
3922.189,0.99617
3921.2246,0.99621
3920.2602,0.99656
3919.2958,0.99682
3918.3314,0.99698
3917.367,0.99705
3916.4026,0.99717
3915.4383,0.99717
3914.4738,0.99698
3913.5095,0.99659
3912.5451,0.99591
3911.5807,0.99518
3910.6163,0.9948
3909.6519,0.99434
3908.6875,0.99388
3907.7231,0.99403
3906.7587,0.99464
3905.7943,0.99514
3904.8299,0.9951
3903.8655,0.9946
3902.9011,0.99445
3901.9367,0.99506
3900.9723,0.99579
3900.008,0.99629
3899.0436,0.99663
3898.0792,0.99698
3897.1148,0.99747
3896.1504,0.99793
3895.186,0.99812
3894.2216,0.99809
3893.2572,0.99805
3892.2928,0.99816
3891.3284,0.99828
